reactor,river,station_type,station_id,station_name,n_obs,mean_temp,std_temp,year_range,slope_per_year,slope_se
Biblis A,Rhine,upstream,DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,14,11.946428571428571,0.4837610208302497,2009-2024,0.07400717971730296,0.018437401430096968
Biblis A,Rhine,upstream,DEGM_DERP_2375222100,1277 I LEIMERSHEIM,5,13.24,0.3714835124201345,2012-2022,-0.022699386503065862,0.05148137372117052
Biblis A,Rhine,upstream,DEGM_DERP_2391197000,1336 I FRANKENTHAL PFALZ PETERSAU,6,13.383333333333335,0.19407902170679514,2015-2022,0.04100000000001372,0.03150000000075634
Biblis A,Rhine,upstream,DEGM_HE_13496,13496NORDHEIM,6,13.166666666666664,0.8430104783848575,2012-2022,-0.010606060606048533,0.11589423553167497
Biblis A,Rhine,upstream,DESM_BWU40,KARLSRUHE,5,20.8268,1.0176250291733198,2020-2024,0.17489999999996647,0.3576004614173592
Biblis A,Rhine,upstream,DESM_BWU41,MANNHEIM RHEIN,5,21.4466,1.0633580300162315,2020-2024,0.21089999999997314,0.3686973962564413
Biblis A,Rhine,downstream,DEGM_DERP_2397188100,2135 DIENHEIM,4,11.95,0.5066228051190219,2008-2011,-0.1400000000000006,0.2592296279357828
Biblis A,Rhine,downstream,DEGM_HE_10379,TBR II OESTRICH HATTENHEIM,3,15.0,2.5119713374160932,2013-2024,-0.41216216216215995,0.025746701193686237
Biblis A,Rhine,downstream,DEGM_HE_10471,BIEBRICH,2,15.65,0.3535533905932738,2023-2024,,
Biblis A,Rhine,downstream,DESM_HE_115,SCHWARZBACH TREBURASTHEIM MESSSTATION,3,20.977999999999998,0.5833360952315573,2020-2022,0.38700000000001095,0.4364768037570534
Biblis B,Rhine,upstream,DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,14,11.946428571428571,0.4837610208302497,2009-2024,0.07400717971730296,0.018437401430096968
Biblis B,Rhine,upstream,DEGM_DERP_2375222100,1277 I LEIMERSHEIM,5,13.24,0.3714835124201345,2012-2022,-0.022699386503065862,0.05148137372117052
