# Dataset: mean daily river discharge (GRDC), aggregated to annual values.
# Source: data/raw/discharge/ GRDC daily export files (*.txt).
# Site filter: gauges within the study radius of a study reactor.
# Window filter: years 2006-2018 (inclusive).
# Aggregation: per station and year -- mean/min/max discharge and the
# number of observed days (days_observed lets you drop sparse years).
# Added columns: nearest study reactor, its group and the distance in km.
# River position added by river_position.py: each site is matched to its
# study river and classified upstream/downstream of the nearest reactor, with
# an approximate along-flow distance and distance band. Flow direction is a
# per-river heuristic (see the module); the up/down sign is robust, the distance
# is approximate. Filter on position=downstream for the plume-exposed sample;
# downstream_of_shock=1 marks sites below a 2011/staggered shutdown.
grdc_no,river,station,latitude,longitude,year,discharge_mean_m3_s,discharge_min_m3_s,discharge_max_m3_s,days_observed,nearest_reactor,nearest_group,distance_km,study_river,position,nearest_upstream_plant,nearest_upstream_group,along_river_km,distance_band,downstream_of_shock
6135065,RHINE RIVER,LAUTERBOURG,48.958117782,8.195814153,2006,1184.42,415.838,3089.601,365,Philippsburg 1,partial,37.11,Rhine,upstream,,,,,0
6135065,RHINE RIVER,LAUTERBOURG,48.958117782,8.195814153,2007,1243.775,558.656,4010.081,365,Philippsburg 1,partial,37.11,Rhine,upstream,,,,,0
6135065,RHINE RIVER,LAUTERBOURG,48.958117782,8.195814153,2008,1164.857,629.375,2789.545,366,Philippsburg 1,partial,37.11,Rhine,upstream,,,,,0
6135065,RHINE RIVER,LAUTERBOURG,48.958117782,8.195814153,2009,1057.24,464.991,2545.085,365,Philippsburg 1,partial,37.11,Rhine,upstream,,,,,0
6135065,RHINE RIVER,LAUTERBOURG,48.958117782,8.195814153,2010,1196.735,652.468,2812.89,365,Philippsburg 1,partial,37.11,Rhine,upstream,,,,,0
6135065,RHINE RIVER,LAUTERBOURG,48.958117782,8.195814153,2011,909.975,453.236,2570.979,365,Philippsburg 1,partial,37.11,Rhine,upstream,,,,,0
6135065,RHINE RIVER,LAUTERBOURG,48.958117782,8.195814153,2012,1347.094,718.417,3177.246,366,Philippsburg 1,partial,37.11,Rhine,upstream,,,,,0
6135065,RHINE RIVER,LAUTERBOURG,48.958117782,8.195814153,2013,1396.032,681.619,4031.309,365,Philippsburg 1,partial,37.11,Rhine,upstream,,,,,0
6135065,RHINE RIVER,LAUTERBOURG,48.958117782,8.195814153,2014,1157.455,677.509,2955.254,365,Philippsburg 1,partial,37.11,Rhine,upstream,,,,,0
6135065,RHINE RIVER,LAUTERBOURG,48.958117782,8.195814153,2015,1086.173,487.108,3359.127,365,Philippsburg 1,partial,37.11,Rhine,upstream,,,,,0
6135065,RHINE RIVER,LAUTERBOURG,48.958117782,8.195814153,2016,1324.864,480.123,3507.235,366,Philippsburg 1,partial,37.11,Rhine,upstream,,,,,0
6135065,RHINE RIVER,LAUTERBOURG,48.958117782,8.195814153,2017,1025.116,472.518,2462.305,365,Philippsburg 1,partial,37.11,Rhine,upstream,,,,,0
6135065,RHINE RIVER,LAUTERBOURG,48.958117782,8.195814153,2018,1050.556,424.914,3849.668,365,Philippsburg 1,partial,37.11,Rhine,upstream,,,,,0
6135110,SELTZBACH,NIEDERROEDERN,48.903597628,8.048648677,2006,0.99,0.113,15.261,365,Philippsburg 1,partial,47.962,,off_river,,,,,0
6135110,SELTZBACH,NIEDERROEDERN,48.903597628,8.048648677,2007,1.462,0.195,18.144,365,Philippsburg 1,partial,47.962,,off_river,,,,,0
6135110,SELTZBACH,NIEDERROEDERN,48.903597628,8.048648677,2008,1.335,0.222,11.905,366,Philippsburg 1,partial,47.962,,off_river,,,,,0
6135110,SELTZBACH,NIEDERROEDERN,48.903597628,8.048648677,2009,1.404,0.101,26.506,365,Philippsburg 1,partial,47.962,,off_river,,,,,0
6135110,SELTZBACH,NIEDERROEDERN,48.903597628,8.048648677,2010,1.922,0.161,33.266,365,Philippsburg 1,partial,47.962,,off_river,,,,,0
6135110,SELTZBACH,NIEDERROEDERN,48.903597628,8.048648677,2011,1.138,0.221,33.512,365,Philippsburg 1,partial,47.962,,off_river,,,,,0
6135110,SELTZBACH,NIEDERROEDERN,48.903597628,8.048648677,2012,1.218,0.141,17.07,366,Philippsburg 1,partial,47.962,,off_river,,,,,0
6135110,SELTZBACH,NIEDERROEDERN,48.903597628,8.048648677,2013,2.19,0.157,29.497,365,Philippsburg 1,partial,47.962,,off_river,,,,,0
6135110,SELTZBACH,NIEDERROEDERN,48.903597628,8.048648677,2014,1.322,0.192,9.832,365,Philippsburg 1,partial,47.962,,off_river,,,,,0
6135110,SELTZBACH,NIEDERROEDERN,48.903597628,8.048648677,2015,1.009,0.108,13.479,365,Philippsburg 1,partial,47.962,,off_river,,,,,0
6135110,SELTZBACH,NIEDERROEDERN,48.903597628,8.048648677,2016,1.702,0.112,16.183,366,Philippsburg 1,partial,47.962,,off_river,,,,,0
6135110,SELTZBACH,NIEDERROEDERN,48.903597628,8.048648677,2017,0.974,0.089,13.978,365,Philippsburg 1,partial,47.962,,off_river,,,,,0
6135110,SELTZBACH,NIEDERROEDERN,48.903597628,8.048648677,2018,1.273,0.08,18.041,365,Philippsburg 1,partial,47.962,,off_river,,,,,0
6335113,NAHE,DIETERSHEIM,49.943985,7.89814,2006,24.881,3.74,280.0,365,Biblis A,treatment,45.314,,off_river,,,,,0
6335113,NAHE,DIETERSHEIM,49.943985,7.89814,2007,32.977,5.88,292.0,365,Biblis A,treatment,45.314,,off_river,,,,,0
6335113,NAHE,DIETERSHEIM,49.943985,7.89814,2008,30.426,5.42,211.0,366,Biblis A,treatment,45.314,,off_river,,,,,0
