# Dataset: annual dissolved oxygen at German monitoring sites (EEA Waterbase v2020_1).
# Source: data/raw/waterbase/ Aggregated + Spatial files, determinand 'Dissolved oxygen'.
# Site filter: monitoring sites within the study radius of a study reactor.
# Window filter: observation years 2006-2018 (inclusive).
# Added columns: nearest study reactor, its group and the distance in km.
# River position added by river_position.py: each site is matched to its
# study river and classified upstream/downstream of the nearest reactor, with
# an approximate along-flow distance and distance band. Flow direction is a
# per-river heuristic (see the module); the up/down sign is robust, the distance
# is approximate. Filter on position=downstream for the plume-exposed sample;
# downstream_of_shock=1 marks sites below a 2011/staggered shutdown.
site_id,site_name,water_body_name,latitude,longitude,year,mean_value,min_value,max_value,sample_count,unit,nearest_reactor,nearest_group,distance_km,study_river,position,nearest_upstream_plant,nearest_upstream_group,along_river_km,distance_band,downstream_of_shock
DESM_DENI_47812999,STEINHUDERMEERMITTE,STEINHUDER MEER,52.47221,9.33446,2010,9.7875,7.3,12.2,8,mg/L,Grohnde,control,48.846,,off_river,,,,,0
DERW_DEHH_VIP_SEEMANNSH,VIP_SEEMANNSH FT,EL_02,53.5418,9.8819,2006,5.96,4.1,7.8,26,mg/L,Brokdorf,control,49.275,,off_river,,,,,0
DESM_DENI_12046,WESERHEMELINGEN,MITTELWESER ZWISCHEN ALLER UND BREMEN,53.05279,8.87458,2006,4.7,3.6,7.2,26,mg/L,Unterweser,treatment,49.463,Weser,downstream,Grohnde,control,118.3,>50,0
DESM_DENI_48852542,POPPENBURG,"LEINE, DESPE-INNERSTE",52.13589,9.76159,2006,3.84,2.6,6.3,24,mg/L,Grohnde,control,26.269,,off_river,,,,,0
DESM_DENI_49572011,FARGE,WESER / TIDEBEREICH OBERH. BRAKE,53.20889,8.50524,2006,6.32,3.7,8.6,12,mg/L,Unterweser,treatment,24.503,Weser,downstream,Grohnde,control,143.1,>50,0
DESM_HE_130,MAINBISCHOFSHEIMMESSSTATIONRECHTESUNDLINKESUFER,MAIN - HESSEN,49.99936,8.34549,2006,2.68,1.2,3.6,26,mg/L,Biblis A,treatment,32.622,Main,downstream,Grafenrheinfeld,staggered_treatment,129.1,>50,1
DESM_HE_380,NIDDAFRANKFURTNIEDMESSSTATION,NIDDA/FRANKFURT,50.10022,8.56059,2006,2.82,1.8,4.5,26,mg/L,Biblis A,treatment,44.696,,off_river,,,,,0
DESM_BWU41,MANNHEIM/RHEIN,"FREIFLIEßENDE RHEINSTRECKE, UNTERHALB LAUTER- BIS OBERHALB NECKARMÜNDUNG",49.48374,8.45494,2010,10.0962,7.4,13.0,26,mg/L,Biblis A,treatment,25.259,,off_river,,,,,0
DESM_BWU40,KARLSRUHE,"FREIFLIEßENDE RHEINSTRECKE, UNTERHALB STAUSTUFE IFFEZHEIM BIS OBERHALB LAUTERMÜNDUNG",48.92299,8.16898,2010,10.2346,7.1,13.0,26,mg/L,Philippsburg 1,partial,41.479,,off_river,,,,,0
DESM_BWU45,POPPENWEILER,NECKAR AB FILS OBERHALB ENZ (TBG 42),48.91262,9.24781,2010,9.69231,5.7,12.8,26,mg/L,Neckarwestheim 1,partial,15.243,Neckar,upstream,,,,,0
DESM_BWU48,MANNHEIM/NECKAR,NECKAR (BW) AB KOCHER (TBG 49),49.49469,8.4689,2010,10.6038,6.8,13.5,26,mg/L,Biblis A,treatment,24.192,Neckar,downstream,Neckarwestheim 1,partial,71.7,>50,1
DESM_BWU47,KOCHENDORF,NECKAR AB ENZ OBERHALB KOCHER (TBG 46),49.21644,9.21007,2010,9.35417,5.1,13.1,24,mg/L,Neckarwestheim 1,partial,19.663,Neckar,downstream,Neckarwestheim 1,partial,11.3,10-25,1
