reactor,group,study_river,site_id,site_name,latitude,longitude,along_river_km,distance_band
Biblis A,treatment,Rhine,DEGM_DERP_2397188100,2135 DIENHEIM,49.8263,8.36563,12.9,10-25
Biblis A,treatment,Rhine,DESM_HE_115,SCHWARZBACH TREBURASTHEIM MESSSTATION,49.9561,8.3573,27.3,25-50
Biblis A,treatment,Rhine,DEGM_HE_10379,TBR II OESTRICH HATTENHEIM,50.01183,8.04419,33.4,25-50
Biblis A,treatment,Rhine,DEGM_HE_10471,BIEBRICH,50.03451,8.24336,35.9,25-50
Grafenrheinfeld,staggered_treatment,Main,DEGM_DEBY_4120612500010,KEIN NAME,49.80059,9.93666,13.7,10-25
Grafenrheinfeld,staggered_treatment,Main,DESM_DEBY_20256,ERLABRUNN KWOW,49.85488,9.85468,20.5,10-25
Grafenrheinfeld,staggered_treatment,Main,DEGM_DEBY_4120602400057,KEIN NAME,49.9833,9.72298,32.2,25-50
Grafenrheinfeld,staggered_treatment,Main,DEGM_DEBY_4120622300012,KEIN NAME,49.79405,9.6295,35.2,25-50
Grafenrheinfeld,staggered_treatment,Main,DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,49.76907,9.59709,37.0,25-50
Grafenrheinfeld,staggered_treatment,Main,DESM_HE_380,NIDDA FRANKFURTNIED MESSSTATION,50.1002,8.5606,115.9,>50
Grafenrheinfeld,staggered_treatment,Main,DESM_HE_130,MAIN BISCHOFSHEIM MESSSTATION RECHTES UFER,49.9994,8.3455,129.1,>50
Grohnde,control,Weser,DESM_DENI_45752064,HESS OLDENDORFFUHLEN,52.15799,9.24872,16.6,10-25
Grohnde,control,Weser,DEGM_DENI_40000953,AHER KAEMPE,52.18564,9.12891,22.2,10-25
Grohnde,control,Weser,DESM_NW731808,UH KA BAD OEYNHAUSEN,52.21949,8.8254,32.8,25-50
Grohnde,control,Weser,DEGM_DENW_100135602,PH 34N   JOESSEN,52.39755,8.99847,47.3,25-50
Grohnde,control,Weser,DESM_DENI_12046,WESER HEMELINGEN,53.05279,8.87458,118.3,>50
Grohnde,control,Weser,DEGM_DEHB_15_72,FLB433D,53.07777,8.88911,120.5,>50
Grohnde,control,Weser,DESM_DENI_49572011,FARGE,53.19737,8.51926,141.6,>50
Grohnde,control,Weser,DEGM_DEHB_15_26,FLB123,53.2144,8.50994,143.6,>50
Grohnde,control,Weser,DESM_DENI_49752022,BRAKE,53.31519,8.48608,154.6,>50
Gundremmingen B,staggered_treatment,Danube,DEGM_DEBY_1131713600015,KEIN NAME,48.85906,11.8038,110.3,>50
Gundremmingen B,staggered_treatment,Danube,DESM_DEBY_3413,KELHEIM PEGEL,48.91598,11.86676,117.1,>50
Gundremmingen B,staggered_treatment,Danube,DEGM_BY_1131703700020,KEIN NAME,48.94573,11.98303,126.3,>50
Gundremmingen B,staggered_treatment,Danube,DESM_DEBY_4373,BAD ABBACH PEGEL,48.94169,12.03365,129.6,>50
Gundremmingen B,staggered_treatment,Danube,DEGM_DEBY_4110704000002,KEIN NAME,48.99143,12.3716,154.7,>50
Isar 1,partial,Isar,DEGM_BY_1131734000021,KEIN NAME,48.6303,12.49426,14.3,10-25
Isar 1,partial,Isar,DESM_DEBY_11446,PLATTLING BRUECKE B8,48.77153,12.88403,47.0,25-50
Neckarwestheim 1,partial,Neckar,DESM_BWU47,KOCHENDORF,49.21649,9.2081,11.4,10-25
Neckarwestheim 1,partial,Neckar,DESM_BWU27,KOCHENDORF,49.22325,9.20766,12.0,10-25
Neckarwestheim 1,partial,Neckar,DESM_BWU29,JAGSTFELD,49.24548,9.19336,14.4,10-25
Neckarwestheim 1,partial,Neckar,DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,49.45773,8.65689,58.9,>50
Neckarwestheim 1,partial,Neckar,DESM_BWU48,MANNHEIM NECKAR,49.49429,8.46871,71.7,>50
Philippsburg 1,partial,Rhine,DESM_BWU41,MANNHEIM RHEIN,49.48374,8.45493,25.5,25-50
Philippsburg 1,partial,Rhine,DEGM_DERP_2391197000,1336 I FRANKENTHAL PFALZ PETERSAU,49.56746,8.40134,34.8,25-50
Philippsburg 1,partial,Rhine,DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,49.58248,8.44112,36.5,25-50
Philippsburg 1,partial,Rhine,DEGM_HE_13496,13496NORDHEIM,49.67151,8.38801,46.3,25-50
