outcome,site,river,event_year,upstream_station,upstream_km,downstream_station,downstream_km,did,ci_low,ci_high,p_value,min_detectable_effect,placebo_did,placebo_p,n_pre,n_post,verdict
dissolved_oxygen,Grafenrheinfeld,Main,2015,"SH Schweinfurt, km 332,0, OW",7.3,Erlabrunn KW-OW,88.0,0.2208,-0.239,0.6807,0.3466,0.6574,0.0377,0.8777,36,36,"null, but underpowered"
dissolved_oxygen,Grafenrheinfeld,Main,2015,"SH Schweinfurt, km 332,0, OW",7.3,Messstation Erlabrunn,88.1,0.0588,-0.4447,0.5623,0.819,0.7198,,,36,36,"null, but underpowered"
dissolved_oxygen,Gundremmingen,Danube,2017,"Böfinger Halde, KW-UW",33.5,Dillingen Meßstation,13.7,0.034,-0.4301,0.4981,0.8857,0.6635,0.3428,0.0367,24,36,"null, but underpowered"
dissolved_oxygen,Gundremmingen,Danube,2017,"Böfinger Halde, KW-UW",33.5,Schäfstall Pegel,50.3,-0.5882,-0.9748,-0.2016,0.0029,0.5527,,,24,36,null
dissolved_oxygen,Gundremmingen,Danube,2017,"Böfinger Halde, KW-UW",33.5,BITTENBRUNN KW-OW,76.2,-0.2937,-0.686,0.0985,0.1422,0.5608,,,24,36,"null, but underpowered"
dissolved_oxygen,Gundremmingen,Danube,2017,"Böfinger Halde, KW-UW",33.5,Messstation Ingolstadt Luitpoldstraße,100.2,-0.4182,-0.6964,-0.1401,0.0032,0.3976,,,24,36,null
dissolved_oxygen,Gundremmingen,Danube,2021,"Böfinger Halde, KW-UW",33.5,Dillingen Meßstation,13.7,-0.3756,-0.9375,0.1864,0.1902,0.8034,-0.3121,0.0228,36,34,"null, but underpowered"
dissolved_oxygen,Gundremmingen,Danube,2021,"Böfinger Halde, KW-UW",33.5,Schäfstall Pegel,50.3,-0.1267,-0.3946,0.1411,0.3538,0.383,,,36,34,"null, but underpowered"
dissolved_oxygen,Gundremmingen,Danube,2021,"Böfinger Halde, KW-UW",33.5,BITTENBRUNN KW-OW,76.2,-0.0715,-0.3532,0.2103,0.6191,0.4028,-0.3,0.0671,36,35,"null, but underpowered"
dissolved_oxygen,Gundremmingen,Danube,2021,"Böfinger Halde, KW-UW",33.5,Messstation Ingolstadt Luitpoldstraße,100.2,-0.0387,-0.3325,0.2551,0.7963,0.42,,,36,35,"null, but underpowered"
dissolved_oxygen,Isar,Isar,2011,HOFHAM,21.5,GOTTFRIEDING BRUECKE,20.3,0.0073,-0.8125,0.8271,0.9861,1.172,,,20,25,"null, but underpowered"
dissolved_oxygen,Isar,Isar,2011,HOFHAM,21.5,Plattling Bruecke B8,54.4,0.0092,-0.7224,0.7408,0.9804,1.0459,,,33,35,"null, but underpowered"
dissolved_oxygen,Isar,Isar,2011,HMS Moosburg,36.9,Plattling Bruecke B8,54.4,0.9127,0.3135,1.5119,0.0028,0.8567,0.4306,0.1495,36,36,effect
dissolved_oxygen,Isar,Isar,2023,Baierbrunn oh Ausleitung,104.3,Plattling Bruecke B8,54.4,0.6722,0.2787,1.0658,0.0008,0.5626,0.1028,0.6513,36,12,effect
water_temperature,Grafenrheinfeld,Main,2015,Schweinfurt,6.1,Astheim,18.6,0.414,0.2287,0.5994,0.0,0.2649,-0.0497,0.5711,1050,1072,null
water_temperature,Grafenrheinfeld,Main,2015,Schweinfurt,6.1,Würzburg,77.5,0.3154,0.2208,0.4099,0.0,0.1352,-0.2001,0.0389,1056,1089,null
water_temperature,Grafenrheinfeld,Main,2015,Schweinfurt,6.1,Erlabrunn Messstation,88.1,0.2449,0.1462,0.3436,0.0,0.1411,,,1047,1077,null
water_temperature,Gundremmingen,Danube,2017,Neu-Ulm,39.0,Donauwörth,46.1,0.2058,0.0773,0.3344,0.0017,0.1838,-0.5217,0.0,1087,1092,null
water_temperature,Gundremmingen,Danube,2017,Neu-Ulm,39.0,Ingolstadt Luitpoldstr.,100.2,0.1999,0.0911,0.3086,0.0003,0.1554,-0.3092,0.0,1096,1092,null
water_temperature,Gundremmingen,Danube,2021,Neu-Ulm,39.0,Donauwörth,46.1,0.2186,0.1008,0.3365,0.0003,0.1685,0.3209,0.0,1092,1094,null
water_temperature,Gundremmingen,Danube,2021,Neu-Ulm,39.0,Ingolstadt Luitpoldstr.,100.2,0.0094,-0.0953,0.1141,0.86,0.1497,,,1092,1096,null
water_temperature,Isar,Isar,2011,Landshut-Birket,16.4,Landau,33.8,-1.931,-2.2146,-1.6474,0.0,0.4054,-0.2036,0.4423,1096,1096,effect
water_temperature,Isar,Isar,2023,Landshut-Birket,16.4,Landau,33.8,-0.1434,-0.3392,0.0525,0.1513,0.28,0.1903,0.0316,1089,366,"null, but underpowered"
