outcome,site,river,event_year,spec,blocks_shut,electric_net_mw,annual_net_twh,waste_heat_gw,heat_to_river_gw,downstream_station,downstream_km,did,ci_low,ci_high,p_value,effect_removed,per_twh,per_twh_ci_low,per_twh_ci_high,per_gw_river_heat,per_gw_ci_low,per_gw_ci_high,verdict,interpretable,figures_approximate
water_temperature,Grafenrheinfeld,Main,2015,nearest_downstream,Grafenrheinfeld,1275.0,9.425,2.49,0.0747,Astheim,18.6,0.414,0.2287,0.5994,0.0,-0.414,-0.0439,-0.0243,-0.0636,-5.5422,-3.0616,-8.0241,,False,False
water_temperature,Grafenrheinfeld,Main,2015,donut,Grafenrheinfeld,1275.0,9.425,2.49,0.0747,Astheim,18.6,0.5497,0.3901,0.7093,0.0,-0.5497,-0.0583,-0.0414,-0.0753,-7.3588,-5.2222,-9.4953,,False,False
water_temperature,Gundremmingen,Danube,2017,nearest_downstream,Gundremmingen B,1284.0,10.5,2.556,0.0767,Donauwörth,46.1,0.2058,0.0773,0.3344,0.0017,-0.2058,-0.0196,-0.0074,-0.0318,-2.6832,-1.0078,-4.3598,,False,False
water_temperature,Gundremmingen,Danube,2017,donut,Gundremmingen B,1284.0,10.5,2.556,0.0767,Donauwörth,46.1,0.1164,-0.0034,0.2361,0.0568,-0.1164,-0.0111,0.0003,-0.0225,-1.5176,0.0443,-3.0782,,False,False
water_temperature,Gundremmingen,Danube,2021,nearest_downstream,Gundremmingen C,1288.0,10.5,2.552,0.0766,Donauwörth,46.1,0.2186,0.1008,0.3365,0.0003,-0.2186,-0.0208,-0.0096,-0.032,-2.8538,-1.3159,-4.393,,False,False
water_temperature,Gundremmingen,Danube,2021,donut,Gundremmingen C,1288.0,10.5,2.552,0.0766,Donauwörth,46.1,0.3127,0.1808,0.4446,0.0,-0.3127,-0.0298,-0.0172,-0.0423,-4.0822,-2.3603,-5.8042,,False,False
water_temperature,Isar,Isar,2011,nearest_downstream,Isar 1,878.0,6.009,1.697,1.6121,Landau,33.8,-1.931,-2.2146,-1.6474,0.0,1.931,0.3214,0.3685,0.2742,1.1978,1.3737,1.0219,effect,True,False
water_temperature,Isar,Isar,2011,donut,Isar 1,878.0,6.009,1.697,1.6121,Landau,33.8,-2.0787,-2.3452,-1.8121,0.0,2.0787,0.3459,0.3903,0.3016,1.2894,1.4547,1.1241,effect,True,False
water_temperature,Isar,Isar,2023,nearest_downstream,Isar 2,1410.0,11.477,2.54,0.0762,Landau,33.8,-0.1434,-0.3392,0.0525,0.1513,0.1434,0.0125,0.0296,-0.0046,1.8819,4.4514,-0.689,"null, but underpowered",False,False
dissolved_oxygen,Grafenrheinfeld,Main,2015,nearest_downstream,Grafenrheinfeld,1275.0,9.425,2.49,0.0747,Erlabrunn KW-OW,88.0,0.2208,-0.239,0.6807,0.3466,0.2208,0.0234,-0.0254,0.0722,2.9558,-3.1995,9.1124,"null, but underpowered",False,False
dissolved_oxygen,Grafenrheinfeld,Main,2015,donut,Grafenrheinfeld,1275.0,9.425,2.49,0.0747,Erlabrunn KW-OW,88.0,0.2921,-0.1671,0.7513,0.2124,0.2921,0.031,-0.0177,0.0797,3.9103,-2.2369,10.0576,"null, but underpowered",False,False
dissolved_oxygen,Gundremmingen,Danube,2017,nearest_downstream,Gundremmingen B,1284.0,10.5,2.556,0.0767,Dillingen Meßstation,13.7,0.034,-0.4301,0.4981,0.8857,0.034,0.0032,-0.041,0.0474,0.4433,-5.6076,6.4941,"null, but underpowered",False,False
dissolved_oxygen,Gundremmingen,Danube,2017,donut,Gundremmingen B,1284.0,10.5,2.556,0.0767,Dillingen Meßstation,13.7,-0.0873,-0.4308,0.2562,0.6183,-0.0873,-0.0083,-0.041,0.0244,-1.1382,-5.6167,3.3403,"null, but underpowered",False,False
dissolved_oxygen,Gundremmingen,Danube,2021,nearest_downstream,Gundremmingen C,1288.0,10.5,2.552,0.0766,Dillingen Meßstation,13.7,-0.3756,-0.9375,0.1864,0.1902,-0.3756,-0.0358,-0.0893,0.0178,-4.9034,-12.2389,2.4334,"null, but underpowered",False,False
dissolved_oxygen,Gundremmingen,Danube,2021,donut,Gundremmingen C,1288.0,10.5,2.552,0.0766,Dillingen Meßstation,13.7,-0.7891,-1.3226,-0.2556,0.0037,-0.7891,-0.0752,-0.126,-0.0243,-10.3016,-17.2663,-3.3368,"null, but underpowered",False,False
dissolved_oxygen,Isar,Isar,2011,nearest_downstream,Isar 1,878.0,6.009,1.697,1.6121,GOTTFRIEDING BRUECKE,20.3,0.0073,-0.8125,0.8271,0.9861,0.0073,0.0012,-0.1352,0.1376,0.0045,-0.504,0.5131,"null, but underpowered",False,False
dissolved_oxygen,Isar,Isar,2011,donut,Isar 1,878.0,6.009,1.697,1.6121,GOTTFRIEDING BRUECKE,20.3,-0.501,-1.1495,0.1476,0.13,-0.501,-0.0834,-0.1913,0.0246,-0.3108,-0.713,0.0916,"null, but underpowered",False,False
