outcome,site,river,event_year,spec,sample,unit,upstream_station,upstream_km,downstream_station,downstream_km,up_pre,up_post,down_pre,down_post,gap_pre,gap_post,did,std_error,min_detectable_effect,ci_low,ci_high,p_value,pooled_did,pooled_p_value,n_pre,n_post
water_temperature,Grafenrheinfeld,Main,2015,nearest_downstream,all_year,°C,Schweinfurt,6.1,Astheim,18.6,12.1032,12.4646,12.1965,12.9669,0.0932,0.5022,0.414,0.0946,0.2649,0.2287,0.5994,0.0,0.409,0.0,1050,1072
water_temperature,Grafenrheinfeld,Main,2015,donut,donut_drop_1y_each_side,°C,Schweinfurt,6.1,Astheim,18.6,11.8019,12.5198,11.9337,13.2003,0.1318,0.6805,0.5497,0.0814,0.2282,0.3901,0.7093,0.0,0.5486,0.0,1062,1091
water_temperature,Grafenrheinfeld,Main,2015,season_split,summer_jun_sep,°C,Schweinfurt,6.1,Astheim,18.6,19.4284,20.3847,19.4645,20.9352,0.0361,0.5505,0.5241,0.1509,0.4228,0.2283,0.8198,0.0005,0.5145,0.0,352,366
water_temperature,Grafenrheinfeld,Main,2015,season_split,winter_oct_may,°C,Schweinfurt,6.1,Astheim,18.6,8.4092,8.3588,8.5312,8.836,0.1221,0.4772,0.3577,0.1133,0.3176,0.1355,0.5798,0.0016,0.3551,0.0,698,706
water_temperature,Grafenrheinfeld,Main,2015,placebo,placebo_2012,°C,Schweinfurt,6.1,Astheim,18.6,11.3772,12.037,11.4987,12.1057,0.1215,0.0687,-0.0497,0.0878,0.2461,-0.2219,0.1224,0.5711,-0.0528,0.0,1044,686
water_temperature,Grafenrheinfeld,Main,2015,distance_sensitivity,all_year,°C,Schweinfurt,6.1,Würzburg,77.5,12.1425,12.3325,12.4148,12.9168,0.2723,0.5843,0.3154,0.0482,0.1352,0.2208,0.4099,0.0,0.312,0.0,1056,1089
water_temperature,Grafenrheinfeld,Main,2015,distance_sensitivity,all_year,°C,Schweinfurt,6.1,Erlabrunn Messstation,88.1,12.4078,12.2876,13.0966,13.2032,0.6887,0.9157,0.2449,0.0503,0.1411,0.1462,0.3436,0.0,0.227,0.0,1047,1077
water_temperature,Grafenrheinfeld,Main,2015,best_coverage,all_year,°C,Schweinfurt,6.1,Würzburg,77.5,12.1425,12.3325,12.4148,12.9168,0.2723,0.5843,0.3154,0.0482,0.1352,0.2208,0.4099,0.0,0.312,0.0,1056,1089
water_temperature,Grafenrheinfeld,Main,2015,best_coverage_donut,donut_drop_1y_each_side,°C,Schweinfurt,6.1,Würzburg,77.5,11.8508,12.5441,12.1516,13.1829,0.3008,0.6388,0.3399,0.0332,0.0929,0.2749,0.4049,0.0,0.3381,0.0,1060,1089
water_temperature,Grafenrheinfeld,Main,2015,best_coverage_season_split,summer_jun_sep,°C,Schweinfurt,6.1,Würzburg,77.5,19.428,20.3847,19.8787,21.2872,0.4507,0.9025,0.4524,0.0531,0.1488,0.3483,0.5565,0.0,0.4518,0.0,357,366
water_temperature,Grafenrheinfeld,Main,2015,best_coverage_season_split,winter_oct_may,°C,Schweinfurt,6.1,Würzburg,77.5,8.4216,8.2563,8.6027,8.6795,0.1811,0.4232,0.2456,0.0655,0.1835,0.1173,0.374,0.0002,0.2421,0.0,699,723
water_temperature,Grafenrheinfeld,Main,2015,best_coverage_placebo,placebo_2012,°C,Schweinfurt,6.1,Würzburg,77.5,11.2952,12.0385,11.7349,12.2825,0.4398,0.2441,-0.2001,0.0969,0.2714,-0.3899,-0.0102,0.0389,-0.1957,0.0,1033,699
water_temperature,Gundremmingen,Danube,2017,nearest_downstream,all_year,°C,Neu-Ulm,39.0,Donauwörth,46.1,10.8711,11.1614,11.5195,12.0254,0.6484,0.8639,0.2058,0.0656,0.1838,0.0773,0.3344,0.0017,0.2155,0.0,1087,1092
water_temperature,Gundremmingen,Danube,2017,donut,donut_drop_1y_each_side,°C,Neu-Ulm,39.0,Donauwörth,46.1,10.6125,10.6152,11.4082,11.535,0.7957,0.9198,0.1164,0.0611,0.1712,-0.0034,0.2361,0.0568,0.1241,0.0,1086,1096
water_temperature,Gundremmingen,Danube,2017,season_split,summer_jun_sep,°C,Neu-Ulm,39.0,Donauwörth,46.1,16.5314,17.3694,17.9022,19.138,1.3709,1.7686,0.3945,0.1099,0.308,0.1791,0.6099,0.0003,0.3977,0.0,357,366
water_temperature,Gundremmingen,Danube,2017,season_split,winter_oct_may,°C,Neu-Ulm,39.0,Donauwörth,46.1,8.103,8.0318,8.3981,8.4397,0.2951,0.4079,0.1122,0.0742,0.2079,-0.0332,0.2576,0.1304,0.1128,0.0,730,726
water_temperature,Gundremmingen,Danube,2017,placebo,placebo_2014,°C,Neu-Ulm,39.0,Donauwörth,46.1,10.2579,10.7932,11.3523,11.3622,1.0944,0.5691,-0.5217,0.0603,0.1689,-0.6398,-0.4035,0.0,-0.5253,0.0,1082,731
