plant,company,city,state,energy_source,technology,chp,capacity_net_bnetza,commissioned_year,shutdown_year,status,is_nuclear,latitude,longitude,river,river_km,offset_m
Kernkraft Gundremmingen (B),RWE Power AG,Gundremmingen,Bayern,Nuclear,Steam turbine,no,1284.0,1984.0,2017.0,shutdown,True,48.515,10.402,Danube,585.743,1192.695
Kernkraft Gundremmingen (C),RWE Power AG,Gundremmingen,Bayern,Nuclear,Steam turbine,no,1288.0,1984.0,,operating,True,48.516,10.398,Danube,585.627,945.63
Ingolstadt (3),Uniper Kraftwerke GmbH ,Großmehring,Bayern,Oil,Steam turbine,no,386.0,1973.0,,operating,False,48.761,11.503,Danube,479.054,110.64
Ingolstadt (4),Uniper Kraftwerke GmbH ,Großmehring,Bayern,Oil,Steam turbine,no,386.0,1974.0,,operating,False,48.761,11.503,Danube,479.054,110.64
Gemeinschaftskraftwerk Irsching (5),Gemeinschaftskraftwerk Irsching GmbH,Vohburg,Bayern,Natural gas,Combined cycle,no,846.0,2010.0,,operating,False,48.767,11.58,Danube,473.109,289.889
Ulrich Hartmann (Irsching) (4),Uniper Kraftwerke GmbH ,Vohburg,Bayern,Natural gas,Combined cycle,no,561.0,2011.0,,operating,False,48.767,11.58,Danube,473.109,289.889
Irsching (3),Uniper Kraftwerke GmbH ,Vohburg,Bayern,Oil,Steam turbine,no,415.0,1974.0,,operating,False,48.767,11.58,Danube,473.109,289.889
Moorburg B (B),Vattenfall Heizkraftwerk Moorburg GmbH,Hamburg,Hamburg,Hard coal,Steam turbine,yes,800.0,2015.0,,operating,False,53.486,9.953,Elbe,118.221,367.123
Moorburg A (A),Vattenfall Heizkraftwerk Moorburg GmbH,Hamburg,Hamburg,Hard coal,Steam turbine,yes,800.0,2015.0,,operating,False,53.486,9.953,Elbe,118.221,367.123
Wedel (Wedel 2),Wärme Hamburg GmbH,Wedel,Schleswig-Holstein,Hard coal,Steam turbine,yes,123.0,1962.0,,operating,False,53.567,9.724,Elbe,89.816,376.341
Wedel (Wedel 1),Wärme Hamburg GmbH,Wedel,Schleswig-Holstein,Hard coal,Steam turbine,yes,137.0,1961.0,,operating,False,53.567,9.724,Elbe,89.816,376.341
Dow Stade (Kraftwärmekopplungsanlage),Dow Deutschland Anlagengesellschaft mbH,Stade,Niedersachsen,Natural gas,Steam turbine,yes,190.0,,2014.0,shutdown,False,53.652,9.508,Elbe,71.903,644.931
Dow Stade (Cogen Dow Stade),Dow Deutschland Anlagengesellschaft mbH,Stade,Niedersachsen,Natural gas,Combined cycle,yes,157.0,2015.0,,operating,False,53.652,9.508,Elbe,71.903,644.931
Brokdorf (KBR),Preussen Elektra GmbH,Brokdorf,Schleswig-Holstein,Nuclear,Steam turbine,no,1410.0,1986.0,,operating,True,53.851,9.346,Elbe,46.717,1319.954
Emsland (C1),RWE Generation SE,Lingen,Niedersachsen,Natural gas,Combined cycle,yes,116.0,1974.0,,operating,False,52.482,7.307,Ems,127.595,542.983
Emsland (B1),RWE Generation SE,Lingen,Niedersachsen,Natural gas,Combined cycle,yes,116.0,1973.0,,operating,False,52.482,7.307,Ems,127.595,542.983
Emsland (B2),RWE Generation SE,Lingen,Niedersachsen,Natural gas,Combined cycle,yes,359.0,1973.0,,operating,False,52.482,7.307,Ems,127.595,542.983
Emsland (C2),RWE Generation SE,Lingen,Niedersachsen,Natural gas,Combined cycle,yes,359.0,1974.0,,operating,False,52.482,7.307,Ems,127.595,542.983
Emsland (D),RWE Generation SE,Lingen,Niedersachsen,Natural gas,Combined cycle,yes,887.0,2010.0,,operating,False,52.482,7.307,Ems,127.595,542.983
Kernkraftwerk Emsland (KKE),RWE Power AG,Lingen,Niedersachsen,Nuclear,Steam turbine,no,1336.0,1988.0,,operating,True,52.482,7.307,Ems,127.595,542.983
BP Werk Lingen,BP Europa SE,Lingen,Niedersachsen,Natural gas,Steam turbine,yes,66.0,1996.0,,operating,False,52.561,7.295,Ems,116.171,1791.023
Süd DT1 (1),SWM Services GmbH,München,Bayern,Natural gas,Combined cycle,yes,79.7,1980.0,,operating,False,48.135,11.582,Isar,153.484,452.239
Süd GT3 (1),SWM Services GmbH,München,Bayern,Natural gas,Combined cycle,yes,97.9,1980.0,,operating,False,48.135,11.582,Isar,153.484,452.239
Süd GT2 (1),SWM Services GmbH,München,Bayern,Natural gas,Combined cycle,yes,97.9,1980.0,,operating,False,48.135,11.582,Isar,153.484,452.239
Süd GT 61 (2),SWM Services GmbH,München,Bayern,Natural gas,Combined cycle,yes,124.9,2004.0,,operating,False,48.135,11.582,Isar,153.484,452.239
Süd GT 62 (2),SWM Services GmbH,München,Bayern,Natural gas,Combined cycle,yes,123.9,2004.0,,operating,False,48.135,11.582,Isar,153.484,452.239
Süd DT60 (2),SWM Services GmbH,München,Bayern,Natural gas,Combined cycle,yes,127.6,2004.0,,operating,False,48.135,11.582,Isar,153.484,452.239
Nord 2 (2),SWM Services GmbH,Unterföhring,Bayern,Hard coal,Steam turbine,yes,332.7,1991.0,,operating,False,48.181,11.64,Isar,146.534,820.486
Isar 2 (KKI 2),Preussen Elektra GmbH,Essenbach,Bayern,Nuclear,Steam turbine,no,1410.0,1988.0,,operating,True,48.605,12.295,Isar,63.813,279.945
Kraftwerk Plattling,Kraftwerk Platting GmbH,Plattling,Bayern,Natural gas,Combined cycle,yes,118.5,2010.0,,operating,False,48.787,12.882,Isar,8.678,1263.845
