Plant,Distance,beta,SE,p-value,N,estimable,message
Biblis A,<= 10,,,,40,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Biblis A,<= 25,,,,43,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Biblis A,<= 50,2.112574561403496,2.440206361518708,0.38663493816643846,51,True,
Biblis A,<= 75,2.112574561403496,2.440206361518708,0.38663493816643846,51,True,
Biblis B,<= 10,,,,40,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Biblis B,<= 25,,,,40,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Biblis B,<= 50,,,,40,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Biblis B,<= 75,,,,40,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Unterweser,<= 10,,,,54,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Unterweser,<= 25,,,,54,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Unterweser,<= 50,,,,54,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Unterweser,<= 75,,,,54,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Isar 1,<= 10,,,,14,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Isar 1,<= 25,,,,20,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Isar 1,<= 50,,,,24,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Isar 1,<= 75,,,,24,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Isar 2,<= 10,,,,12,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Isar 2,<= 25,,,,12,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Isar 2,<= 50,,,,12,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Isar 2,<= 75,,,,12,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Neckarwestheim 1,<= 10,,,,27,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Neckarwestheim 1,<= 25,,,,42,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Neckarwestheim 1,<= 50,,,,42,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Neckarwestheim 1,<= 75,,,,59,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Neckarwestheim 2,<= 10,,,,23,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Neckarwestheim 2,<= 25,,,,23,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
