Plant,Shutdown,Upstream stations,Downstream stations,DiD estimable,beta,N,upstream_pre_n,upstream_post_n,downstream_pre_n,downstream_post_n
Biblis A,2011,6,4,True,2.112574561403496,51,2,38,3,8
Biblis B,2011,6,0,False,,40,2,38,0,0
Unterweser,2011,10,0,False,,54,5,49,0,0
Isar 1,2011,2,2,False,,24,0,14,0,10
Isar 2,2023,2,0,False,,12,11,1,0,0
Neckarwestheim 1,2011,4,5,False,,59,0,27,0,32
Neckarwestheim 2,2023,4,0,False,,23,19,4,0,0
Philippsburg 1,2011,2,4,False,,40,0,10,2,28
Philippsburg 2,2019,2,0,False,,10,2,8,0,0
Grohnde,2021,1,9,True,3.953407563025145,48,1,2,28,17
Emsland,2023,3,0,False,,17,15,2,0,0
Brokdorf,2021,4,0,False,,7,4,3,0,0
Grafenrheinfeld,2015,6,7,True,0.5835419960156717,92,13,27,14,38
Gundremmingen B,2017,2,5,False,,42,0,8,11,23
Gundremmingen C,2021,2,0,False,,6,2,4,0,0
