# Dataset: conventional thermal power plants (Open Power System Data, conventional_power_plants_DE).
# Source file: data/processed/conventional_plants_de_relevant_clean.csv
# Filter 1 (site): kept only plants within 50 km of a study reactor site.
# Filter 2 (window): kept only plants whose operating life overlaps 2006-2018
#           (commissioned no later than 2018 and not shut down before 2006).
# Purpose: these are potential thermal confounders near the study rivers.
# The study nuclear reactors themselves are documented in data/processed/group_assignment.csv.
# Added columns: nearest study reactor, its group and the distance in km.
plant_id,plant_name,block_name,company,state,city,capacity_mw,commissioned_year,shutdown_year,status,energy_source,energy_source_level_1,energy_source_level_2,technology,type,latitude,longitude,distance_to_nearest_nuclear_km,nearest_study_reactor,nearest_study_group,distance_to_study_reactor_km
BNA0019,Heizkraftwerk Altbach/Deizisau,ALT HKW 2 (DT Solobetrieb),EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Altbach,336.0,1997,,operating,Hard coal,Fossil fuels,Hard coal,Steam turbine,CHP,48.717611,9.374917,38.829,Neckarwestheim 1,Partial,38.828
BNA0020,Heizkraftwerk Altbach/Deizisau,ALT HKW 1,EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Altbach,433.0,1985,,operating,Hard coal,Fossil fuels,Hard coal,Steam turbine,CHP,48.717611,9.374917,38.829,Neckarwestheim 1,Partial,38.828
BNA0403,Wedel,Wedel 2,Wärme Hamburg GmbH,Schleswig-Holstein,Wedel,123.0,1962,,operating,Hard coal,Fossil fuels,Hard coal,Steam turbine,CHP,53.56695702,9.724445343,40.234,Brokdorf,Kontrolle,40.236
BNA0404,Wedel,Wedel 1,Wärme Hamburg GmbH,Schleswig-Holstein,Wedel,137.0,1961,,operating,Hard coal,Fossil fuels,Hard coal,Steam turbine,CHP,53.56695702,9.724445343,40.234,Brokdorf,Kontrolle,40.236
BNA0420,GKH,Block1,enercity AG,Niedersachsen,Hannover,136.0,1989,,operating,Hard coal,Fossil fuels,Hard coal,Steam turbine,CHP,52.42,9.648611,45.64,Grohnde,Kontrolle,45.644
BNA0421,GKH,Block2,enercity AG,Niedersachsen,Hannover,136.0,1989,,operating,Hard coal,Fossil fuels,Hard coal,Steam turbine,CHP,52.42,9.648611,45.64,Grohnde,Kontrolle,45.644
BNA0432,Heizkraftwerk Heilbronn,HLB 5,EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Heilbronn,125.0,1965,,operating,Hard coal,Fossil fuels,Hard coal,Steam turbine,,49.177334,9.206318,15.318,Neckarwestheim 1,Partial,15.319
BNA0433,Heizkraftwerk Heilbronn,HLB 6,EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Heilbronn,125.0,1966,,operating,Hard coal,Fossil fuels,Hard coal,Steam turbine,,49.177334,9.206318,15.318,Neckarwestheim 1,Partial,15.319
BNA0434,Heizkraftwerk Heilbronn,HLB 7,EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Heilbronn,778.0,1985,,operating,Hard coal,Fossil fuels,Hard coal,Steam turbine,CHP,49.177334,9.206318,15.318,Neckarwestheim 1,Partial,15.319
BNA0493,Ibbenbüren,B,RWE Generation SE,Nordrhein-Westfalen,Ibbenbüren,794.0,1985,,seasonal_conservation,Hard coal,Fossil fuels,Hard coal,Steam turbine,,52.28881179,7.747906179,36.846,Emsland,Kontrolle,36.845
BNA0518a,Rheinhafen-Dampfkraftwerk,RDK 7,EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Karlsruhe,517.0,1985,,operating,Hard coal,Fossil fuels,Hard coal,Steam turbine,CHP,49.0125,8.302778,28.402,Philippsburg 1,Partial,28.399
BNA0518b,Rheinhafen-Dampfkraftwerk,RDK 8,EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Karlsruhe,834.0,2014,,operating,Hard coal,Fossil fuels,Hard coal,Steam turbine,,49.0125,8.302778,28.402,Philippsburg 1,Partial,28.399
BNA0642,GKM,Block 3,Grosskraftwerk Mannheim AG,Baden-Württemberg,Mannheim,202.5,1966,2015,shutdown,Hard coal,Fossil fuels,Hard coal,Steam turbine,,49.445694,8.490444,21.824,Philippsburg 1,Partial,21.827
