# Water quality, monthly mean per site, from the Waterbase v2025_1 disaggregated data.
# German sites on a study river within 50 km of a study reactor.
# Built by waterbase_disaggregated.py.
site_id,site_name,water_body_name,latitude,longitude,study_river,position,nearest_upstream_plant,nearest_upstream_group,along_river_km,distance_band,determinand,year,month,mean_value,n_samples
DE5869,NEUENFELDE,SEEVE - ESTE,53.51386,9.80207,Elbe,upstream,,,,,dissolved_oxygen,2008,4,0.1,1
DE5869,NEUENFELDE,SEEVE - ESTE,53.51386,9.80207,Elbe,upstream,,,,,dissolved_oxygen,2008,9,0.14,1
DE5869,NEUENFELDE,SEEVE - ESTE,53.51386,9.80207,Elbe,upstream,,,,,dissolved_oxygen,2011,4,0.12,1
DE5869,NEUENFELDE,SEEVE - ESTE,53.51386,9.80207,Elbe,upstream,,,,,dissolved_oxygen,2011,10,0.02,1
DEGM_BY_1131703700020,KEIN NAME,NAME,48.94573,11.98303,Danube,downstream,Gundremmingen B,staggered_treatment,126.3,>50,dissolved_oxygen,2012,9,1.4,1
DEGM_BY_1131703700020,KEIN NAME,NAME,48.94573,11.98303,Danube,downstream,Gundremmingen B,staggered_treatment,126.3,>50,dissolved_oxygen,2013,6,1.5,1
DEGM_BY_1131703700020,KEIN NAME,NAME,48.94573,11.98303,Danube,downstream,Gundremmingen B,staggered_treatment,126.3,>50,dissolved_oxygen,2014,6,1.6,1
DEGM_BY_1131703700020,KEIN NAME,NAME,48.94573,11.98303,Danube,downstream,Gundremmingen B,staggered_treatment,126.3,>50,dissolved_oxygen,2015,5,1.1,1
DEGM_BY_1131703700020,KEIN NAME,NAME,48.94573,11.98303,Danube,downstream,Gundremmingen B,staggered_treatment,126.3,>50,dissolved_oxygen,2016,4,1.2,1
DEGM_BY_1131703700020,KEIN NAME,NAME,48.94573,11.98303,Danube,downstream,Gundremmingen B,staggered_treatment,126.3,>50,dissolved_oxygen,2017,5,1.1,1
DEGM_BY_1131703700020,KEIN NAME,NAME,48.94573,11.98303,Danube,downstream,Gundremmingen B,staggered_treatment,126.3,>50,dissolved_oxygen,2018,5,0.9,1
DEGM_BY_1131703700020,KEIN NAME,NAME,48.94573,11.98303,Danube,downstream,Gundremmingen B,staggered_treatment,126.3,>50,dissolved_oxygen,2019,5,2.1,1
DEGM_BY_1131703700020,KEIN NAME,NAME,48.94573,11.98303,Danube,downstream,Gundremmingen B,staggered_treatment,126.3,>50,dissolved_oxygen,2020,6,1.6,1
DEGM_BY_1131703700020,KEIN NAME,NAME,48.94573,11.98303,Danube,downstream,Gundremmingen B,staggered_treatment,126.3,>50,dissolved_oxygen,2021,7,2.0,1
DEGM_BY_1131703700020,KEIN NAME,NAME,48.94573,11.98303,Danube,downstream,Gundremmingen B,staggered_treatment,126.3,>50,dissolved_oxygen,2023,6,3.3,1
DEGM_BY_1131734000021,KEIN NAME,NAME,48.6303,12.49426,Isar,downstream,Isar 1,partial,14.3,10-25,dissolved_oxygen,2012,5,3.3,1
