# Water quality, June-September (summer) mean per site and year, from the Waterbase
# v2025_1 disaggregated (individual-sample) data. German sites on a study river within
# 50 km of a study reactor; determinand in {water_temperature (Cel), dissolved_oxygen (mg/L)}.
# n_samples is the number of underlying measurements. Built by waterbase_disaggregated.py.
site_id,site_name,water_body_name,latitude,longitude,study_river,position,nearest_upstream_plant,nearest_upstream_group,along_river_km,distance_band,determinand,year,mean_value,n_samples
DE5869,NEUENFELDE,SEEVE - ESTE,53.51386,9.80207,Elbe,upstream,,,,,dissolved_oxygen,2008,0.14,1
DEGM_BY_1131703700020,KEIN NAME,NAME,48.94573,11.98303,Danube,downstream,Gundremmingen B,staggered_treatment,126.3,>50,dissolved_oxygen,2012,1.4,1
DEGM_BY_1131703700020,KEIN NAME,NAME,48.94573,11.98303,Danube,downstream,Gundremmingen B,staggered_treatment,126.3,>50,dissolved_oxygen,2013,1.5,1
DEGM_BY_1131703700020,KEIN NAME,NAME,48.94573,11.98303,Danube,downstream,Gundremmingen B,staggered_treatment,126.3,>50,dissolved_oxygen,2014,1.6,1
DEGM_BY_1131703700020,KEIN NAME,NAME,48.94573,11.98303,Danube,downstream,Gundremmingen B,staggered_treatment,126.3,>50,dissolved_oxygen,2020,1.6,1
DEGM_BY_1131703700020,KEIN NAME,NAME,48.94573,11.98303,Danube,downstream,Gundremmingen B,staggered_treatment,126.3,>50,dissolved_oxygen,2021,2.0,1
DEGM_BY_1131703700020,KEIN NAME,NAME,48.94573,11.98303,Danube,downstream,Gundremmingen B,staggered_treatment,126.3,>50,dissolved_oxygen,2023,3.3,1
DEGM_BY_1131734000021,KEIN NAME,NAME,48.6303,12.49426,Isar,downstream,Isar 1,partial,14.3,10-25,dissolved_oxygen,2013,5.4,1
DEGM_BY_1131734000021,KEIN NAME,NAME,48.6303,12.49426,Isar,downstream,Isar 1,partial,14.3,10-25,dissolved_oxygen,2015,5.3,1
DEGM_BY_1131734000021,KEIN NAME,NAME,48.6303,12.49426,Isar,downstream,Isar 1,partial,14.3,10-25,dissolved_oxygen,2016,5.3,1
DEGM_BY_1131734000021,KEIN NAME,NAME,48.6303,12.49426,Isar,downstream,Isar 1,partial,14.3,10-25,dissolved_oxygen,2020,6.3,1
DEGM_BY_1131734000021,KEIN NAME,NAME,48.6303,12.49426,Isar,downstream,Isar 1,partial,14.3,10-25,dissolved_oxygen,2021,5.2,1
DEGM_BY_1131734000021,KEIN NAME,NAME,48.6303,12.49426,Isar,downstream,Isar 1,partial,14.3,10-25,dissolved_oxygen,2022,3.9,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2012,6.7,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2013,6.0,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2014,6.7,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2015,6.0,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2016,6.6,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2017,6.2,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2018,7.2,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2019,6.0,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2020,6.0,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2022,6.2,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2023,5.7,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2024,5.9,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2009,0.5,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2010,0.45,2
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2011,0.5,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2012,0.2,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2016,0.2,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2017,0.1,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2020,0.2,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2022,0.1,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2024,0.1,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2012,6.1,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2013,6.5,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2014,5.3,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2016,5.4,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2017,4.8,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2018,4.9,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2019,4.9,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2020,4.7,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2021,4.8,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2022,4.7,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2023,4.3,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2024,5.1,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2012,6.5,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2014,8.7,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2015,7.35,2
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2016,8.2,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2017,8.6,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2018,8.6,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2019,7.8,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2020,8.6,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2021,8.0,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2022,7.8,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2024,7.8,1
DEGM_DEBY_1131603000044,KEIN NAME,NAME,49.93403,10.77128,Main,upstream,,,,,dissolved_oxygen,2010,0.2,1
DEGM_DEBY_1131603000044,KEIN NAME,NAME,49.93403,10.77128,Main,upstream,,,,,dissolved_oxygen,2013,0.9,1
DEGM_DEBY_1131603000044,KEIN NAME,NAME,49.93403,10.77128,Main,upstream,,,,,dissolved_oxygen,2014,0.2,1
DEGM_DEBY_1131603000044,KEIN NAME,NAME,49.93403,10.77128,Main,upstream,,,,,dissolved_oxygen,2015,0.3,1
DEGM_DEBY_1131603000044,KEIN NAME,NAME,49.93403,10.77128,Main,upstream,,,,,dissolved_oxygen,2016,0.3,1
DEGM_DEBY_1131603000044,KEIN NAME,NAME,49.93403,10.77128,Main,upstream,,,,,dissolved_oxygen,2018,0.3,1
DEGM_DEBY_1131603000044,KEIN NAME,NAME,49.93403,10.77128,Main,upstream,,,,,dissolved_oxygen,2019,0.3,1
DEGM_DEBY_1131603000044,KEIN NAME,NAME,49.93403,10.77128,Main,upstream,,,,,dissolved_oxygen,2020,0.6,1
DEGM_DEBY_1131603000044,KEIN NAME,NAME,49.93403,10.77128,Main,upstream,,,,,dissolved_oxygen,2022,0.2,1
DEGM_DEBY_1131603000044,KEIN NAME,NAME,49.93403,10.77128,Main,upstream,,,,,dissolved_oxygen,2024,0.3,1
DEGM_DEBY_1131713600015,KEIN NAME,NAME,48.85906,11.8038,Danube,downstream,Gundremmingen B,staggered_treatment,110.3,>50,dissolved_oxygen,2010,4.8,1
DEGM_DEBY_1131713600015,KEIN NAME,NAME,48.85906,11.8038,Danube,downstream,Gundremmingen B,staggered_treatment,110.3,>50,dissolved_oxygen,2013,6.3,1
DEGM_DEBY_1131713600015,KEIN NAME,NAME,48.85906,11.8038,Danube,downstream,Gundremmingen B,staggered_treatment,110.3,>50,dissolved_oxygen,2014,4.5,1
DEGM_DEBY_1131713600015,KEIN NAME,NAME,48.85906,11.8038,Danube,downstream,Gundremmingen B,staggered_treatment,110.3,>50,dissolved_oxygen,2021,5.3,1
DEGM_DEBY_1131713600015,KEIN NAME,NAME,48.85906,11.8038,Danube,downstream,Gundremmingen B,staggered_treatment,110.3,>50,dissolved_oxygen,2022,4.6,1
DEGM_DEBY_1131713600015,KEIN NAME,NAME,48.85906,11.8038,Danube,downstream,Gundremmingen B,staggered_treatment,110.3,>50,dissolved_oxygen,2023,4.7,1
DEGM_DEBY_1131713600015,KEIN NAME,NAME,48.85906,11.8038,Danube,downstream,Gundremmingen B,staggered_treatment,110.3,>50,dissolved_oxygen,2024,4.8,1
DEGM_DEBY_4110592700159,KEIN NAME,NAME,50.03437,10.26596,Main,upstream,,,,,dissolved_oxygen,2012,4.1,1
DEGM_DEBY_4110592700159,KEIN NAME,NAME,50.03437,10.26596,Main,upstream,,,,,dissolved_oxygen,2013,1.0,1
DEGM_DEBY_4110592700159,KEIN NAME,NAME,50.03437,10.26596,Main,upstream,,,,,dissolved_oxygen,2023,1.0,1
DEGM_DEBY_4110592700159,KEIN NAME,NAME,50.03437,10.26596,Main,upstream,,,,,dissolved_oxygen,2024,0.2,1
DEGM_DEBY_4110622600018,KEIN NAME,NAME,49.72086,10.1391,Main,upstream,,,,,dissolved_oxygen,2012,5.5,1
DEGM_DEBY_4110622600018,KEIN NAME,NAME,49.72086,10.1391,Main,upstream,,,,,dissolved_oxygen,2013,5.4,1
