# Dataset: annual water temperature at German monitoring sites (EEA Waterbase v2020_1).
# Source: data/raw/waterbase/ Aggregated + Spatial files, determinand 'Water temperature'.
# Site filter: monitoring sites within the study radius of a study reactor.
# Window filter: observation years 2006-2018 (inclusive).
# Added columns: nearest study reactor, its group and the distance in km.
# River position added by river_position.py: each site is matched to its
# study river and classified upstream/downstream of the nearest reactor, with
# an approximate along-flow distance and distance band. Flow direction is a
# per-river heuristic (see the module); the up/down sign is robust, the distance
# is approximate. Filter on position=downstream for the plume-exposed sample;
# downstream_of_shock=1 marks sites below a 2011/staggered shutdown.
site_id,site_name,water_body_name,latitude,longitude,year,mean_value,min_value,max_value,sample_count,unit,nearest_reactor,nearest_group,distance_km,study_river,position,nearest_upstream_plant,nearest_upstream_group,along_river_km,distance_band,downstream_of_shock
DESM_BWU40,KARLSRUHE,"FREIFLIEßENDE RHEINSTRECKE, UNTERHALB STAUSTUFE IFFEZHEIM BIS OBERHALB LAUTERMÜNDUNG",48.92299,8.16898,2011,14.016,4.0,21.8,25,Cel,Philippsburg 1,partial,41.479,,off_river,,,,,0
DESM_BWU40,KARLSRUHE,"FREIFLIEßENDE RHEINSTRECKE, UNTERHALB STAUSTUFE IFFEZHEIM BIS OBERHALB LAUTERMÜNDUNG",48.92299,8.16898,2012,13.3958,1.6,24.5,24,Cel,Philippsburg 1,partial,41.479,,off_river,,,,,0
DERW_DEHH_VIP_SEEMANNSH,VIP_SEEMANNSH FT,EL_02,53.5418,9.8819,2008,12.4063,2.3,23.3,16,Cel,Brokdorf,control,49.275,,off_river,,,,,0
DERW_DEHH_VIP_SEEMANNSH,VIP_SEEMANNSH FT,EL_02,53.5418,9.8819,2009,12.1375,0.8,22.4,24,Cel,Brokdorf,control,49.275,,off_river,,,,,0
DERW_DEHH_VIP_SEEMANNSH,VIP_SEEMANNSH FT,EL_02,53.5418,9.8819,2010,11.05,-0.1,24.8,24,Cel,Brokdorf,control,49.275,,off_river,,,,,0
DERW_DEHH_VIP_SEEMANNSH,VIP_SEEMANNSH FT,EL_02,53.5418,9.8819,2011,11.8917,1.1,21.3,24,Cel,Brokdorf,control,49.275,,off_river,,,,,0
DERW_DEHH_VIP_SEEMANNSH,VIP_SEEMANNSH FT,EL_02,53.5418,9.8819,2012,13.4056,0.3,21.8,18,Cel,Brokdorf,control,49.275,,off_river,,,,,0
DESM_DENI_48852542,POPPENBURG,"LEINE, DESPE-INNERSTE",52.13589,9.76159,2008,11.2833,4.8,19.6,24,Cel,Grohnde,control,26.269,,off_river,,,,,0
DESM_DENI_48852542,POPPENBURG,"LEINE, DESPE-INNERSTE",52.13589,9.76159,2009,10.9583,2.9,20.1,24,Cel,Grohnde,control,26.269,,off_river,,,,,0
DESM_DENI_48852542,POPPENBURG,"LEINE, DESPE-INNERSTE",52.13589,9.76159,2010,10.2125,2.3,22.5,24,Cel,Grohnde,control,26.269,,off_river,,,,,0
DESM_DENI_48852542,POPPENBURG,"LEINE, DESPE-INNERSTE",52.13589,9.76159,2011,11.4,4.4,18.8,22,Cel,Grohnde,control,26.269,,off_river,,,,,0
DESM_DENI_48852542,POPPENBURG,"LEINE, DESPE-INNERSTE",52.13589,9.76159,2012,10.2375,0.6,18.9,24,Cel,Grohnde,control,26.269,,off_river,,,,,0
DESM_DENI_48862863,SARSTEDT,INNERSTE,52.24773,9.8286,2008,11.0417,4.6,17.5,12,Cel,Grohnde,control,36.862,,off_river,,,,,0
DESM_DENI_48862863,SARSTEDT,INNERSTE,52.24773,9.8286,2009,11.5417,1.5,18.9,12,Cel,Grohnde,control,36.862,,off_river,,,,,0
DESM_DENI_48862863,SARSTEDT,INNERSTE,52.24773,9.8286,2010,10.1833,0.9,20.0,12,Cel,Grohnde,control,36.862,,off_river,,,,,0
DESM_DENI_48862863,SARSTEDT,INNERSTE,52.24773,9.8286,2011,11.3,3.8,18.1,12,Cel,Grohnde,control,36.862,,off_river,,,,,0
DESM_DENI_48862863,SARSTEDT,INNERSTE,52.24773,9.8286,2012,10.8417,2.0,19.2,12,Cel,Grohnde,control,36.862,,off_river,,,,,0
DESM_DENI_49282075,HOLZKAMP003,DELME UNTERLAUF OBERHALB DELMENHORST,53.00301,8.57217,2008,9.58333,4.3,15.5,12,Cel,Unterweser,treatment,47.747,,off_river,,,,,0
DESM_DENI_49282075,HOLZKAMP003,DELME UNTERLAUF OBERHALB DELMENHORST,53.00301,8.57217,2009,10.05,2.8,15.9,12,Cel,Unterweser,treatment,47.747,,off_river,,,,,0
DESM_DENI_49282075,HOLZKAMP003,DELME UNTERLAUF OBERHALB DELMENHORST,53.00301,8.57217,2010,8.43333,1.5,14.6,12,Cel,Unterweser,treatment,47.747,,off_river,,,,,0
DESM_DENI_49282075,HOLZKAMP003,DELME UNTERLAUF OBERHALB DELMENHORST,53.00301,8.57217,2011,9.48333,2.5,15.6,12,Cel,Unterweser,treatment,47.747,,off_river,,,,,0
DESM_DENI_49282075,HOLZKAMP003,DELME UNTERLAUF OBERHALB DELMENHORST,53.00301,8.57217,2012,9.31667,2.7,16.3,12,Cel,Unterweser,treatment,47.747,,off_river,,,,,0
DESM_DENI_49482303,TIETJENSHÜTTE,HAMME III,53.20312,8.82025,2008,13.1083,5.0,23.5,12,Cel,Unterweser,treatment,33.894,,off_river,,,,,0
DESM_DENI_49482303,TIETJENSHÜTTE,HAMME III,53.20312,8.82025,2009,13.3917,2.9,25.4,12,Cel,Unterweser,treatment,33.894,,off_river,,,,,0
DESM_DENI_49482303,TIETJENSHÜTTE,HAMME III,53.20312,8.82025,2011,12.9667,3.8,21.8,12,Cel,Unterweser,treatment,33.894,,off_river,,,,,0
DESM_DENI_49482303,TIETJENSHÜTTE,HAMME III,53.20312,8.82025,2012,12.5091,3.2,23.1,11,Cel,Unterweser,treatment,33.894,,off_river,,,,,0
DESM_DENI_49572011,FARGE,WESER / TIDEBEREICH OBERH. BRAKE,53.20889,8.50524,2008,12.5167,5.7,20.5,12,Cel,Unterweser,treatment,24.503,Weser,downstream,Grohnde,control,143.1,>50,0
DESM_DENI_49572011,FARGE,WESER / TIDEBEREICH OBERH. BRAKE,53.20889,8.50524,2009,12.8,3.0,23.0,12,Cel,Unterweser,treatment,24.503,Weser,downstream,Grohnde,control,143.1,>50,0
DESM_DENI_49572011,FARGE,WESER / TIDEBEREICH OBERH. BRAKE,53.20889,8.50524,2010,12.45,2.1,25.0,12,Cel,Unterweser,treatment,24.503,Weser,downstream,Grohnde,control,143.1,>50,0
