# Dataset: annual water temperature at German monitoring sites (EEA Waterbase v2020_1).
# Source file: data/processed/water_temperature_de_annual_clean.csv
# Filter 1 (site): kept only monitoring sites within 50 km of a study reactor
#           site (all reactors except the excluded Krümmel/Brunsbüttel).
# Filter 2 (window): kept only observation years 2006-2018 (inclusive).
# Note: Waterbase supplies no rows for 2006, 2007 and 2015 for these sites; the window
#       therefore materialises as 2008-2014 plus 2016-2018.
# Added columns: nearest study reactor, its group and river, and the distance in km.
site_id,site_name,water_body_id,water_body_name,water_body_category,site_latitude,site_longitude,year,water_temperature_mean_c,water_temperature_min_c,water_temperature_max_c,water_temperature_observations,nearest_shutdown_plant_id,nearest_shutdown_plant_name,shutdown_year,distance_to_shutdown_plant_km,treatment_group,post_treatment,did_interaction,nearest_study_reactor,nearest_study_group,nearest_study_river,distance_to_study_reactor_km
DESM_BWU40,KARLSRUHE,DERW_DEBW_3-OR4,"FREIFLIEßENDE RHEINSTRECKE, UNTERHALB STAUSTUFE IFFEZHEIM BIS OBERHALB LAUTERMÜNDUNG",riverWaterBody,48.92299,8.16898,2011,14.016,4.0,21.8,25,BNA0802,Kernkraftwerk Philippsburg 2,2019,41.482,1,0,0,Philippsburg 1,Partial,Rhein,41.479
DESM_BWU40,KARLSRUHE,DERW_DEBW_3-OR4,"FREIFLIEßENDE RHEINSTRECKE, UNTERHALB STAUSTUFE IFFEZHEIM BIS OBERHALB LAUTERMÜNDUNG",riverWaterBody,48.92299,8.16898,2012,13.3958,1.6,24.5,24,BNA0802,Kernkraftwerk Philippsburg 2,2019,41.482,1,0,0,Philippsburg 1,Partial,Rhein,41.479
DERW_DEHH_VIP_SEEMANNSH,VIP_SEEMANNSH FT,DERW_DEHH_EL_02,EL_02,riverWaterBody,53.5418,9.8819,2008,12.4063,2.3,23.3,16,BNA0355,Grafenrheinfeld,2015,396.099,0,0,0,Brokdorf,Kontrolle,Elbe,49.275
DERW_DEHH_VIP_SEEMANNSH,VIP_SEEMANNSH FT,DERW_DEHH_EL_02,EL_02,riverWaterBody,53.5418,9.8819,2009,12.1375,0.8,22.4,24,BNA0355,Grafenrheinfeld,2015,396.099,0,0,0,Brokdorf,Kontrolle,Elbe,49.275
DERW_DEHH_VIP_SEEMANNSH,VIP_SEEMANNSH FT,DERW_DEHH_EL_02,EL_02,riverWaterBody,53.5418,9.8819,2010,11.05,-0.1,24.8,24,BNA0355,Grafenrheinfeld,2015,396.099,0,0,0,Brokdorf,Kontrolle,Elbe,49.275
DERW_DEHH_VIP_SEEMANNSH,VIP_SEEMANNSH FT,DERW_DEHH_EL_02,EL_02,riverWaterBody,53.5418,9.8819,2011,11.8917,1.1,21.3,24,BNA0355,Grafenrheinfeld,2015,396.099,0,0,0,Brokdorf,Kontrolle,Elbe,49.275
DERW_DEHH_VIP_SEEMANNSH,VIP_SEEMANNSH FT,DERW_DEHH_EL_02,EL_02,riverWaterBody,53.5418,9.8819,2012,13.4056,0.3,21.8,18,BNA0355,Grafenrheinfeld,2015,396.099,0,0,0,Brokdorf,Kontrolle,Elbe,49.275
DESM_DENI_48852542,POPPENBURG,DERW_DENI_21068,"LEINE, DESPE-INNERSTE",riverWaterBody,52.13589,9.76159,2008,11.2833,4.8,19.6,24,BNA0355,Grafenrheinfeld,2015,241.026,0,0,0,Grohnde,Kontrolle,Weser,26.269
DESM_DENI_48852542,POPPENBURG,DERW_DENI_21068,"LEINE, DESPE-INNERSTE",riverWaterBody,52.13589,9.76159,2009,10.9583,2.9,20.1,24,BNA0355,Grafenrheinfeld,2015,241.026,0,0,0,Grohnde,Kontrolle,Weser,26.269
DESM_DENI_48852542,POPPENBURG,DERW_DENI_21068,"LEINE, DESPE-INNERSTE",riverWaterBody,52.13589,9.76159,2010,10.2125,2.3,22.5,24,BNA0355,Grafenrheinfeld,2015,241.026,0,0,0,Grohnde,Kontrolle,Weser,26.269
DESM_DENI_48852542,POPPENBURG,DERW_DENI_21068,"LEINE, DESPE-INNERSTE",riverWaterBody,52.13589,9.76159,2011,11.4,4.4,18.8,22,BNA0355,Grafenrheinfeld,2015,241.026,0,0,0,Grohnde,Kontrolle,Weser,26.269
DESM_DENI_48852542,POPPENBURG,DERW_DENI_21068,"LEINE, DESPE-INNERSTE",riverWaterBody,52.13589,9.76159,2012,10.2375,0.6,18.9,24,BNA0355,Grafenrheinfeld,2015,241.026,0,0,0,Grohnde,Kontrolle,Weser,26.269
DESM_DENI_48862863,SARSTEDT,DERW_DENI_20001,INNERSTE,riverWaterBody,52.24773,9.8286,2008,11.0417,4.6,17.5,12,BNA0355,Grafenrheinfeld,2015,252.872,0,0,0,Grohnde,Kontrolle,Weser,36.862
DESM_DENI_48862863,SARSTEDT,DERW_DENI_20001,INNERSTE,riverWaterBody,52.24773,9.8286,2009,11.5417,1.5,18.9,12,BNA0355,Grafenrheinfeld,2015,252.872,0,0,0,Grohnde,Kontrolle,Weser,36.862
DESM_DENI_48862863,SARSTEDT,DERW_DENI_20001,INNERSTE,riverWaterBody,52.24773,9.8286,2010,10.1833,0.9,20.0,12,BNA0355,Grafenrheinfeld,2015,252.872,0,0,0,Grohnde,Kontrolle,Weser,36.862
DESM_DENI_48862863,SARSTEDT,DERW_DENI_20001,INNERSTE,riverWaterBody,52.24773,9.8286,2011,11.3,3.8,18.1,12,BNA0355,Grafenrheinfeld,2015,252.872,0,0,0,Grohnde,Kontrolle,Weser,36.862
DESM_DENI_48862863,SARSTEDT,DERW_DENI_20001,INNERSTE,riverWaterBody,52.24773,9.8286,2012,10.8417,2.0,19.2,12,BNA0355,Grafenrheinfeld,2015,252.872,0,0,0,Grohnde,Kontrolle,Weser,36.862
DESM_DENI_49282075,HOLZKAMP003,DERW_DENI_23004,DELME UNTERLAUF OBERHALB DELMENHORST,riverWaterBody,53.00301,8.57217,2008,9.58333,4.3,15.5,12,BNA0355,Grafenrheinfeld,2015,353.641,0,0,0,Unterweser,Treatment,Weser,47.747
DESM_DENI_49282075,HOLZKAMP003,DERW_DENI_23004,DELME UNTERLAUF OBERHALB DELMENHORST,riverWaterBody,53.00301,8.57217,2009,10.05,2.8,15.9,12,BNA0355,Grafenrheinfeld,2015,353.641,0,0,0,Unterweser,Treatment,Weser,47.747
DESM_DENI_49282075,HOLZKAMP003,DERW_DENI_23004,DELME UNTERLAUF OBERHALB DELMENHORST,riverWaterBody,53.00301,8.57217,2010,8.43333,1.5,14.6,12,BNA0355,Grafenrheinfeld,2015,353.641,0,0,0,Unterweser,Treatment,Weser,47.747
DESM_DENI_49282075,HOLZKAMP003,DERW_DENI_23004,DELME UNTERLAUF OBERHALB DELMENHORST,riverWaterBody,53.00301,8.57217,2011,9.48333,2.5,15.6,12,BNA0355,Grafenrheinfeld,2015,353.641,0,0,0,Unterweser,Treatment,Weser,47.747
DESM_DENI_49282075,HOLZKAMP003,DERW_DENI_23004,DELME UNTERLAUF OBERHALB DELMENHORST,riverWaterBody,53.00301,8.57217,2012,9.31667,2.7,16.3,12,BNA0355,Grafenrheinfeld,2015,353.641,0,0,0,Unterweser,Treatment,Weser,47.747
DESM_DENI_49482303,TIETJENSHÜTTE,DERW_DENI_24056,HAMME III,riverWaterBody,53.20312,8.82025,2008,13.1083,5.0,23.5,12,BNA0355,Grafenrheinfeld,2015,370.035,0,0,0,Unterweser,Treatment,Weser,33.894
DESM_DENI_49482303,TIETJENSHÜTTE,DERW_DENI_24056,HAMME III,riverWaterBody,53.20312,8.82025,2009,13.3917,2.9,25.4,12,BNA0355,Grafenrheinfeld,2015,370.035,0,0,0,Unterweser,Treatment,Weser,33.894
DESM_DENI_49482303,TIETJENSHÜTTE,DERW_DENI_24056,HAMME III,riverWaterBody,53.20312,8.82025,2011,12.9667,3.8,21.8,12,BNA0355,Grafenrheinfeld,2015,370.035,0,0,0,Unterweser,Treatment,Weser,33.894
DESM_DENI_49482303,TIETJENSHÜTTE,DERW_DENI_24056,HAMME III,riverWaterBody,53.20312,8.82025,2012,12.5091,3.2,23.1,11,BNA0355,Grafenrheinfeld,2015,370.035,0,0,0,Unterweser,Treatment,Weser,33.894
DESM_DENI_49572011,FARGE,DERW_DENI_26035,WESER / TIDEBEREICH OBERH. BRAKE,riverWaterBody,53.20889,8.50524,2008,12.5167,5.7,20.5,12,BNA0355,Grafenrheinfeld,2015,376.754,0,0,0,Unterweser,Treatment,Weser,24.503
