Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland,Abgabe,distance_to_nearest_nuclear_km,nearest_nuclear_plant,nearest_nuclear_plant_id
00172,19690501,19911130,395,52.2486,9.5056,Annaturm,Niedersachsen,Frei,24.5,Grohnde,BNA0251
00191,19860401,20260702,217,49.9694,9.9114,Arnstein-Müdesheim,Bayern,Frei,19.405,Grafenrheinfeld,BNA0355
00592,19460101,19621231,10,53.8634,9.7344,Bokel,Schleswig-Holstein,Frei,25.513,Brokdorf,BNA0157
00648,19630501,20061231,9,53.8551,9.7152,Brande-Hörnerkirchen,Schleswig-Holstein,Frei,24.223,Brokdorf,BNA0157
00748,19660101,20080930,5,53.8887,9.1411,Brunsbüttel (Schleuse),Schleswig-Holstein,,14.066,Brokdorf,BNA0157
00982,19470501,20061130,420,48.5701,10.4985,Dillingen/Donau,Bayern,Frei,9.403,Kernkraft Gundremmingen,BNA0381
00983,20061201,20260702,419,48.5562,10.56,Dillingen/Donau-Fristingen,Bayern,Frei,12.531,Kernkraft Gundremmingen,BNA0381
01107,19630101,20260702,346,49.852,10.4991,Ebrach,Bayern,Frei,27.075,Grafenrheinfeld,BNA0355
01254,19470701,20021130,210,49.1307,8.9165,Eppingen,Baden-Württemberg,Frei,21.298,Gemeinschaftskernkraftwerk Neckarwestheim II,BNA0686
01255,20021201,20260702,226,49.1661,8.8483,Eppingen-Elsenz,Baden-Württemberg,Frei,27.546,Gemeinschaftskernkraftwerk Neckarwestheim II,BNA0686
01428,19480101,19571231,230,49.2275,8.0585,Frankweiler,Rheinland-Pfalz,Frei,27.508,Kernkraftwerk Philippsburg 2,BNA0802
01451,19701101,20260702,2,53.8277,9.2493,Freiburg/Elbe,Niedersachsen,Frei,6.854,Brokdorf,BNA0157
01667,19480101,20061231,1,53.797,9.4295,Glückstadt,Schleswig-Holstein,Frei,8.14,Brokdorf,BNA0157
01886,20091126,20260702,444,48.4878,10.2608,Günzburg,Bayern,Frei,10.602,Kernkraft Gundremmingen,BNA0382
01993,19400101,20260702,68,52.0848,9.3896,Hameln,Niedersachsen,Frei,5.705,Grohnde,BNA0251
02048,19510101,19591231,3,53.6342,9.6038,Haseldorf,Schleswig-Holstein,Frei,29.482,Brokdorf,BNA0157
02055,19871113,20141228,292,50.0493,10.4947,Haßfurt,Bayern,Frei,23.495,Grafenrheinfeld,BNA0355
02080,19350101,20120912,110,49.4206,8.6676,Heidelberg,Baden-Württemberg,Frei,25.128,Kernkraftwerk Philippsburg 2,BNA0802
02081,19360101,19601231,561,49.3981,8.7252,Königstuhl,Baden-Württemberg,Frei,26.501,Kernkraftwerk Philippsburg 2,BNA0802
02083,19490101,19581231,110,49.4192,8.6051,Heidelberg-Grenzhof,Baden-Württemberg,Frei,22.222,Kernkraftwerk Philippsburg 2,BNA0802
02088,19470101,20050430,522,48.6849,10.142,Heidenheim/Brenz,Baden-Württemberg,Frei,26.596,Kernkraft Gundremmingen,BNA0382
02095,19470701,20031031,167,49.1448,9.2333,Heilbronn,Baden-Württemberg,Frei,12.286,Gemeinschaftskernkraftwerk Neckarwestheim II,BNA0686
02122,19700101,20020531,2,53.9701,9.0095,"Helse, Kr. Dithmarschen",Schleswig-Holstein,Frei,25.705,Brokdorf,BNA0157
02268,19490101,20061231,265,50.1351,10.5156,Hofheim,Bayern,Frei,29.132,Grafenrheinfeld,BNA0355
02323,19510101,20260702,110,51.8529,9.4953,"Bevern, Kr. Holzminden",Niedersachsen,Frei,21.079,Grohnde,BNA0251
02338,19740601,20051223,39,52.3333,7.55,Hopsten (Flugplatz),Nordrhein-Westfalen,Frei,23.354,Kernkraftwerk Emsland,BNA0607
02429,19880301,20260702,20,53.9897,9.5697,Itzehoe,Schleswig-Holstein,Frei,21.266,Brokdorf,BNA0157
02522,18760101,20081031,112,49.0373,8.3637,Karlsruhe,Baden-Württemberg,Frei,24.516,Kernkraftwerk Philippsburg 2,BNA0802
02597,19460101,20260702,282,50.224,10.0792,"Kissingen, Bad",Bayern,Frei,27.625,Grafenrheinfeld,BNA0355
02600,19821101,20260702,193,49.7363,10.1781,Kitzingen,Bayern,Frei,27.591,Grafenrheinfeld,BNA0355
02703,19980101,20001010,493,51.855,9.3239,Köterberg,Nordrhein-Westfalen,Frei,21.004,Grohnde,BNA0251
02761,19510101,19901031,520,48.251,10.4163,Krumbach-Edenhausen,Bayern,Frei,29.38,Kernkraft Gundremmingen,BNA0381
02783,19660901,19920831,436,48.512,12.1528,Kumhausen,Bayern,Frei,14.685,Isar 2,BNA0263
02831,19470111,20080331,393,48.5357,12.1132,Landshut,Bayern,Frei,15.42,Isar 2,BNA0263
02920,19780901,19970630,365,48.7654,12.5121,Leiblfing,Bayern,Frei,23.949,Isar 2,BNA0263
02926,19710101,19891231,477,48.4333,10.2333,Leipheim (Flugplatz),Bayern,Frei,15.249,Kernkraft Gundremmingen,BNA0382
03007,19470101,19551231,96,49.4111,8.398,Limburgerhof,Rheinland-Pfalz,Frei,17.819,Kernkraftwerk Philippsburg 2,BNA0802
03023,19510101,20161231,22,52.5181,7.3081,Lingen,Niedersachsen,Frei,4.029,Kernkraftwerk Emsland,BNA0607
03076,19470101,19561231,95,49.4606,8.4246,Ludwigshafen-Mundenheim,Rheinland-Pfalz,Frei,23.128,Kernkraftwerk Philippsburg 2,BNA0802
03135,19550501,19830331,473,49.0643,9.582,Mainhardt-Ziegelbronn,Baden-Württemberg,Frei,29.771,Gemeinschaftskernkraftwerk Neckarwestheim II,BNA0686
03147,19530101,20260702,390,48.7548,12.2118,Mallersdorf-Pfaffenberg-Oberli,Bayern,Frei,17.785,Isar 2,BNA0263
03254,19730101,20260702,19,52.7155,7.3176,Meppen,Niedersachsen,Frei,25.988,Kernkraftwerk Emsland,BNA0607
03362,19980101,20260702,243,48.9721,8.8735,Mühlacker,Baden-Württemberg,Frei,23.292,Gemeinschaftskernkraftwerk Neckarwestheim II,BNA0686
03425,19510101,20040531,344,48.9729,9.5712,Murrhardt,Baden-Württemberg,Frei,29.878,Gemeinschaftskernkraftwerk Neckarwestheim II,BNA0686
