site_id,site_name,water_body_id,water_body_name,water_body_category,latitude,longitude
DE0001-117-3,QF KREBSBRUNNENQ. ETTENHEIM,DE007,RHEIN,groundWaterBody,,
DE0001-265-0,"QF JAEGERBRUNNENQUELLE, FDS",DE007,RHEIN,groundWaterBody,,
DE0001-314-4,"QF BUCHBRUNNENQ., HAITERBACH",DE007,RHEIN,groundWaterBody,,
DE0001-415-1,"QF BRONNBACHQ., ROTTENBURG",DE001,DONAU,groundWaterBody,,
DE0001-418-0,"QS WESTL. GALGENQUELLE, NUSPLINGEN",DE001,DONAU,groundWaterBody,,
DE0001-455-3,"QF STALLWIESENQ., FAHRENSB.",DE007,RHEIN,groundWaterBody,,
DE0001-557-6,"QF SEEWIESENQU., HARTHAUSEN",DE001,DONAU,groundWaterBody,,
DE0002-121-6,"QF MAUSWALDQUELLE, TODTNAU",DE007,RHEIN,groundWaterBody,,
DE0002-464-2,"QF KALTER BR., PLIEZHAUSEN",DE007,RHEIN,groundWaterBody,,
DE0002-761-8,"QF OBERER KNOECKLING, AALEN",DE007,RHEIN,groundWaterBody,,
DE0003-519-8,"QF HIPFELSBERG, MENGEN",DE001,DONAU,groundWaterBody,,
DE0003-709-3,"QF UNTERE QUELLE, BUEHLERTANN",DE007,RHEIN,groundWaterBody,,
DE0003-863-3,"QF EGAUWASSERWERK, DISCHINGEN",DE001,DONAU,groundWaterBody,,
DE0004-368-0,QF IV HINTERHALDENQU. GOSHM.,DE001,DONAU,groundWaterBody,,
DE0006-707-4,"SBR NEUHOF F, LANGENBURG",DE007,RHEIN,groundWaterBody,,
DE0007-513-3,"QF ALTGROETZINGER TAL, AICHT.",DE007,RHEIN,groundWaterBody,,
DE0010-320-8,"QF BLAESI, AASEN",DE001,DONAU,groundWaterBody,,
DE0011-604-0,"QF DITTWAR I, DITTIGHEIM",DE007,RHEIN,groundWaterBody,,
DE0015-364-0,"QF WURSTBRUNNEN, WALDDORF",DE007,RHEIN,groundWaterBody,,
DE0019-371-8,"QF JAEGERTAL ,ENGEN",DE007,RHEIN,groundWaterBody,,
DE0019-664-6,"BR 3 DITZENB.STR., DEGGINGEN",DE007,RHEIN,groundWaterBody,,
DE00195,"BIERBACH, BRUNNEN 2, ROHWASSERENTNAHMESTELLE",DESL_GB_06,UNKNOWN,groundWaterBody,49.25847,7.26971
DE0031-459-6,"QF WALDQUELLE II, CLEEBRONN",DE007,RHEIN,groundWaterBody,,
DE0034-458-8,"BR ORTWEIN, LEINGARTEN-GROSSGARTACH",DE007,RHEIN,groundWaterBody,,
DE0047-568-0,"QF BERGQU., LANGENENSLINGEN",DE001,DONAU,groundWaterBody,,
DE0048-623-2,"GWM 8906, LANGENARGEN",DE007,RHEIN,groundWaterBody,,
DE00558,BOHRUNG 3 KARLSBRUNN,DEGB_DESL08,DESL08,groundWaterBody,49.18362,6.81244
DE0069-358-1,"BR AUSSIEDLERHOEFE, ZEUTERN",DE007,RHEIN,groundWaterBody,,
DE0076-861-9,"GWM 2 FA. SUEDMO, RIESBUERG-PFLAUMLOCH",DE001,DONAU,groundWaterBody,,
DE0080-162-3,"BR GAERTNEREI, TIEFENAU, SHM",DE007,RHEIN,groundWaterBody,,
DE0080-456-4,"QF KUPFERLOCHQ., MOSBACH",DE007,RHEIN,groundWaterBody,,
DE00890,BOHRUNG RW2 REMMESWEILER 2,DESL_GB_11,OBERROTLIEGEND/BUNTSANDSTEIN ST. WENDELER GRABEN,groundWaterBody,49.44006,7.10694
DE010200710,DALHEIM 6 EICHEN 4,DEGB_DENW_282_01,HAUPTTERRASSEN DES RHEINLANDES,groundWaterBody,51.15836,6.17792
DE010409580,WOLFHÄUSCHENQUELLE,DEGB_2718_09,DOLLENDORFER MULDE / AHR 1,groundWaterBody,50.41759,6.73765
DE010410053,BRUMBACHQUELLE,DEGB_274_11,BLANKENHEIMER MULDE,groundWaterBody,50.50127,6.69816
DE0105-067-5,"MO GWM 1138 A, MAHLBERG",DE007,RHEIN,groundWaterBody,,
DE0112-812-0,"MO GWM 8003 FLEINH. TAL, DISCH.",DE001,DONAU,groundWaterBody,,
DE0119-257-5,"MO GWM ORTSETTER, HUTTENHEIM",DE007,RHEIN,groundWaterBody,,
DE0127-715-1,"GWM E4 BLAUTAL, BLAUSTEIN",DE001,DONAU,groundWaterBody,,
DE0154-767-1,"GWM 2, DIETENHEIM",DE001,DONAU,groundWaterBody,,
DE0161-814-6,"GWM 8905 LW, HUERBEN",DE001,DONAU,groundWaterBody,,
DE0171-259-5,"GWM 3296 NR.44 STADTWERKE, KARLSRUHE",DE007,RHEIN,groundWaterBody,,
DE0174-668-5,"GWM P 3138, BIBERACH",DE001,DONAU,groundWaterBody,,
DE0196-769-6,"GWM, EROLZHEIM",DE001,DONAU,groundWaterBody,,
DE020104054,205F - 94/4.1 LGD,DEGB_3_08,NIEDERUNG DER OBEREN EMS (RIETBERG/VERL),groundWaterBody,51.93762,8.50455
DE0213-410-0,"QF WETTE, LIENZINGEN",DE007,RHEIN,groundWaterBody,,
DE0244-612-9,"SBR BAHMUELLER, PLUEDERHAUSEN",DE007,RHEIN,groundWaterBody,,
DE026525010,III/6F,DEGB_DENW_3_07,NIEDERUNG DER OBEREN EMS (BEELEN/HARSEWINKEL),groundWaterBody,51.98457,8.24087
DE026525045,622.1F,DEGB_DENW_3_07,NIEDERUNG DER OBEREN EMS (BEELEN/HARSEWINKEL),groundWaterBody,51.9254,8.46283
DE0287-114-3,"TB 1, WILLSTAETT",DE007,RHEIN,groundWaterBody,,
DE040061334,RAYMANNSGRUND 171,DEGB_27_06,NIEDERUNG DES RHEINS,groundWaterBody,51.56411,6.75924
DE059620079,URBECKE,DEGB_276_12,RECHTSRHEINISCHES SCHIEFERGEBIRGE / HÖNNE,groundWaterBody,51.39091,7.78178
DE0600-073-4,"QF OB. QUELLE, HOELLSTEIN",DE007,RHEIN,groundWaterBody,,
DE0600-169-7,"QF RAUQU., WALDKIRCH",DE007,RHEIN,groundWaterBody,,
DE0600-220-3,"Q SCHLIEFELEQU., ROETENBACH",DE007,RHEIN,groundWaterBody,,
DE0600-222-6,"QF SPORTPLATZ, HOECHENSCHWAN",DE007,RHEIN,groundWaterBody,,
DE0600-261-2,"QF JAEGERBRUNNEN, SCHIELBERG",DE007,RHEIN,groundWaterBody,,
DE0600-359-8,"QS ESELSBRUNNEN 5, NEIBSHEIM",DE007,RHEIN,groundWaterBody,,
DE0600-407-7,"QF 2 HINT. HILSBACHQ.,HILSB.",DE007,RHEIN,groundWaterBody,,
DE0600-517-2,"QF SCHLOSSBERGBR., NEUFRA",DE001,DONAU,groundWaterBody,,
DE0600-554-9,"QF NAECHSTQUELLE, GOETZINGEN",DE007,RHEIN,groundWaterBody,,
DE0600-564-8,"QF JAEGERBRUNNEN, BEUREN",DE007,RHEIN,groundWaterBody,,
DE0600-605-4,"QF GAILESQUELLE, WOELCHINGEN",DE007,RHEIN,groundWaterBody,,
DE0600-662-8,"QF IM KREMPEL, OTTENBACH",DE007,RHEIN,groundWaterBody,,
DE0602-213-1,"QF FLIEGENLOCHQU., FORBACH",DE007,RHEIN,groundWaterBody,,
DE0602-521-3,"QF AM VICTORIAWEG, BEUREN",DE007,RHEIN,groundWaterBody,,
DE060240325,AH/32 -GRAES-LAST.-,DEGB_928_13,CENOMAN-TURON-ZUG DES WESTL. MÜNSTERLANDES,groundWaterBody,52.14344,7.00176
DE080300996,NIERSKANAL 247,DEGB_28_02,TERRASSENEBENE DER MAAS,groundWaterBody,51.52444,6.27748
DE0902-355-1,"QF HAHNENGRUNDQU., SCHOENAU",DE007,RHEIN,groundWaterBody,,
DE091191403,BORNTOSTEN B 4,DEGB_DEHE_4_2604,4400_5202,groundWaterBody,51.38819,8.8445
DE0928-260-7,"BR S14 WW MOERSCHER WALD,DUR",DE007,RHEIN,groundWaterBody,,
DE094150138,QUELLE BERGHOFF,DEGB_276_17,RECHTSRHEINISCHES SCHIEFERGEBIRGE / MÖHNE,groundWaterBody,51.48988,8.25587
DE10200800,HOLZWEILER 4',DE005,MAAS,groundWaterBody,,
DE1131563500036,THIERBACH 32,DEGB_DEBY_5_G007_SNTH,PALÄOZOIKUM - HOF,groundWaterBody,50.3312,11.66424
DE1131563600035,BRUCK 33,DEGB_DEBY_5_G007_SNTH,PALÄOZOIKUM - HOF,groundWaterBody,50.36162,11.79965
DE1131582500035,LANGENDORF 223,DEGB_DEBY_2_G068,BUNTSANDSTEIN - BAD KISSINGEN,groundWaterBody,50.12468,9.95071
DE1131592300053,PARTENSTEIN P9,DEGB_DEBY_2_G060,BUNTSANDSTEIN - WEIBERSBRUNN,groundWaterBody,50.03712,9.50704
DE1131593400012,OBERAUHOF 17A,DEGB_BY_OBERER-MAIN-IA1,OBERER MAIN IA1,groundWaterBody,50.09201,11.40459
DE1131593700086,WEISSENSTADT 12A,DEGB_DEBY_5_G001,KRISTALLIN - MARKTREDWITZ,groundWaterBody,50.09717,11.89257
DE1131623000020,POMMERSFELDEN 58A,DEGB_DEBY_2_G027,SANDSTEINKEUPER - HÖCHSTADT A.D.AISCH,groundWaterBody,49.76763,10.81847
DE1131623800053,WEIDEN/MOOSLOHE 965,DEGB_DEBY_1_G067,BRUCHSCHOLLENLAND - GRAFENWÖHR,groundWaterBody,49.69897,12.11619
DE1131693300042,ZINKELMUEHLE 1 975,DEGB_DEBY_1_G065,FEUERLETTEN/ALBVORLAND - FREYSTADT,groundWaterBody,49.08003,11.28769
DE1131712800023,NOERDLINGEN (GOLDB.) 4,DEGB_DEBY_1_G031,NÖRDLINGER RIES - NÖRDLINGEN,groundWaterBody,48.86249,10.48481
DE1131713400012,LENTING A BR. K 2,DEGB_DEBY_1_G047,MALM - GAIMERSHEIM,groundWaterBody,48.81006,11.44917
DE1131723000028,WOERNITZSTEIN W2,DEGB_DEBY_1_G030,NÖRDLINGER RIES - HARBURG (SCHWABEN),groundWaterBody,48.72517,10.72293
DE1131723100025,FELDHEIM FE57TR,DEGB_DEBY_1_G024,QUARTÄR - ASBACH-BÄUMENHEIM,groundWaterBody,48.72403,10.89951
DE1131723500039,MITTL.DONAU VOB 259A,DEGB_DEBY_1_G051,QUARTÄR - MÜNCHSMÜNSTER,groundWaterBody,48.73785,11.55056
DE1131743800030,RAMERMUEHLE 75.3,DEGB_BY_ISAR-IC1,ISAR IC1,groundWaterBody,48.50401,12.01193
DE1131753100094,THIERHAUPTEN-S. D 36,DEGB_DEBY_1_G039,QUARTÄR - THIERHAUPTEN,groundWaterBody,48.47999,10.90264
DE1131772600068,ILLERTISSEN 2301,DEGB_BY_ILLER-LECH-IC1,ILLER-LECH IC1,groundWaterBody,48.20767,10.0846
DE1131784200061,HOECHSTWK.GENDF. W-TBS,DEGB_DEBY_1_G151,QUARTÄR - BURGKIRCHEN AN DER ALZ,groundWaterBody,48.18403,12.74747
DE1131813800204,FORSTSTRASSE KO 40,DEGB_DEBY_1_G136,QUARTÄR - BRUCKMÜHL,groundWaterBody,47.83795,12.04837
DE1131814100067,GRABENSTAETT BO.A 943,DEGB_DEBY_1_G153,MORÄNENLAND - TRAUNSTEIN,groundWaterBody,47.8429,12.55872
DE1131823100038,PEITING I BO. A 881,DEGB_DEBY_1_G037,FALTENMOLASSE - WILDSTEIG,groundWaterBody,47.77833,10.91348
DE1131824000062,SCHLECHING/FRIEDH.574,DEGB_DEBY_1_G150,ALPEN - RUHPOLDING,groundWaterBody,47.71363,12.39022
DE1131842700078,ORTWANG P 13 TR,DEGB_DEBY_1_G003,QUARTÄR - KEMPTEN,groundWaterBody,47.52664,10.27737
DE114150047,4215-2 HB I SUDHAUS,DEGB_DENW_278_25,NIEDERUNG DER LIPPE / LIPPSTADT,groundWaterBody,51.72347,8.21239
DE1222-511-6,QF IV LENBAECHLE WN-BITTENFD,DEGB_DEBW_8-1,KEUPER-BERGLAND,groundWaterBody,48.88504,9.30889
DE1559,"TETTINGEN-BUTZDORF, BASISMEßSTELLE P 8, LFU",DE007,RHEIN,groundWaterBody,,
DE1625,"OBERTHAL, AMESBORN, BASISMEßSTELLE P 10, LFU",DE007,RHEIN,groundWaterBody,,
DE172-772-2,"GWM 3/82, HERLAZHOFEN",DEGB_BW_2-1,FLUVIOGLAZIALE SCHOTTER -R/BW 2.1,groundWaterBody,47.79365,10.05112
DE19-371-8,"QF JAEGERTAL ,ENGEN",DEGB_DEBW_6-1,SCHWAEBISCHE ALB,groundWaterBody,47.84467,8.74098
DE195,"BIERBACH, BRUNNEN 2, ROHWASSERENTNAHMESTELLE",DE007,RHEIN,groundWaterBody,,
DE20380017,GROSS VIEGELN,DEGB_DEMV_WP_WA_9,WARNOW/KÖSTERBECK,groundWaterBody,53.98144,12.15162
DE2052,NORDERHEISTEDT 2052,DEGB_DESH_EI18,NÖRDLICHE DITHMARSCHER GEEST,groundWaterBody,54.25421,9.12641
DE2108,WESTERBORSTEL 2108 T,DEGB_DESH_EI18,NÖRDLICHE DITHMARSCHER GEEST,groundWaterBody,54.21378,9.24416
DE22470007,WUSSEKEN - 3/84,DEGB_DEMV_ODR_OF_1,DATZE/ZAROW,groundWaterBody,53.76997,13.65462
DE2362,ST.MICHAELISDONN/HOPEN 2362,DEGB_DESH_EI21,MIELE - ALTMORÄNENGEEST,groundWaterBody,53.99983,9.16087
DE24450032,NEUBRANDENBURG OP,DEGB_DEMV_WP_TO_1,TOLLENSESEE,groundWaterBody,53.5616,13.25581
DE2481,NINDORF-FARNEWINKEL 2481 H,DEGB_EI21,MIELE - ALTMORÄNENGEEST,groundWaterBody,54.07692,9.15383
DE2517136500,"2057 A INGELHEIMAMRHEIN,-",DEGB_DERP_20,"RHEIN, RLP, 8",groundWaterBody,49.99294,8.06569
DE2546270000,"3508 HEINZENHAUSEN,-",DEGB_DERP_11,LAUTER,groundWaterBody,49.6254,7.60325
DE2548220800,"3514 SIPPERSFELD,-",DEGB_RP14,ALSENZ,groundWaterBody,49.55772,7.91589
DE2587250800,"6504 HELLENHAHN-SCHELLENBG.,SCHELLENBERG",DEGB_DERP_2580_10,"ELBBACH 1, QUELLE",groundWaterBody,50.61478,8.03168
DE2621-5871,ZEVEN,DEGB_DENI_NI11_7,OSTE LOCKERGESTEIN LINKS,groundWaterBody,53.3153,9.28596
DE2629-5601,ECHEM G1,DEGB_DENI_NI11_1,ILMENAU LOCKERGESTEIN RECHTS,groundWaterBody,53.3337,10.50525
DE2663155100,"4122 DOHM-LAMMERSDORF,-",DEGB_DERP_89,"KYLL 1, QUELLE",groundWaterBody,50.25494,6.65241
DE2715-5242,RASTEDERMOOR,DEGB_4_2507,JADE LOCKERGESTEIN LINKS,groundWaterBody,53.27168,8.23378
DE2809-5545,WYMEER I,DEGB_DENI_39_10,UNTERE EMS LOCKERGESTEIN LINKS,groundWaterBody,53.14464,7.23526
DE2811-5013,SCHATTENBURG I,DEGB_DENI_38_01,LEDA-JÜMME LOCKERGESTEIN LINKS,groundWaterBody,53.19766,7.53314
DE2918-5731,MOORDEICH (ALT),DEGB_DENI_4_2510,OCHTUM LOCKERGESTEIN,groundWaterBody,53.0217,8.73127
DE2932-5604,SALLAHN II,DE003,ELBE,groundWaterBody,,
DE3-519-8,"QF HIPFELSBERG, MENGEN",DEGB_DEBW_3-1,SUEDDEUTSCHES MORAENENLAND,groundWaterBody,48.05566,9.29865
DE3-709-3,"QF UNTERE QUELLE, BUEHLERTANN",DEGB_DEBW_8-1,KEUPER-BERGLAND,groundWaterBody,49.0307,9.93854
DE3013-5071,BÖSEL I,DEGB_DENI_38_02,LEDA-JÜMME LOCKERGESTEIN RECHTS,groundWaterBody,52.99126,7.955
DE3019-5843,GÖDESTORF I,DEGB_DENI_4_2510,OCHTUM LOCKERGESTEIN,groundWaterBody,52.91155,8.91123
DE3030-5141,ROSCHE I,DEGB_DENI_NI11_1,ILMENAU LOCKERGESTEIN RECHTS,groundWaterBody,52.98634,10.74037
DE3034-5101,NEMITZ G 1,DEGB_DENI_NI10_1,JEETZEL LOCKERGESTEIN RECHTS,groundWaterBody,52.98048,11.33403
DE31-459-6,"QF WALDQUELLE II, CLEEBRONN",DEGB_DEBW_8-5,ZABERGAEU - NECKARBECKEN,groundWaterBody,49.03279,9.00901
DE3129-5781,REINSTORF(UE) G I,DEGB_DENI_NI11_2,ILMENAU LOCKERGESTEIN LINKS,groundWaterBody,52.82143,10.63791
DE3316-5632,ST. HÜLFE I,DEGB_DENI_4_2502,HUNTE LOCKERGESTEIN RECHTS,groundWaterBody,52.62908,8.39311
DE3320-5691,BÜHREN I,DEGB_DENI_4_2414,MITTLERE WESER LOCKERGESTEIN LINKS 3,groundWaterBody,52.62958,9.15613
DE3322-5991,BÜREN I,DEGB_DENI_4_2203,UNTERE ALLER LOCKERGESTEIN LINKS,groundWaterBody,52.59966,9.49306
DE3472,ROHLSTORF 3472 H,DEGB_ST-F,UNKNOWN,groundWaterBody,53.96989,10.39663
DE3670,HORST-SCHULE 3670 T,DEGB_N8,UNKNOWN,groundWaterBody,53.81586,9.61988
DE3722-5821,BAKEDE I,DEGB_DENI_4_2015,LEINE MESOZOISCHES FESTGESTEIN LINKS 2,groundWaterBody,52.20913,9.37033
DE3798,BOCKHORN-FORSTHAUS 3798,DEGB_N8,UNKNOWN,groundWaterBody,53.92128,10.09331
DE383006,WOLFHAGEN,DEGB_DEHE_4_2604,4400_5202,groundWaterBody,51.32687,9.13251
DE383017,RHODEN,DEGB_DEHE_4_2604,4400_5202,groundWaterBody,51.45385,8.97059
DE385001,WITZENHAUSEN,DEGB_DEHE_4_0024,4190_5201,groundWaterBody,51.33866,9.86598
DE3921,BLUNK-NORDWEST 3921,DEGB_ST-F,UNKNOWN,groundWaterBody,54.01811,10.29526
DE3923-5821,WEGENSEN I,DEGB_DENI_4_2303,VOGLER-SOLLING-BRAMWALD,groundWaterBody,52.00986,9.54719
DE3924,HAGEN-SUEDOST 3924,DEGB_EL-A,UNKNOWN,groundWaterBody,53.93766,9.84447
DE3928,AHRENLOHE-HOERNWEG 3928,DEGB_EL-B,UNKNOWN,groundWaterBody,53.70748,9.74898
DE3929,HOLM-NORDOST 3929,DEGB_EL-B,UNKNOWN,groundWaterBody,53.63725,9.71509
DE3934,WEDEL-BUENDTWIETE 3934,DEGB_EL-B,UNKNOWN,groundWaterBody,53.59341,9.69818
DE39465203,RHYKUOG 108/86,DEGB_DEBB_HAV_DA_3,DAHME,groundWaterBody,52.09839,13.37325
DE408032,ROEMERSHAUSEN,DEGB_DEHE_2582_02,2582_5202,groundWaterBody,51.03512,8.89088
DE409045,HERTINGSHAUSEN,DEGB_DEHE_4_1039,4289_3301,groundWaterBody,51.23113,9.40783
DE410050,ALTEFELD,DEGB_4_0022,4180_5402,groundWaterBody,51.06414,10.10165
DE410157280004,BRUNNEN 2 OT IRMELSHAUSEN,DE007,RHEIN,groundWaterBody,,
DE410157280013,BRUNNEN OT WARGOLSHAUSEN,DEGB_DEBY_2_G073_TH,UNTERKEUPER - SAAL A.D.SAALE,groundWaterBody,50.36439,10.36078
DE410159204012,BRUNNEN 4,DE007,RHEIN,groundWaterBody,,
DE410159260046,EB 2 (UNTERE FASSUNG),DE007,RHEIN,groundWaterBody,,
