site_id,site_name,water_body_id,water_body_name,water_body_category,site_latitude,site_longitude,year,water_temperature_mean_c,water_temperature_min_c,water_temperature_max_c,water_temperature_observations,nearest_shutdown_plant_id,nearest_shutdown_plant_name,shutdown_year,distance_to_shutdown_plant_km,treatment_group,post_treatment,did_interaction
DEBORG1,BORGWALLSEE,DELW_DEMV_1300100,BORGWALLSEE,lakeWaterBody,54.26571,13.02165,2009,17.84,15.2,20.6,5,BNA0355,Grafenrheinfeld,2015,513.914,0,0,0
DEBORG1,BORGWALLSEE,DELW_DEMV_1300100,BORGWALLSEE,lakeWaterBody,54.26571,13.02165,2011,17.7,14.9,20.2,4,BNA0355,Grafenrheinfeld,2015,513.914,0,0,0
DEBRLU1,BREITER LUZIN,DELW_DEMV_2700600,BREITER LUZIN,lakeWaterBody,53.35753,13.46444,2009,8.72396,2.55,13.3,16,BNA0355,Grafenrheinfeld,2015,437.985,0,0,0
DEBRLU1,BREITER LUZIN,DELW_DEMV_2700600,BREITER LUZIN,lakeWaterBody,53.35753,13.46444,2011,4.5,3.4,4.7,15,BNA0355,Grafenrheinfeld,2015,437.985,0,0,0
DEBRLU1,BREITER LUZIN,DELW_DEMV_2700600,BREITER LUZIN,lakeWaterBody,53.35753,13.46444,2012,4.62857,3.2,4.9,14,BNA0355,Grafenrheinfeld,2015,437.985,0,0,0
DEBUET1,BÜTZOWER SEE,DELW_DEMV_1901300,BÜTZOWER SEE,lakeWaterBody,53.85388,11.97805,2011,15.7,7.2,19.3,6,BNA0355,Grafenrheinfeld,2015,447.514,0,0,0
DEDREW1,DREWITZER SEE,DELW_DEMV_2500400,DREWITZER SEE,lakeWaterBody,53.54579,12.3641,2009,10.775,5.0,13.95,6,BNA0355,Grafenrheinfeld,2015,423.475,0,0,0
DEKRAO1,KRAKOWER OBERSEE,DELW_DEMV_1900000,KRAKOWER SEE - OBERSEE,lakeWaterBody,53.63066,12.29701,2011,8.96667,8.0,9.6,3,BNA0355,Grafenrheinfeld,2015,430.686,0,0,0
DEKRAU1,KRAKOWER UNTERSEE,DELW_DEMV_1900100,KRAKOWER SEE - UNTERSEE,lakeWaterBody,53.66472,12.33056,2011,14.76,8.7,18.4,5,BNA0355,Grafenrheinfeld,2015,435.009,0,0,0
DEKRAU2,KRAKOWER UNTERSEE,DELW_DEMV_1900100,KRAKOWER SEE - UNTERSEE,lakeWaterBody,53.66364,12.29258,2011,7.35,3.8,8.4,6,BNA0355,Grafenrheinfeld,2015,434.02,0,0,0
DELAA01,LAACHER SEE,DELW_DERP_2714840000_0,LAACHER SEE,lakeWaterBody,50.40812,7.2663,2011,4.0,3.8,4.4,3,BNA0802,Kernkraftwerk Philippsburg 2,2019,153.416,0,0,0
DELAA01,LAACHER SEE,DELW_DERP_2714840000_0,LAACHER SEE,lakeWaterBody,50.40812,7.2663,2012,4.1,4.1,4.1,1,BNA0802,Kernkraftwerk Philippsburg 2,2019,153.416,0,0,0
DEMAL01,MALCHINER SEE,DELW_DEMV_2000200,MALCHINER SEE,lakeWaterBody,53.69837,12.62857,2012,14.0567,10.3,16.7,3,BNA0355,Grafenrheinfeld,2015,445.805,0,0,0
DEMUE03,MÜRITZ (AUßENMÜRITZ),DELW_DEMV_2500102,"MÜRITZ, DAVON AUßENMÜRITZ",lakeWaterBody,53.47635,12.63937,2008,11.375,6.15,14.6,9,BNA0355,Grafenrheinfeld,2015,423.507,0,0,0
DEMUE03,MÜRITZ (AUßENMÜRITZ),DELW_DEMV_2500102,"MÜRITZ, DAVON AUßENMÜRITZ",lakeWaterBody,53.47635,12.63937,2010,3.025,2.0,4.5,4,BNA0355,Grafenrheinfeld,2015,423.507,0,0,0
DEMUE03,MÜRITZ (AUßENMÜRITZ),DELW_DEMV_2500102,"MÜRITZ, DAVON AUßENMÜRITZ",lakeWaterBody,53.47635,12.63937,2011,1.80233,0.001,9.63,6,BNA0355,Grafenrheinfeld,2015,423.507,0,0,0
DEMUE03,MÜRITZ (AUßENMÜRITZ),DELW_DEMV_2500102,"MÜRITZ, DAVON AUßENMÜRITZ",lakeWaterBody,53.47635,12.63937,2012,14.684,6.32,19.4,5,BNA0355,Grafenrheinfeld,2015,423.507,0,0,0
DEPLA01,PLAUER SEE,DELW_DEMV_2400100,PLAUER SEE,lakeWaterBody,53.49248,12.34323,2008,10.4667,6.4,13.7,7,BNA0355,Grafenrheinfeld,2015,417.457,0,0,0
DEPLA01,PLAUER SEE,DELW_DEMV_2400100,PLAUER SEE,lakeWaterBody,53.49248,12.34323,2009,11.0583,6.85,14.2,6,BNA0355,Grafenrheinfeld,2015,417.457,0,0,0
DEPLA01,PLAUER SEE,DELW_DEMV_2400100,PLAUER SEE,lakeWaterBody,53.49248,12.34323,2011,9.03333,8.9,9.1,3,BNA0355,Grafenrheinfeld,2015,417.457,0,0,0
DESCH02,SCHWERINER SEE (AUßENSEE),DELW_DEMV_1700103,"SCHWERINER SEE, DAVON AUßENSEE",lakeWaterBody,53.73704,11.44971,2008,11.5833,6.4,14.9,7,BNA0355,Grafenrheinfeld,2015,426.241,0,0,0
