date,oxygen_mg_l,temp_spot_c
1999-01-13,13.0,3.1
1999-01-27,13.0,3.9
1999-02-10,13.5,1.9
1999-02-23,10.4,2.7
1999-03-10,8.8,5.6
1999-03-23,8.0,6.7
1999-04-07,7.1,10.1
1999-04-21,7.1,8.2
1999-05-05,7.5,12.6
1999-05-19,7.0,11.7
1999-06-01,7.4,15.3
1999-06-16,8.4,14.5
1999-06-30,8.6,16.1
1999-07-14,9.4,16.6
1999-07-28,7.8,17.4
1999-08-11,7.5,19.1
1999-08-25,9.5,16.6
1999-09-08,8.4,17.2
1999-09-22,7.1,16.6
1999-10-06,8.5,12.0
1999-10-20,10.0,8.5
1999-11-03,7.3,10.9
1999-11-17,9.8,5.2
1999-12-01,10.3,3.1
1999-12-15,10.0,4.7
2000-01-11,10.6,4.7
2000-01-25,11.4,1.5
2000-02-08,11.0,5.6
2000-02-22,11.9,3.8
2000-03-08,10.6,5.6
2000-03-21,11.1,6.3
2000-04-04,8.2,8.4
2000-04-18,9.3,9.9
2000-05-02,9.8,13.2
2000-05-16,8.6,15.5
2000-05-29,8.9,13.9
2000-06-13,6.4,18.1
2000-06-27,11.4,16.1
2000-07-12,7.9,15.1
2000-07-25,7.6,17.1
2000-08-08,9.3,14.4
2000-08-22,9.0,18.9
2000-09-05,9.0,15.1
2000-09-19,8.0,14.9
2000-10-04,7.8,13.9
2000-10-17,8.3,12.0
2000-11-03,8.5,9.8
2000-11-16,9.93,7.9
2000-11-28,9.5,6.7
2000-12-12,8.3,7.2
2001-01-09,11.3,4.7
2001-01-24,10.0,4.0
2001-02-06,10.3,4.8
2001-02-20,10.9,5.5
2001-03-07,11.6,4.6
2001-03-20,10.4,7.8
2001-04-03,8.8,0.5
2001-04-17,12.5,7.2
2001-05-02,8.4,13.9
2001-05-16,8.7,14.8
2001-05-30,8.4,17.5
2001-06-12,12.1,12.7
2001-06-27,8.8,17.2
2001-07-12,7.4,18.2
2001-07-25,7.1,17.3
2001-08-08,8.5,18.6
2001-08-21,8.3,19.3
2001-09-05,8.2,16.3
2001-09-19,8.6,11.2
2001-10-04,7.9,14.1
2001-10-17,8.9,13.5
2001-10-31,7.6,12.1
2001-11-14,11.4,5.6
2001-11-27,10.2,5.4
2001-12-12,10.6,4.2
2002-01-08,12.0,0.6
2002-01-22,11.4,3.4
2002-02-05,10.2,5.5
2002-02-21,10.3,4.7
2002-03-05,10.2,5.4
2002-03-19,8.8,9.4
2002-04-02,10.2,8.8
2002-04-16,9.0,8.5
2002-04-30,10.1,10.3
2002-05-14,9.3,14.2
2002-05-28,9.2,14.0
2002-06-12,7.9,15.2
2002-06-26,6.8,19.7
2002-07-10,6.6,18.9
2002-07-23,5.9,17.3
2002-08-06,5.8,19.1
2002-08-20,13.3,17.5
2002-09-02,8.4,15.8
2002-09-17,8.2,14.2
2002-10-01,8.4,10.0
2002-10-15,8.2,10.2
2002-10-30,9.2,9.2
2002-11-12,,8.2
2002-11-26,10.0,7.7
2002-12-10,10.7,3.5
2003-01-07,10.4,3.8
2003-01-21,9.8,3.6
2003-02-04,9.7,2.9
2003-02-18,12.0,1.2
2003-03-06,10.5,5.3
2003-03-19,9.9,5.7
2003-04-01,9.3,8.0
2003-04-16,10.9,10.0
2003-04-29,9.6,13.4
2003-05-13,6.5,15.8
2003-05-26,10.2,15.4
2003-06-10,6.9,21.0
2003-06-24,10.0,20.5
2003-07-08,7.9,19.0
2003-07-22,8.7,21.4
2003-08-05,9.5,22.8
2003-08-19,7.3,21.9
2003-09-02,6.0,17.4
2003-09-15,6.2,15.2
2003-09-30,9.2,15.2
2003-10-15,8.4,9.8
2003-10-28,9.3,6.2
2003-11-12,9.8,6.5
2003-11-25,9.6,6.9
2003-12-10,12.2,3.6
2004-01-07,11.4,2.1
2004-01-20,11.6,3.5
2004-02-03,11.2,4.1
2004-02-18,10.0,4.3
2004-03-02,10.7,2.6
2004-03-16,11.0,6.8
2004-03-31,9.8,7.1
2004-04-14,10.0,8.4
2004-04-28,8.9,12.3
2004-05-11,9.2,10.1
2004-05-26,9.4,13.8
2004-06-09,8.1,14.4
2004-06-22,7.8,15.3
2004-07-07,7.8,17.6
2004-07-20,7.7,18.8
2004-08-04,8.4,20.0
2004-08-18,7.9,19.6
2004-09-01,7.6,15.0
2004-09-16,7.1,17.3
2004-09-29,7.0,12.4
2004-10-13,7.5,11.1
2004-10-26,7.4,12.1
2004-11-10,8.6,8.0
2004-11-23,10.3,5.4
2004-12-07,9.7,5.4
2004-12-20,9.7,2.7
2005-01-18,10.8,2.9
2005-02-01,12.1,1.0
2005-02-15,10.5,2.6
2005-03-01,11.4,1.1
2005-03-15,11.2,4.3
2005-03-29,10.1,9.2
2005-04-12,9.6,8.9
2005-04-26,9.3,10.3
2005-05-10,9.1,10.6
2005-05-24,8.6,13.8
2005-06-08,10.2,14.9
2005-06-21,7.6,18.6
2005-07-05,6.3,18.9
2005-07-18,7.0,19.5
2005-08-02,6.9,19.8
2005-08-17,7.7,16.2
2005-09-01,7.3,17.1
2005-09-13,6.6,17.2
2005-09-26,8.3,14.1
2005-10-11,8.3,12.4
2005-10-24,8.7,10.9
2005-11-08,8.5,10.1
2005-11-22,9.4,5.5
2005-12-06,9.5,4.1
2005-12-20,10.0,2.5
2006-01-18,11.8,0.5
2006-01-31,12.8,0.3
2006-02-14,12.4,1.5
2006-03-01,10.6,2.4
2006-03-14,8.7,2.1
2006-03-28,10.3,7.6
2006-04-11,9.8,6.8
2006-04-25,10.0,11.9
2006-05-09,5.5,13.3
2006-05-23,6.4,13.7
2006-06-06,7.0,11.7
2006-06-20,8.2,19.4
2006-07-04,7.5,20.0
2006-07-18,7.3,20.6
2006-08-01,5.6,21.7
2006-08-16,6.4,15.0
2006-08-29,7.5,15.5
2006-09-12,7.4,17.0
2006-09-26,7.4,15.7
2006-10-11,9.5,12.4
2006-10-25,8.3,12.2
2006-11-07,8.3,8.1
