station_id,name,river_de,river,district,url,latitude,longitude
193506,Altheim OW,Isar,Isar,LA,https://www.gkd.bayern.de/de/fluesse/chemie/passau/altheim-ow-193506,48.583,12.2181
4373,Bad Abbach Pegel,Donau,Danube,KEH,https://www.gkd.bayern.de/de/fluesse/chemie/kelheim/bad-abbach-pegel-4373,48.9417,12.0336
10909,Baierbrunn oh Ausleitung,Isar,Isar,M,https://www.gkd.bayern.de/de/fluesse/chemie/isar/baierbrunn-oh-ausleitung-10909,48.0269,11.5004
10798,"bei Rosswies NNW Bad Toelz Fkm196,8",Isar,Isar,TÖL,https://www.gkd.bayern.de/de/fluesse/chemie/isar/bei-rosswies-nnw-bad-toelz-fkm196-8-10798,47.7882,11.5448
3165,Bittenbrunn 700 m uh KW,Donau,Danube,ND,https://www.gkd.bayern.de/de/fluesse/chemie/kelheim/bittenbrunn-700-m-uh-kw-3165,48.7357,11.1537
3164,BITTENBRUNN KW-OW,Donau,Danube,ND,https://www.gkd.bayern.de/de/fluesse/chemie/kelheim/bittenbrunn-kw-ow-3164,48.7348,11.1432
213708,Brücke Frammering,Isar,Isar,DGF,https://www.gkd.bayern.de/de/fluesse/chemie/passau/bruecke-frammering-213708,48.6827,12.7272
2346,"Böfinger Halde, KW-UW",Donau,Danube,NU,https://www.gkd.bayern.de/de/fluesse/chemie/kelheim/boefinger-halde-kw-uw-2346,48.4241,10.0269
10751,DEGGENDORF BR. B 11,Donau,Danube,DEG,https://www.gkd.bayern.de/de/fluesse/chemie/passau/deggendorf-br-b-11-10751,48.8251,12.96
2389,Dillingen Meßstation,Donau,Danube,DLG,https://www.gkd.bayern.de/de/fluesse/chemie/kelheim/dillingen-messstation-2389,48.5683,10.5002
20256,Erlabrunn KW-OW,Main,Main,WÜ,https://www.gkd.bayern.de/de/fluesse/chemie/main_unten/erlabrunn-kw-ow-20256,49.8549,9.8547
11353,GOTTFRIEDING BRUECKE,Isar,Isar,DGF,https://www.gkd.bayern.de/de/fluesse/chemie/passau/gottfrieding-bruecke-11353,48.6433,12.5345
193502,Guenzburg OW,Donau,Danube,GZ,https://www.gkd.bayern.de/de/fluesse/chemie/kelheim/guenzburg-ow-193502,48.4598,10.2645
16122,"Hallstadt, Brücke",Main,Main,BA,https://www.gkd.bayern.de/de/fluesse/chemie/elbe/hallstadt-bruecke-16122,49.926,10.8643
10988,HMS Moosburg,Isar,Isar,FS,https://www.gkd.bayern.de/de/fluesse/chemie/kelheim/hms-moosburg-10988,48.458,11.9487
11239,HOFHAM,Isar,Isar,LA,https://www.gkd.bayern.de/de/fluesse/chemie/kelheim/hofham-11239,48.5104,12.0754
13306,Jochenstein Messstation,Donau,Danube,PA,https://www.gkd.bayern.de/de/fluesse/chemie/passau/jochenstein-messstation-13306,48.5207,13.7021
22559,"Kahl Messstation (SH Krotzenburg, km 067,1)",Main,Main,AB,https://www.gkd.bayern.de/de/fluesse/chemie/main_unten/kahl-messstation-sh-krotzenburg-km-067-1-22559,50.0639,8.9903
3413,Kelheim Pegel,Donau,Danube,KEH,https://www.gkd.bayern.de/de/fluesse/chemie/kelheim/kelheim-pegel-3413,48.916,11.8668
108193,Kiessperre,Isar,Isar,TÖL,https://www.gkd.bayern.de/de/fluesse/chemie/isar/kiessperre-108193,47.5613,11.4887
142522,Messstation Erlabrunn,Main,Main,WÜ,https://www.gkd.bayern.de/de/fluesse/chemie/main_unten/messstation-erlabrunn-142522,49.8552,9.8537
142526,Messstation Ingolstadt Luitpoldstraße,Donau,Danube,IN,https://www.gkd.bayern.de/de/fluesse/chemie/kelheim/messstation-ingolstadt-luitpoldstrasse-142526,48.7574,11.4261
142528,Messstation Jochenstein,Donau,Danube,PA,https://www.gkd.bayern.de/de/fluesse/chemie/passau/messstation-jochenstein-142528,48.5208,13.7022
142520,Messstation Kahl am Main,Main,Main,AB,https://www.gkd.bayern.de/de/fluesse/chemie/main_unten/messstation-kahl-am-main-142520,50.0639,8.9903
196431,Messstation Pfelling,Donau,Danube,SR,https://www.gkd.bayern.de/de/fluesse/chemie/passau/messstation-pfelling-196431,48.8798,12.7473
15197,"Michelau, Brücke",Main,Main,LIF,https://www.gkd.bayern.de/de/fluesse/chemie/elbe/michelau-bruecke-15197,50.1602,11.1141
10754,Mittenwald oh Bruecke,Isar,Isar,GAP,https://www.gkd.bayern.de/de/fluesse/chemie/isar/mittenwald-oh-bruecke-10754,47.426,11.2596
197830,Neuburg Brandlbad Schwebstoff,Donau,Danube,ND,https://www.gkd.bayern.de/de/fluesse/chemie/kelheim/neuburg-brandlbad-schwebstoff-197830,48.7388,11.1672
3317,NEUSTADT Bruecke B299,Donau,Danube,KEH,https://www.gkd.bayern.de/de/fluesse/chemie/kelheim/neustadt-bruecke-b299-3317,48.8166,11.7387
129872,Obergries;Br.Hoehe Sportplatz;Steg uh. Arzbachmündung (Chemiemesstelle),Isar,Isar,TÖL,https://www.gkd.bayern.de/de/fluesse/chemie/isar/obergries-br-hoehe-sportplatz-steg-uh-arzbachmuendung-chemiemesstelle-129872,47.7097,11.5618
105522,Oberhalb Mamming,Isar,Isar,DGF,https://www.gkd.bayern.de/de/fluesse/chemie/passau/oberhalb-mamming-105522,48.658,12.6022
11449,oh Niederalteich,Donau,Danube,DEG,https://www.gkd.bayern.de/de/fluesse/chemie/passau/oh-niederalteich-11449,48.7651,13.0192
218804,oh Oberföhringer Wehr,Isar,Isar,M,https://www.gkd.bayern.de/de/fluesse/chemie/kelheim/oh-oberfoehringer-wehr-218804,48.1677,11.6161
10804,oh Tattenkofer Br,Isar,Isar,TÖL,https://www.gkd.bayern.de/de/fluesse/chemie/isar/oh-tattenkofer-br-10804,47.8534,11.5118
2963,oh. Lechsend,Donau,Danube,DON,https://www.gkd.bayern.de/de/fluesse/chemie/kelheim/oh-lechsend-2963,48.7392,10.9086
11240,oh.Autob-br. Weixerau,Isar,Isar,LA,https://www.gkd.bayern.de/de/fluesse/chemie/kelheim/oh-autob-br-weixerau-11240,48.4966,11.9995
218742,Passau Hängebrücke,Donau,Danube,PA,https://www.gkd.bayern.de/de/fluesse/chemie/passau/passau-haengebruecke-218742,48.5756,13.4716
11777,PASSAU-KACHLET KW-OW,Donau,Danube,PA,https://www.gkd.bayern.de/de/fluesse/chemie/passau/passau-kachlet-kw-ow-11777,48.5801,13.4073
10089,Pegel Pfatterbrücke,Donau,Danube,R,https://www.gkd.bayern.de/de/fluesse/chemie/passau/pegel-pfatterbruecke-10089,48.9749,12.3588
11446,Plattling Bruecke B8,Isar,Isar,DEG,https://www.gkd.bayern.de/de/fluesse/chemie/passau/plattling-bruecke-b8-11446,48.7715,12.884
10908,Praterinsel Mutterb,Isar,Isar,M,https://www.gkd.bayern.de/de/fluesse/chemie/kelheim/praterinsel-mutterb-10908,48.1358,11.5912
21413,Rothenfels KW-OW,Main,Main,MSP,https://www.gkd.bayern.de/de/fluesse/chemie/main_unten/rothenfels-kw-ow-21413,49.9003,9.5867
14533,"Rothwind, Mühlstau HMS 05",Main,Main,KU,https://www.gkd.bayern.de/de/fluesse/chemie/elbe/rothwind-muehlstau-hms-05-14533,50.1118,11.3293
15169,Schwürbitz,Main,Main,LIF,https://www.gkd.bayern.de/de/fluesse/chemie/elbe/schwuerbitz-15169,50.1646,11.1514
2962,Schäfstall Pegel,Donau,Danube,DON,https://www.gkd.bayern.de/de/fluesse/chemie/kelheim/schaefstall-pegel-2962,48.717,10.8464
216208,"SH Eichel km 171,35 Trennfeld Fahrgasse",Main,Main,MSP,https://www.gkd.bayern.de/de/fluesse/chemie/main_unten/sh-eichel-km-171-35-trennfeld-fahrgasse-216208,49.7936,9.6173
21918,"SH Faulbach km 147,2 OW II_zentrST",Main,Main,MIL,https://www.gkd.bayern.de/de/fluesse/chemie/main_unten/sh-faulbach-km-147-2-ow-ii_zentrst-21918,49.7801,9.4394
19577,"SH Garstadt, km 324,0, OW",Main,Main,SW,https://www.gkd.bayern.de/de/fluesse/chemie/main_unten/sh-garstadt-km-324-0-ow-19577,49.9814,10.174
22114,"SH Heubach km 122,4 Großheubach OW, zentr. MST",Main,Main,MIL,https://www.gkd.bayern.de/de/fluesse/chemie/main_unten/sh-heubach-km-122-4-grossheubach-ow-zentr-mst-22114,49.7132,9.2335
22138,"SH Klingenberg km 116,2 oh K-berg-Röllfeld",Main,Main,MIL,https://www.gkd.bayern.de/de/fluesse/chemie/main_unten/sh-klingenberg-km-116-2-oh-k-berg-roellfeld-22138,49.7519,9.1772
19417,"SH Ottendorf, km 358,0, Knetzgau, KA uuh",Main,Main,HAS,https://www.gkd.bayern.de/de/fluesse/chemie/main_unten/sh-ottendorf-km-358-0-knetzgau-ka-uuh-19417,50.0112,10.5297
19556,"SH Schweinfurt, km 332,0, OW",Main,Main,SW,https://www.gkd.bayern.de/de/fluesse/chemie/main_unten/sh-schweinfurt-km-332-0-ow-19556,50.04,10.2312
22272,"SH Wallstadt km 102,56 KW OW",Main,Main,MIL,https://www.gkd.bayern.de/de/fluesse/chemie/main_unten/sh-wallstadt-km-102-56-kw-ow-22272,49.8679,9.1615
177397,Stadtprozelten,Main,Main,MIL,https://www.gkd.bayern.de/de/fluesse/chemie/main_unten/stadtprozelten-177397,49.7854,9.4149
105519,uh Ausleitung Werkkanal Moosburg,Isar,Isar,FS,https://www.gkd.bayern.de/de/fluesse/chemie/kelheim/uh-ausleitung-werkkanal-moosburg-105519,48.4837,11.9535
113796,"uh Br St2070; westl Puppling; Fkm177,9; Br Nantwein",Isar,Isar,TÖL,https://www.gkd.bayern.de/de/fluesse/chemie/isar/uh-br-st2070-westl-puppling-fkm177-9-br-nantwein-113796,47.9172,11.4455
19268,"Viereth, KW-Oberwasser",Main,Main,BA,https://www.gkd.bayern.de/de/fluesse/chemie/elbe/viereth-kw-oberwasser-19268,49.9242,10.7872
220792,Volkmannsdorf,Isar,Isar,FS,https://www.gkd.bayern.de/de/fluesse/chemie/kelheim/volkmannsdorf-220792,48.4997,11.9567
176715,"Wehrarm Volkach km 304,7 W Altmain",Main,Main,KT,https://www.gkd.bayern.de/de/fluesse/chemie/main_unten/wehrarm-volkach-km-304-7-w-altmain-176715,49.8399,10.1774
193504,Wipfeld OW nahe Staumauer,Main,Main,SW,https://www.gkd.bayern.de/de/fluesse/chemie/main_unten/wipfeld-ow-nahe-staumauer-193504,49.9119,10.1816
213724,Zufahrtsrampe uh. Eining (rechtsseitig),Donau,Danube,KEH,https://www.gkd.bayern.de/de/fluesse/chemie/kelheim/zufahrtsrampe-uh-eining-rechtsseitig-213724,48.8646,11.7789
