"GCODE";"Ost";"Nord";"AWGN ID";"Parameter";"Messstation";"Gewässer";"Jahr";"Datum";"Tagesmittelwert";"Dimension"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"01.01.2018";"6,5";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"02.01.2018";"6,9";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"03.01.2018";"7,1";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"04.01.2018";"7,2";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"05.01.2018";"7,6";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"06.01.2018";"7,9";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"07.01.2018";"7,9";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"08.01.2018";"7,9";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"09.01.2018";"7,8";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"10.01.2018";"7,7";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"11.01.2018";"7,5";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"12.01.2018";"7,5";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"13.01.2018";"7,3";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"14.01.2018";"7";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"15.01.2018";"6,5";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"16.01.2018";"6,4";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"17.01.2018";"6,6";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"18.01.2018";"6,3";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"19.01.2018";"6,3";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"20.01.2018";"6";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"21.01.2018";"5,9";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"22.01.2018";"5,9";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"23.01.2018";"6,3";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"24.01.2018";"6,8";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"25.01.2018";"7,3";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"26.01.2018";"7,7";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"27.01.2018";"7,9";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"28.01.2018";"7,9";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"29.01.2018";"8,1";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"30.01.2018";"8,3";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"31.01.2018";"8,5";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"01.02.2018";"8,3";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"02.02.2018";"7,6";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"03.02.2018";"6,9";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"04.02.2018";"6,5";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"05.02.2018";"6,1";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"06.02.2018";"5,8";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"07.02.2018";"5,6";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"08.02.2018";"5,6";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"09.02.2018";"5,5";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"10.02.2018";"5,5";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"11.02.2018";"5,6";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"12.02.2018";"5,7";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"13.02.2018";"5,5";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"14.02.2018";"5,2";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"15.02.2018";"4,8";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"16.02.2018";"5,3";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"17.02.2018";"5,5";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"18.02.2018";"5,2";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"19.02.2018";"5,2";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"20.02.2018";"5,2";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"21.02.2018";"5";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"22.02.2018";"4,7";"°C"
"CYY125";"511.732";"5.435.458";"2.345";"Temperatur";"Lauffen (CYY125)";"Neckar";"2018";"23.02.2018";"4,4";"°C"
