"GCODE";"Ost";"Nord";"AWGN ID";"Messstelle";"Gewässer";"Parameter";"Jahr";"Datum";"Vorzeichen";"Messwert";"Bestimmungsgrenze";"Dimension";"Medium";"Probeart"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"09.01.2006";"-";"5,4";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"23.01.2006";"-";"5,4";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"07.02.2006";"-";"4,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"20.02.2006";"-";"7,1";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"06.03.2006";"-";"6";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"20.03.2006";"-";"7,6";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"03.04.2006";"-";"9,6";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"18.04.2006";"-";"10";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"03.05.2006";"-";"12,4";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"15.05.2006";"-";"15,7";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"29.05.2006";"-";"15,7";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"12.06.2006";"-";"18,3";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"26.06.2006";"-";"22,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"10.07.2006";"-";"24,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"24.07.2006";"-";"27";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"07.08.2006";"-";"23,2";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"21.08.2006";"-";"20,8";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"04.09.2006";"-";"19,4";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"19.09.2006";"-";"20,7";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"02.10.2006";"-";"19,2";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"16.10.2006";"-";"16,7";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"30.10.2006";"-";"16,4";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"14.11.2006";"-";"13,2";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"27.11.2006";"-";"12,5";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2006";"11.12.2006";"-";"10";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"08.01.2007";"-";"9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"22.01.2007";"-";"9,7";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"05.02.2007";"-";"8,1";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"19.02.2007";"-";"7,7";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"05.03.2007";"-";"9,8";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"20.03.2007";"-";"9,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
