"GCODE";"Ost";"Nord";"AWGN ID";"Messstelle";"Gewässer";"Parameter";"Jahr";"Datum";"Vorzeichen";"Messwert";"Bestimmungsgrenze";"Dimension";"Medium";"Probeart"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Sauerstoff";"2006";"09.01.2006";"-";"11,9";"0,2";"mg/l";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Sauerstoff";"2006";"23.01.2006";"-";"12,4";"0,2";"mg/l";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Sauerstoff";"2006";"07.02.2006";"-";"12,4";"0,2";"mg/l";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Sauerstoff";"2006";"20.02.2006";"-";"11,6";"0,2";"mg/l";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Sauerstoff";"2006";"06.03.2006";"-";"11,9";"0,2";"mg/l";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Sauerstoff";"2006";"20.03.2006";"-";"11,7";"0,2";"mg/l";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Sauerstoff";"2006";"03.04.2006";"-";"11,7";"0,2";"mg/l";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Sauerstoff";"2006";"18.04.2006";"-";"11,7";"0,2";"mg/l";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Sauerstoff";"2006";"03.05.2006";"-";"10,6";"0,2";"mg/l";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Sauerstoff";"2006";"15.05.2006";"-";"9,9";"0,2";"mg/l";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Sauerstoff";"2006";"29.05.2006";"-";"9,6";"0,2";"mg/l";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Sauerstoff";"2006";"12.06.2006";"-";"9,4";"0,2";"mg/l";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Sauerstoff";"2006";"26.06.2006";"-";"8";"0,2";"mg/l";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Sauerstoff";"2006";"10.07.2006";"-";"7,4";"0,2";"mg/l";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Sauerstoff";"2006";"24.07.2006";"-";"7,4";"0,2";"mg/l";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Sauerstoff";"2006";"07.08.2006";"-";"7,6";"0,2";"mg/l";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Sauerstoff";"2006";"21.08.2006";"-";"8,1";"0,2";"mg/l";"Oberflaechengewaesser";"Stichprobe"
