case,label,role,river,block,outcome,unit,upstream,downstream,spec,note,cut,n,n_pre,n_post,first_day,last_day,up_pre,up_post,down_pre,down_post,gap_pre,gap_post,up_change,down_change,did_raw,did,se,t,p,ci_lo,ci_hi,r2
A1,Isar 1 — Landshut-Birket → Landau,treatment,Isar,Isar 1,temperature,°C,Landshut-Birket,Landau a.d. Isar,baseline,"Schnitt 06.08.2011, Monats-FE, HAC(30)",2011-08-06,3336,1517,1819,2007-05-16,2016-08-05,11.852076466710615,12.137493128092357,13.583981542518126,12.091588785046728,1.731905075807515,-0.04590434304562944,0.28541666138174193,-1.4923927574713982,-1.7778094188531444,-1.7740777072554406,0.1301831230480667,-13.627555290714673,2.7462682401541078e-42,-2.0292319398245975,-1.5189234746862836,0.4790606499612946
A1,Isar 1 — Landshut-Birket → Landau,treatment,Isar,Isar 1,temperature,°C,Landshut-Birket,Landau a.d. Isar,no_month_fe,ohne Monats-FE = klassisches 2×2 auf den gepaarten Tagen,2011-08-06,3336,1517,1819,2007-05-16,2016-08-05,11.852076466710615,12.137493128092357,13.583981542518126,12.091588785046728,1.731905075807515,-0.04590434304562944,0.28541666138174193,-1.4923927574713982,-1.7778094188531444,-1.77780941885314,0.13468563997137567,-13.199695373842173,8.809055903784011e-40,-2.0417884224317646,-1.5138304152745152,0.44895489238567654
A1,Isar 1 — Landshut-Birket → Landau,treatment,Isar,Isar 1,temperature,°C,Landshut-Birket,Landau a.d. Isar,cut_moratorium,"Schnitt 14.03.2011 (Moratorium, Netzabgang)",2011-03-14,3336,1372,1964,2007-05-16,2016-08-05,11.482871720116618,12.374338085539714,13.347376093294459,12.36705702647658,1.8645043731778426,-0.007281059063136418,0.8914663654230957,-0.980319066817879,-1.871785432240979,-1.8974146482337255,0.12192225531083366,-15.562496308786102,1.3089258792321468e-54,-2.136377877556857,-1.658451418910594,0.5299513140790374
A1,Isar 1 — Landshut-Birket → Landau,treatment,Isar,Isar 1,temperature,°C,Landshut-Birket,Landau a.d. Isar,donut_transition,Übergangsmonate 14.03.–05.08.2011 entfernt,2011-08-06,3191,1372,1819,2007-05-16,2016-08-05,11.482871720116618,12.137493128092357,13.347376093294459,12.091588785046728,1.8645043731778426,-0.04590434304562944,0.6546214079757391,-1.255787308247731,-1.910408716223472,-1.9203861816903631,0.12346161669495492,-15.55451996416986,1.4826268317664245e-54,-2.162366503885564,-1.6784058594951623,0.5418687045004604
A1,Isar 1 — Landshut-Birket → Landau,treatment,Isar,Isar 1,temperature,°C,Landshut-Birket,Landau a.d. Isar,donut_1y,±1 Jahr um den Schnitt entfernt,2011-08-06,2606,1152,1454,2007-05-16,2016-08-05,11.90095486111111,12.204951856946355,13.92543402777778,12.139477303988999,2.0244791666666666,-0.06547455295735899,0.3039969958352451,-1.7859567237887806,-2.0899537196240257,-2.0850248376708937,0.12487303016244476,-16.697158985879717,1.3745569683400113e-62,-2.3297714794296693,-1.8402781959121182,0.5960632571599739
A1,Isar 1 — Landshut-Birket → Landau,treatment,Isar,Isar 1,temperature,°C,Landshut-Birket,Landau a.d. Isar,placebo_cut_2008,"Nur Vorperiode, Scheinschnitt 06.08.2008",2008-08-06,1372,422,950,2007-05-16,2011-03-13,12.676303317535544,10.952736842105264,14.51729857819905,12.827684210526314,1.8409952606635072,1.8749473684210527,-1.72356647543028,-1.6896143676727355,0.033952107757545535,0.08332264179526518,0.1977571559427734,0.4213381882341437,0.6735081482341223,-0.3042742615376418,0.47091954512817213,0.06418370785184102
A1,Isar 1 — Landshut-Birket → Landau,treatment,Isar,Isar 1,temperature,°C,Landshut-Birket,Landau a.d. Isar,summer,"nur Juni–September (Niedrigwasser, größte thermische Last)",2011-08-06,1138,528,610,2007-06-01,2016-08-05,17.75132575757576,18.254262295081965,19.36628787878788,18.685737704918033,1.6149621212121212,0.43147540983606564,0.5029365375062049,-0.6805501738698467,-1.1834867113760557,-1.1886645520158143,0.20302854579011773,-5.854667122743445,4.779663673359247e-09,-1.5865931895979863,-0.7907359144336423,0.26807160650197015
A1,Isar 1 — Landshut-Birket → Landau,treatment,Isar,Isar 1,temperature,°C,Landshut-Birket,Landau a.d. Isar,winter,nur Oktober–Mai,2011-08-06,2198,989,1209,2007-05-16,2016-05-31,8.702628918099089,9.051282051282051,10.496966632962588,8.764516129032257,1.7943377148634985,-0.2867659222497932,0.3486531331829621,-1.7324505039303304,-2.0811036371132916,-2.0766603131184755,0.14522366277395027,-14.299737890173777,2.1963521164460292e-46,-2.3612934618584083,-1.7920271643785428,0.5781707712309234
A1,Isar 1 — Landshut-Birket → Landau,treatment,Isar,Isar 1,temperature,°C,Landshut-Birket,Landau a.d. Isar,level_control,zusätzlich Wasserstand beider Pegel als Kovariate,2011-08-06,3336,1517,1819,2007-05-16,2016-08-05,11.852076466710615,12.137493128092357,13.583981542518126,12.091588785046728,1.731905075807515,-0.04590434304562944,0.28541666138174193,-1.4923927574713982,-1.7778094188531444,-1.7743325162079089,0.11855288557582519,-14.966590712573288,1.2138638538648926e-50,-2.006691902199824,-1.5419731302159934,0.5031091680702738
A1,Isar 1 — Landshut-Birket → Landau,treatment,Isar,Isar 1,level,cm,Landshut-Birket,Landau a.d. Isar,baseline,"Schnitt 06.08.2011, Monats-FE, HAC(30)",2011-08-06,3653,1826,1827,2006-08-06,2016-08-05,119.05093099671413,123.56978653530378,112.95947426067907,116.88122605363985,-6.091456736035049,-6.68856048166393,4.518855538589648,3.9217517929607766,-0.597103745628881,-0.5987881578412027,0.8174837760613909,-0.7324771149907631,0.4638774058581825,-2.2010269168673355,1.0034506011849302,0.08663263904015805
