"GCODE";"Ost";"Nord";"AWGN ID";"Parameter";"Messstation";"Gewässer";"Jahr";"Datum";"Tagesmittelwert";"Dimension"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"01.01.2020";"5,2";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"02.01.2020";"4,8";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"03.01.2020";"4,6";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"04.01.2020";"4,7";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"05.01.2020";"4,9";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"06.01.2020";"4,9";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"07.01.2020";"4,6";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"08.01.2020";"4,7";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"09.01.2020";"5,1";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"10.01.2020";"5,7";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"11.01.2020";"6,1";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"12.01.2020";"6,1";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"13.01.2020";"6,1";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"14.01.2020";"6,2";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"15.01.2020";"6,2";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"16.01.2020";"6,4";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"17.01.2020";"6,4";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"18.01.2020";"6,5";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"19.01.2020";"6,3";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"20.01.2020";"6,2";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"21.01.2020";"5,9";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"22.01.2020";"5,5";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"23.01.2020";"5";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"24.01.2020";"4,9";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"25.01.2020";"4,7";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"26.01.2020";"4,9";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"27.01.2020";"5";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"28.01.2020";"5,2";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"29.01.2020";"5,1";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"30.01.2020";"5,1";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"31.01.2020";"5,6";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"01.02.2020";"6,1";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"02.02.2020";"6,9";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"03.02.2020";"8,1";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"04.02.2020";"8,1";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"05.02.2020";"7,4";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"06.02.2020";"6,6";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"07.02.2020";"6,1";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"08.02.2020";"5,7";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"09.02.2020";"5,5";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"10.02.2020";"6,2";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"11.02.2020";"6,8";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"12.02.2020";"7,1";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"13.02.2020";"6,5";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"14.02.2020";"6,3";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"15.02.2020";"6,6";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"16.02.2020";"7";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"17.02.2020";"7,3";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"18.02.2020";"7,6";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"19.02.2020";"7,9";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"20.02.2020";"7,8";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"21.02.2020";"7,6";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"22.02.2020";"7,5";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"23.02.2020";"7,8";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"24.02.2020";"8,2";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"25.02.2020";"8,5";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"26.02.2020";"8,4";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"27.02.2020";"7,8";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"28.02.2020";"6,9";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"29.02.2020";"6,7";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"01.03.2020";"7,1";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"02.03.2020";"7,7";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"03.03.2020";"7,9";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"04.03.2020";"7,6";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"05.03.2020";"7,4";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"06.03.2020";"7,4";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"07.03.2020";"7,5";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"08.03.2020";"7,5";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"09.03.2020";"7,7";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"10.03.2020";"7,6";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"11.03.2020";"8,3";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"12.03.2020";"8,9";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"13.03.2020";"9,6";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"14.03.2020";"9,6";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"15.03.2020";"9,5";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"16.03.2020";"9,4";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"17.03.2020";"9,6";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"18.03.2020";"9,9";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"19.03.2020";"10,3";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"20.03.2020";"10,9";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"21.03.2020";"11,1";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"22.03.2020";"10,5";"°C"
"CYY137";"510.766";"5.427.724";"2.345";"Temperatur";"Besigheim (CYY137)";"Neckar";"2020";"23.03.2020";"9,8";"°C"
