Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"02.08.2026 17:53"
Zeitbezug:;MEZ
Messstellen-Name:;Donauwörth
Messstellen-Nr.:;10039802
Gewässer:;Donau
Ostwert:;632524;Nordwert:;5396864;"ETRS89 / UTM Zone 32N"

"Tageswerte Wassertemperatur [°C]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2016-01-01;4,8;5,0;4,7;Geprueft
2016-01-02;4,6;4,9;4,4;Geprueft
2016-01-03;4,4;4,5;4,1;Geprueft
2016-01-04;4,0;4,3;3,6;Geprueft
2016-01-05;4,4;4,9;4,1;Geprueft
2016-01-06;4,4;4,6;4,2;Geprueft
2016-01-07;4,7;5,1;4,4;Geprueft
2016-01-08;4,6;4,8;4,4;Geprueft
2016-01-09;4,7;5,0;4,5;Geprueft
2016-01-10;5,1;5,3;5,0;Geprueft
2016-01-11;5,3;5,3;5,2;Geprueft
2016-01-12;5,3;5,4;5,2;Geprueft
2016-01-13;4,9;5,2;4,7;Geprueft
2016-01-14;4,4;4,7;4,3;Geprueft
2016-01-15;3,9;4,2;3,5;Geprueft
2016-01-16;3,4;3,5;3,3;Geprueft
2016-01-17;3,1;3,3;3,0;Geprueft
2016-01-18;2,8;2,9;2,5;Geprueft
2016-01-19;2,3;2,5;2,2;Geprueft
2016-01-20;2,0;2,2;1,9;Geprueft
2016-01-21;1,9;2,2;1,7;Geprueft
2016-01-22;1,6;1,8;1,5;Geprueft
2016-01-23;1,8;2,3;1,4;Geprueft
2016-01-24;2,1;2,4;1,8;Geprueft
2016-01-25;2,8;3,1;2,4;Geprueft
2016-01-26;3,2;3,7;2,8;Geprueft
2016-01-27;4,0;4,5;3,6;Geprueft
2016-01-28;4,8;5,1;4,5;Geprueft
2016-01-29;5,3;5,7;5,0;Geprueft
2016-01-30;5,5;5,7;5,3;Geprueft
2016-01-31;5,6;5,7;5,4;Geprueft
2016-02-01;5,9;6,1;5,7;Geprueft
2016-02-02;6,3;6,6;5,9;Geprueft
2016-02-03;6,5;6,6;6,4;Geprueft
2016-02-04;6,1;6,5;5,6;Geprueft
2016-02-05;5,4;5,6;5,3;Geprueft
2016-02-06;5,3;5,6;5,1;Geprueft
2016-02-07;5,3;5,4;5,1;Geprueft
2016-02-08;5,4;5,6;5,2;Geprueft
2016-02-09;5,7;5,9;5,6;Geprueft
2016-02-10;5,8;5,9;5,6;Geprueft
2016-02-11;5,4;5,6;5,2;Geprueft
2016-02-12;5,0;5,2;4,9;Geprueft
2016-02-13;5,0;5,2;4,9;Geprueft
2016-02-14;5,4;5,6;5,2;Geprueft
2016-02-15;5,6;5,7;5,5;Geprueft
2016-02-16;5,5;5,6;5,3;Geprueft
2016-02-17;5,0;5,3;4,8;Geprueft
2016-02-18;4,9;5,1;4,7;Geprueft
2016-02-19;4,9;5,0;4,7;Geprueft
2016-02-20;4,8;4,9;4,7;Geprueft
2016-02-21;5,2;5,6;4,7;Geprueft
2016-02-22;5,9;6,4;5,5;Geprueft
2016-02-23;6,5;6,6;6,4;Geprueft
2016-02-24;6,6;6,8;6,5;Geprueft
2016-02-25;6,2;6,5;5,8;Geprueft
2016-02-26;5,7;5,8;5,4;Geprueft
2016-02-27;5,2;5,4;4,9;Geprueft
2016-02-28;4,9;5,0;4,7;Geprueft
2016-02-29;4,8;5,0;4,4;Geprueft
2016-03-01;4,4;4,5;4,3;Geprueft
2016-03-02;4,6;4,8;4,4;Geprueft
2016-03-03;4,8;4,9;4,6;Geprueft
2016-03-04;4,9;5,2;4,7;Geprueft
2016-03-05;5,2;5,4;5,0;Geprueft
2016-03-06;5,4;5,6;5,3;Geprueft
2016-03-07;5,3;5,6;5,1;Geprueft
2016-03-08;5,2;5,5;4,9;Geprueft
2016-03-09;5,0;5,1;4,7;Geprueft
2016-03-10;4,9;5,4;4,5;Geprueft
2016-03-11;5,2;5,6;4,8;Geprueft
2016-03-12;5,7;6,3;5,2;Geprueft
2016-03-13;6,1;6,5;5,8;Geprueft
2016-03-14;6,3;6,7;5,8;Geprueft
2016-03-15;6,0;6,3;5,8;Geprueft
2016-03-16;5,7;6,1;5,4;Geprueft
2016-03-17;5,7;6,2;5,1;Geprueft
2016-03-18;6,1;6,9;5,4;Geprueft
2016-03-19;6,6;7,0;6,1;Geprueft
2016-03-20;7,2;7,7;6,8;Geprueft
2016-03-21;7,8;8,2;7,4;Geprueft
2016-03-22;8,1;8,4;7,8;Geprueft
2016-03-23;8,2;8,4;7,9;Geprueft
2016-03-24;8,1;8,3;7,9;Geprueft
2016-03-25;7,9;8,1;7,7;Geprueft
2016-03-26;8,0;8,3;7,6;Geprueft
2016-03-27;8,1;8,4;7,6;Geprueft
2016-03-28;8,4;8,9;7,9;Geprueft
2016-03-29;8,8;9,2;8,2;Geprueft
2016-03-30;9,1;9,4;8,8;Geprueft
2016-03-31;9,5;10,0;8,9;Geprueft
2016-04-01;10,0;10,3;9,7;Geprueft
2016-04-02;10,1;10,5;9,7;Geprueft
2016-04-03;10,4;10,9;9,8;Geprueft
2016-04-04;11,1;11,9;10,4;Geprueft
2016-04-05;11,8;12,4;11,1;Geprueft
2016-04-06;12,1;12,6;11,7;Geprueft
2016-04-07;11,8;12,1;11,6;Geprueft
2016-04-08;11,4;11,6;11,2;Geprueft
2016-04-09;11,0;11,2;10,7;Geprueft
2016-04-10;10,6;10,9;10,2;Geprueft
2016-04-11;10,7;11,2;10,1;Geprueft
2016-04-12;11,0;11,5;10,5;Geprueft
2016-04-13;11,5;11,9;11,1;Geprueft
2016-04-14;11,9;12,2;11,5;Geprueft
2016-04-15;11,7;12,0;11,4;Geprueft
2016-04-16;11,5;11,9;11,1;Geprueft
2016-04-17;11,6;11,8;11,2;Geprueft
2016-04-18;10,9;11,2;10,7;Geprueft
2016-04-19;10,3;10,7;10,1;Geprueft
2016-04-20;10,3;11,0;9,6;Geprueft
2016-04-21;10,9;11,4;10,3;Geprueft
2016-04-22;11,5;11,9;11,2;Geprueft
2016-04-23;12,1;12,4;11,6;Geprueft
2016-04-24;11,6;11,9;11,2;Geprueft
2016-04-25;10,9;11,2;10,2;Geprueft
2016-04-26;9,8;10,2;9,1;Geprueft
2016-04-27;9,0;9,4;8,5;Geprueft
2016-04-28;8,4;8,7;8,2;Geprueft
2016-04-29;8,8;9,4;8,2;Geprueft
2016-04-30;9,7;10,5;8,8;Geprueft
2016-05-01;10,7;11,4;9,8;Geprueft
2016-05-02;11,5;12,3;10,7;Geprueft
2016-05-03;12,0;12,4;11,7;Geprueft
2016-05-04;12,3;12,8;11,9;Geprueft
2016-05-05;12,2;12,6;11,9;Geprueft
2016-05-06;12,5;13,3;11,7;Geprueft
2016-05-07;13,5;14,5;12,4;Geprueft
2016-05-08;14,4;15,5;13,3;Geprueft
2016-05-09;15,1;16,1;14,0;Geprueft
2016-05-10;15,4;15,9;14,7;Geprueft
2016-05-11;15,5;16,1;14,9;Geprueft
2016-05-12;15,3;15,6;14,9;Geprueft
2016-05-13;14,4;14,8;13,8;Geprueft
2016-05-14;13,2;13,8;12,6;Geprueft
2016-05-15;11,8;12,6;10,9;Geprueft
2016-05-16;10,8;11,1;10,6;Geprueft
2016-05-17;10,7;11,0;10,4;Geprueft
2016-05-18;11,1;11,7;10,5;Geprueft
2016-05-19;11,9;12,1;11,5;Geprueft
2016-05-20;12,7;13,4;11,9;Geprueft
2016-05-21;13,5;14,1;13,0;Geprueft
2016-05-22;14,7;15,5;13,8;Geprueft
2016-05-23;14,9;15,4;14,2;Geprueft
2016-05-24;13,9;14,2;13,5;Geprueft
2016-05-25;13,0;13,4;12,8;Geprueft
2016-05-26;13,3;14,0;12,6;Geprueft
2016-05-27;14,1;14,7;13,5;Geprueft
2016-05-28;15,2;15,9;14,3;Geprueft
2016-05-29;16,2;16,8;15,5;Geprueft
2016-05-30;16,1;16,5;15,5;Geprueft
2016-05-31;15,1;15,5;14,8;Geprueft
2016-06-01;14,9;15,3;14,5;Geprueft
2016-06-02;14,6;14,9;14,4;Geprueft
2016-06-03;14,4;14,9;14,0;Geprueft
2016-06-04;14,8;15,4;14,3;Geprueft
2016-06-05;15,1;15,6;14,6;Geprueft
2016-06-06;15,3;16,1;14,5;Geprueft
2016-06-07;16,2;17,0;15,4;Geprueft
2016-06-08;16,6;16,9;16,2;Geprueft
2016-06-09;15,8;16,4;15,5;Geprueft
2016-06-10;15,1;15,5;14,8;Geprueft
2016-06-11;14,8;15,1;14,5;Geprueft
2016-06-12;14,7;15,0;14,4;Geprueft
2016-06-13;15,0;15,4;14,6;Geprueft
2016-06-14;14,8;15,2;14,6;Geprueft
2016-06-15;14,6;15,0;14,2;Geprueft
2016-06-16;14,5;14,7;14,2;Geprueft
2016-06-17;13,7;14,2;13,5;Geprueft
2016-06-18;13,8;14,3;13,2;Geprueft
2016-06-19;14,1;14,6;13,8;Geprueft
2016-06-20;14,1;14,6;13,6;Geprueft
2016-06-21;14,7;15,2;14,2;Geprueft
2016-06-22;15,7;16,4;15,0;Geprueft
2016-06-23;16,8;17,7;15,9;Geprueft
2016-06-24;18,2;18,8;17,7;Geprueft
2016-06-25;18,9;19,3;18,5;Geprueft
2016-06-26;18,6;19,1;18,2;Geprueft
2016-06-27;17,9;18,3;17,5;Geprueft
2016-06-28;17,6;18,0;17,1;Geprueft
2016-06-29;17,5;17,8;17,3;Geprueft
2016-06-30;17,5;17,6;17,3;Geprueft
2016-07-01;17,8;18,2;17,4;Geprueft
2016-07-02;17,8;18,1;17,3;Geprueft
2016-07-03;17,3;17,6;16,8;Geprueft
2016-07-04;17,1;17,7;16,6;Geprueft
2016-07-05;17,6;18,2;17,1;Geprueft
2016-07-06;18,0;18,7;17,3;Geprueft
2016-07-07;18,3;19,1;17,5;Geprueft
2016-07-08;18,6;19,3;17,7;Geprueft
2016-07-09;18,9;19,7;18,1;Geprueft
2016-07-10;19,8;20,7;18,8;Geprueft
2016-07-11;20,4;21,0;19,8;Geprueft
2016-07-12;20,1;20,8;19,7;Geprueft
2016-07-13;19,0;19,7;17,9;Geprueft
2016-07-14;17,0;17,9;16,4;Geprueft
2016-07-15;15,7;16,4;15,1;Geprueft
2016-07-16;14,8;15,1;14,4;Geprueft
2016-07-17;15,2;15,7;14,8;Geprueft
2016-07-18;16,4;17,2;15,6;Geprueft
2016-07-19;17,7;18,7;16,6;Geprueft
2016-07-20;18,9;20,0;17,8;Geprueft
2016-07-21;19,6;20,2;19,0;Geprueft
2016-07-22;20,2;20,8;19,5;Geprueft
2016-07-23;20,3;20,7;20,0;Geprueft
2016-07-24;20,0;20,6;19,5;Geprueft
2016-07-25;20,2;20,7;19,9;Geprueft
2016-07-26;19,9;20,3;19,6;Geprueft
2016-07-27;19,7;20,4;19,4;Geprueft
2016-07-28;19,4;19,7;19,1;Geprueft
2016-07-29;19,2;19,5;18,9;Geprueft
2016-07-30;19,3;19,9;18,7;Geprueft
2016-07-31;19,1;19,4;18,8;Geprueft
2016-08-01;18,9;19,4;18,3;Geprueft
2016-08-02;18,5;18,9;17,9;Geprueft
2016-08-03;18,3;19,0;17,6;Geprueft
2016-08-04;18,7;19,5;17,9;Geprueft
2016-08-05;18,4;19,1;18,0;Geprueft
2016-08-06;17,0;18,1;16,3;Geprueft
2016-08-07;16,2;16,8;15,6;Geprueft
2016-08-08;16,8;17,3;16,4;Geprueft
2016-08-09;17,1;17,3;16,8;Geprueft
2016-08-10;16,9;17,4;16,6;Geprueft
2016-08-11;16,4;16,8;16,2;Geprueft
2016-08-12;15,9;16,1;15,7;Geprueft
2016-08-13;16,1;16,8;15,5;Geprueft
2016-08-14;16,7;17,5;15,9;Geprueft
2016-08-15;17,5;18,4;16,6;Geprueft
2016-08-16;18,3;19,0;17,5;Geprueft
2016-08-17;18,8;19,4;18,2;Geprueft
2016-08-18;18,8;19,2;18,3;Geprueft
2016-08-19;18,8;19,2;18,2;Geprueft
2016-08-20;18,6;18,9;18,1;Geprueft
2016-08-21;18,2;18,6;17,9;Geprueft
2016-08-22;17,9;18,3;17,4;Geprueft
2016-08-23;18,1;18,7;17,3;Geprueft
2016-08-24;18,3;18,8;17,6;Geprueft
2016-08-25;18,8;19,2;18,2;Geprueft
2016-08-26;19,3;19,8;18,7;Geprueft
2016-08-27;19,9;20,4;19,2;Geprueft
2016-08-28;20,3;20,7;19,8;Geprueft
2016-08-29;20,2;20,5;20,1;Geprueft
2016-08-30;20,0;20,4;19,4;Geprueft
2016-08-31;19,9;20,3;19,3;Geprueft
2016-09-01;19,8;20,0;19,5;Geprueft
2016-09-02;19,7;20,1;19,3;Geprueft
2016-09-03;19,6;20,0;19,1;Geprueft
2016-09-04;19,3;19,7;18,9;Geprueft
2016-09-05;18,6;18,9;18,0;Geprueft
2016-09-06;17,9;18,2;17,6;Geprueft
2016-09-07;17,5;17,9;17,0;Geprueft
2016-09-08;17,7;18,1;17,1;Geprueft
2016-09-09;18,0;18,4;17,5;Geprueft
2016-09-10;18,1;18,6;17,6;Geprueft
2016-09-11;18,4;19,0;17,8;Geprueft
2016-09-12;18,8;19,3;18,4;Geprueft
2016-09-13;19,1;19,6;18,6;Geprueft
2016-09-14;19,3;19,7;18,8;Geprueft
2016-09-15;19,2;19,8;18,9;Geprueft
2016-09-16;19,1;19,7;18,9;Geprueft
2016-09-17;18,3;18,9;17,7;Geprueft
2016-09-18;17,1;17,7;16,6;Geprueft
2016-09-19;16,1;16,6;15,6;Geprueft
2016-09-20;15,3;15,6;14,8;Geprueft
2016-09-21;14,7;15,1;14,4;Geprueft
2016-09-22;14,4;14,8;13,8;Geprueft
