Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"02.08.2026 16:38"
Zeitbezug:;MEZ
Messstellen-Name:;Donauwörth
Messstellen-Nr.:;10039802
Gewässer:;Donau
Ostwert:;632524;Nordwert:;5396864;"ETRS89 / UTM Zone 32N"

"Tageswerte Wassertemperatur [°C]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2020-01-01;3,4;3,6;3,2;Geprueft
2020-01-02;3,3;3,4;3,2;Geprueft
2020-01-03;3,4;3,5;3,2;Geprueft
2020-01-04;3,6;3,8;3,5;Geprueft
2020-01-05;3,8;4,0;3,6;Geprueft
2020-01-06;3,9;4,1;3,6;Geprueft
2020-01-07;3,9;4,1;3,7;Geprueft
2020-01-08;3,8;3,9;3,6;Geprueft
2020-01-09;4,1;4,4;3,8;Geprueft
2020-01-10;4,3;4,7;4,0;Geprueft
2020-01-11;4,7;5,0;4,5;Geprueft
2020-01-12;4,5;4,7;4,4;Geprueft
2020-01-13;4,6;4,8;4,5;Geprueft
2020-01-14;4,6;4,8;4,4;Geprueft
2020-01-15;4,6;4,9;4,4;Geprueft
2020-01-16;4,5;4,9;4,3;Geprueft
2020-01-17;4,5;4,9;4,2;Geprueft
2020-01-18;4,7;5,0;4,5;Geprueft
2020-01-19;4,6;4,8;4,4;Geprueft
2020-01-20;4,6;5,0;4,4;Geprueft
2020-01-21;4,3;4,4;4,1;Geprueft
2020-01-22;4,1;4,3;3,8;Geprueft
2020-01-23;3,7;3,9;3,6;Geprueft
2020-01-24;3,5;3,9;3,3;Geprueft
2020-01-25;3,4;3,8;3,1;Geprueft
2020-01-26;3,5;3,9;3,2;Geprueft
2020-01-27;3,8;4,2;3,3;Geprueft
2020-01-28;4,1;4,5;3,8;Geprueft
2020-01-29;3,9;4,2;3,5;Geprueft
2020-01-30;4,1;4,5;3,8;Geprueft
2020-01-31;5,0;5,5;4,5;Geprueft
2020-02-01;5,7;6,2;5,3;Geprueft
2020-02-02;6,3;6,7;6,0;Geprueft
2020-02-03;6,9;7,2;6,7;Geprueft
2020-02-04;6,6;7,1;6,1;Geprueft
2020-02-05;5,7;6,1;5,3;Geprueft
2020-02-06;4,8;5,3;4,4;Geprueft
2020-02-07;3,9;4,4;3,7;Geprueft
2020-02-08;3,8;3,9;3,6;Geprueft
2020-02-09;4,0;4,4;3,7;Geprueft
2020-02-10;5,0;5,4;4,4;Geprueft
2020-02-11;5,5;5,6;5,4;Geprueft
2020-02-12;5,1;5,4;4,9;Geprueft
2020-02-13;4,7;4,9;4,5;Geprueft
2020-02-14;4,9;5,1;4,8;Geprueft
2020-02-15;5,1;5,3;4,9;Geprueft
2020-02-16;5,2;5,4;5,0;Geprueft
2020-02-17;5,6;5,8;5,4;Geprueft
2020-02-18;6,0;6,2;5,8;Geprueft
2020-02-19;6,0;6,2;5,7;Geprueft
2020-02-20;5,7;5,9;5,6;Geprueft
2020-02-21;5,9;6,1;5,7;Geprueft
2020-02-22;6,1;6,3;5,8;Geprueft
2020-02-23;6,5;6,8;6,1;Geprueft
2020-02-24;7,0;7,2;6,7;Geprueft
2020-02-25;7,1;7,3;6,9;Geprueft
2020-02-26;6,8;7,0;6,4;Geprueft
2020-02-27;6,1;6,4;5,5;Geprueft
2020-02-28;5,3;5,5;5,1;Geprueft
2020-02-29;5,3;5,5;5,0;Geprueft
2020-03-01;5,9;6,4;5,4;Geprueft
2020-03-02;6,4;6,5;6,2;Geprueft
2020-03-03;6,5;6,6;6,3;Geprueft
2020-03-04;6,2;6,3;6,1;Geprueft
2020-03-05;5,9;6,1;5,8;Geprueft
2020-03-06;6,0;6,0;5,9;Geprueft
2020-03-07;5,9;6,0;5,8;Geprueft
2020-03-08;5,9;6,3;5,6;Geprueft
2020-03-09;6,3;6,4;6,1;Geprueft
2020-03-10;6,3;6,4;6,2;Geprueft
2020-03-11;6,7;7,1;6,3;Geprueft
2020-03-12;7,6;8,3;7,1;Geprueft
2020-03-13;8,4;8,7;8,1;Geprueft
2020-03-14;8,3;8,5;8,1;Geprueft
2020-03-15;8,0;8,3;7,8;Geprueft
2020-03-16;8,2;8,5;7,8;Geprueft
2020-03-17;8,5;8,9;8,0;Geprueft
2020-03-18;9,1;9,8;8,3;Geprueft
2020-03-19;9,7;10,3;9,0;Geprueft
2020-03-20;10,2;10,8;9,4;Geprueft
2020-03-21;9,9;10,4;9,3;Geprueft
2020-03-22;8,7;9,2;8,1;Geprueft
2020-03-23;7,5;8,1;7,1;Geprueft
2020-03-24;6,7;7,1;6,1;Geprueft
2020-03-25;6,2;6,6;5,7;Geprueft
2020-03-26;5,8;6,1;5,4;Geprueft
2020-03-27;6,2;6,8;5,6;Geprueft
2020-03-28;7,1;7,8;6,4;Geprueft
2020-03-29;7,6;7,8;7,2;Geprueft
2020-03-30;7,7;8,2;7,2;Geprueft
2020-03-31;7,6;8,0;7,2;Geprueft
2020-04-01;7,4;7,8;6,8;Geprueft
2020-04-02;7,5;8,0;6,8;Geprueft
2020-04-03;7,8;8,3;7,2;Geprueft
2020-04-04;8,4;9,0;7,7;Geprueft
2020-04-05;9,2;9,9;8,5;Geprueft
2020-04-06;10,1;10,6;9,4;Geprueft
2020-04-07;10,8;11,5;10,1;Geprueft
2020-04-08;11,7;12,3;10,9;Geprueft
2020-04-09;12,4;13,0;11,6;Geprueft
2020-04-10;12,9;13,3;12,2;Geprueft
2020-04-11;13,3;13,8;12,6;Geprueft
2020-04-12;13,7;14,2;13,0;Geprueft
2020-04-13;13,9;14,4;13,2;Geprueft
2020-04-14;13,2;14,0;12,8;Geprueft
2020-04-15;12,6;13,0;12,0;Geprueft
2020-04-16;12,7;13,3;12,0;Geprueft
2020-04-17;13,2;13,7;12,5;Geprueft
2020-04-18;13,8;14,3;13,4;Geprueft
2020-04-19;14,2;14,6;13,7;Geprueft
2020-04-20;13,9;14,4;13,4;Geprueft
2020-04-21;13,5;13,9;12,9;Geprueft
2020-04-22;13,3;13,8;12,6;Geprueft
2020-04-23;13,6;14,1;12,9;Geprueft
2020-04-24;13,9;14,5;13,3;Geprueft
2020-04-25;14,4;14,9;13,8;Geprueft
2020-04-26;14,7;15,1;14,2;Geprueft
2020-04-27;15,2;15,7;14,8;Geprueft
2020-04-28;15,3;15,5;15,1;Geprueft
2020-04-29;15,1;15,6;14,7;Geprueft
2020-04-30;14,2;14,6;13,9;Geprueft
2020-05-01;13,7;14,2;13,3;Geprueft
2020-05-02;13,1;13,4;12,7;Geprueft
2020-05-03;12,7;13,2;12,2;Geprueft
2020-05-04;12,8;13,3;12,3;Geprueft
2020-05-05;13,0;13,2;12,7;Geprueft
2020-05-06;13,1;13,6;12,4;Geprueft
2020-05-07;13,6;14,3;12,7;Geprueft
2020-05-08;14,1;14,6;13,4;Geprueft
2020-05-09;14,8;15,5;14,2;Geprueft
2020-05-10;15,4;15,9;14,9;Geprueft
2020-05-11;15,4;15,9;15,0;Geprueft
2020-05-12;15,0;15,6;14,3;Geprueft
2020-05-13;14,4;15,0;14,1;Geprueft
2020-05-14;13,7;14,1;13,4;Geprueft
2020-05-15;13,1;13,4;12,9;Geprueft
2020-05-16;13,3;13,9;12,6;Geprueft
2020-05-17;13,8;14,5;13,0;Geprueft
2020-05-18;14,7;15,5;14,0;Geprueft
2020-05-19;15,6;16,4;14,8;Geprueft
2020-05-20;16,0;16,4;15,8;Geprueft
2020-05-21;16,8;17,7;15,8;Geprueft
2020-05-22;17,3;17,8;16,7;Geprueft
2020-05-23;17,3;18,0;16,5;Geprueft
2020-05-24;16,7;17,2;16,3;Geprueft
2020-05-25;16,6;16,9;16,3;Geprueft
2020-05-26;16,5;16,9;16,2;Geprueft
2020-05-27;16,6;17,3;15,9;Geprueft
2020-05-28;16,9;17,7;16,5;Geprueft
2020-05-29;16,7;17,3;16,1;Geprueft
2020-05-30;16,3;16,8;15,9;Geprueft
2020-05-31;16,5;17,3;15,7;Geprueft
2020-06-01;17,2;18,0;16,3;Geprueft
2020-06-02;18,0;18,8;17,1;Geprueft
2020-06-03;18,3;19,0;17,8;Geprueft
2020-06-04;18,0;18,3;17,7;Geprueft
2020-06-05;17,4;17,7;16,8;Geprueft
2020-06-06;16,9;17,5;16,7;Geprueft
2020-06-07;16,4;16,8;15,9;Geprueft
2020-06-08;15,8;16,2;15,6;Geprueft
2020-06-09;15,5;15,7;15,4;Geprueft
2020-06-10;15,2;15,5;14,9;Geprueft
2020-06-11;15,0;15,2;14,7;Geprueft
2020-06-12;14,9;15,5;14,4;Geprueft
2020-06-13;15,7;16,6;14,7;Geprueft
2020-06-14;15,5;16,4;15,1;Geprueft
2020-06-15;15,3;15,7;14,9;Geprueft
2020-06-16;14,9;15,1;14,7;Geprueft
2020-06-17;14,6;14,8;14,5;Geprueft
2020-06-18;15,1;15,7;14,6;Geprueft
2020-06-19;15,4;15,7;15,0;Geprueft
2020-06-20;14,9;15,1;14,6;Geprueft
2020-06-21;15,4;15,8;14,9;Geprueft
2020-06-22;16,3;16,9;15,6;Geprueft
2020-06-23;17,2;18,0;16,4;Geprueft
2020-06-24;17,9;18,7;17,1;Geprueft
2020-06-25;18,5;19,0;18,0;Geprueft
2020-06-26;19,2;20,0;18,5;Geprueft
2020-06-27;19,9;20,6;19,2;Geprueft
2020-06-28;20,0;20,3;19,7;Geprueft
2020-06-29;19,7;19,9;19,5;Geprueft
2020-06-30;19,5;19,9;19,1;Geprueft
2020-07-01;19,4;20,1;18,7;Geprueft
2020-07-02;19,4;19,8;18,8;Geprueft
2020-07-03;19,2;19,8;18,6;Geprueft
2020-07-04;19,4;20,0;18,8;Geprueft
2020-07-05;19,5;20,2;18,8;Geprueft
2020-07-06;19,6;20,0;19,3;Geprueft
2020-07-07;19,4;20,2;18,9;Geprueft
2020-07-08;19,5;20,1;19,0;Geprueft
2020-07-09;19,9;20,6;19,3;Geprueft
2020-07-10;20,6;21,4;19,9;Geprueft
2020-07-11;20,4;20,9;20,1;Geprueft
2020-07-12;20,1;20,5;19,7;Geprueft
2020-07-13;19,9;20,5;19,5;Geprueft
2020-07-14;20,0;20,5;19,5;Geprueft
2020-07-15;19,6;19,9;19,4;Geprueft
2020-07-16;19,0;19,4;18,6;Geprueft
2020-07-17;18,7;19,2;18,3;Geprueft
2020-07-18;18,1;18,4;17,7;Geprueft
2020-07-19;18,5;19,2;17,7;Geprueft
2020-07-20;19,0;19,6;18,4;Geprueft
2020-07-21;19,3;19,8;18,8;Geprueft
2020-07-22;19,6;20,4;18,8;Geprueft
2020-07-23;20,1;20,8;19,5;Geprueft
2020-07-24;20,4;20,9;20,2;Geprueft
2020-07-25;20,6;21,4;20,1;Geprueft
2020-07-26;20,8;21,6;20,3;Geprueft
2020-07-27;21,0;21,9;20,2;Geprueft
2020-07-28;21,2;22,2;20,7;Geprueft
2020-07-29;21,3;22,1;20,5;Geprueft
2020-07-30;21,8;22,7;21,0;Geprueft
2020-07-31;22,2;23,1;21,4;Geprueft
2020-08-01;22,7;23,7;22,0;Geprueft
2020-08-02;22,3;22,7;21,8;Geprueft
2020-08-03;21,2;21,8;20,6;Geprueft
2020-08-04;19,8;20,6;18,7;Geprueft
2020-08-05;17,8;18,6;16,9;Geprueft
2020-08-06;16,8;17,3;16,3;Geprueft
2020-08-07;17,6;18,5;16,7;Geprueft
2020-08-08;18,7;19,4;17,8;Geprueft
2020-08-09;19,8;20,6;19,1;Geprueft
2020-08-10;20,6;21,2;19,9;Geprueft
2020-08-11;21,4;22,1;20,8;Geprueft
2020-08-12;22,1;23,0;21,5;Geprueft
2020-08-13;22,0;22,9;21,7;Geprueft
2020-08-14;21,9;22,4;21,5;Geprueft
2020-08-15;21,6;22,3;21,3;Geprueft
2020-08-16;21,6;22,4;21,2;Geprueft
2020-08-17;21,5;21,8;21,2;Geprueft
2020-08-18;21,2;21,8;20,9;Geprueft
2020-08-19;21,1;21,7;20,5;Geprueft
2020-08-20;21,4;22,1;21,0;Geprueft
2020-08-21;21,8;22,7;21,0;Geprueft
2020-08-22;21,6;21,9;21,1;Geprueft
2020-08-23;21,2;21,9;20,8;Geprueft
2020-08-24;20,7;21,3;20,1;Geprueft
2020-08-25;20,3;21,0;19,8;Geprueft
2020-08-26;20,2;21,1;19,7;Geprueft
2020-08-27;19,8;20,6;19,3;Geprueft
2020-08-28;19,5;20,0;19,1;Geprueft
2020-08-29;18,9;19,4;18,3;Geprueft
2020-08-30;17,8;18,3;17,2;Geprueft
2020-08-31;16,8;17,2;16,5;Geprueft
2020-09-01;16,4;16,7;16,0;Geprueft
2020-09-02;15,6;15,9;15,3;Geprueft
2020-09-03;15,6;16,2;15,0;Geprueft
2020-09-04;16,4;17,1;15,7;Geprueft
2020-09-05;17,1;17,6;16,6;Geprueft
2020-09-06;17,5;17,8;17,2;Geprueft
2020-09-07;17,5;18,0;17,0;Geprueft
2020-09-08;17,6;18,0;17,2;Geprueft
2020-09-09;17,8;18,4;17,4;Geprueft
2020-09-10;17,8;18,3;17,6;Geprueft
2020-09-11;18,1;19,0;17,5;Geprueft
2020-09-12;18,3;19,2;17,6;Geprueft
2020-09-13;18,7;19,6;17,9;Geprueft
2020-09-14;19,0;19,9;18,2;Geprueft
2020-09-15;19,2;20,1;18,5;Geprueft
2020-09-16;19,6;20,4;18,9;Geprueft
2020-09-17;19,7;20,6;19,2;Geprueft
2020-09-18;19,1;19,9;18,6;Geprueft
2020-09-19;18,7;19,5;18,1;Geprueft
2020-09-20;18,6;19,4;17,9;Geprueft
2020-09-21;18,5;19,3;17,9;Geprueft
2020-09-22;18,6;19,3;17,9;Geprueft
