Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"02.08.2026 18:33"
Zeitbezug:;MEZ
Messstellen-Name:;Landau
Messstellen-Nr.:;16008007
Gewässer:;Isar
Ostwert:;771814;Nordwert:;5397941;"ETRS89 / UTM Zone 32N"

"Tageswerte Wassertemperatur [°C]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2022-01-01;7,7;7,8;7,5;Geprueft
2022-01-02;7,3;7,5;7,2;Geprueft
2022-01-03;7,0;7,2;6,9;Geprueft
2022-01-04;6,9;7,0;6,9;Geprueft
2022-01-05;7,0;7,1;6,8;Geprueft
2022-01-06;6,7;6,8;6,4;Geprueft
2022-01-07;5,9;6,4;5,6;Geprueft
2022-01-08;5,3;5,6;5,0;Geprueft
2022-01-09;4,7;5,0;4,7;Geprueft
2022-01-10;4,5;4,7;4,4;Geprueft
2022-01-11;4,5;4,6;4,4;Geprueft
2022-01-12;4,5;4,6;4,4;Geprueft
2022-01-13;4,3;4,6;4,0;Geprueft
2022-01-14;4,0;4,1;3,9;Geprueft
2022-01-15;4,3;4,4;4,1;Geprueft
2022-01-16;4,4;4,5;4,2;Geprueft
2022-01-17;4,2;4,3;4,1;Geprueft
2022-01-18;4,4;4,5;4,2;Geprueft
2022-01-19;4,4;4,5;4,3;Geprueft
2022-01-20;4,5;4,7;4,4;Geprueft
2022-01-21;4,3;4,5;4,1;Geprueft
2022-01-22;4,0;4,1;3,8;Geprueft
2022-01-23;3,9;4,1;3,8;Geprueft
2022-01-24;4,1;4,3;3,9;Geprueft
2022-01-25;4,3;4,4;4,1;Geprueft
2022-01-26;4,5;4,6;4,4;Geprueft
2022-01-27;4,4;4,6;4,3;Geprueft
2022-01-28;4,2;4,3;4,2;Geprueft
2022-01-29;4,3;4,4;4,2;Geprueft
2022-01-30;4,5;4,5;4,4;Geprueft
2022-01-31;4,5;4,6;4,4;Geprueft
2022-02-01;4,4;4,6;4,3;Geprueft
2022-02-02;4,4;4,5;4,3;Geprueft
2022-02-03;4,4;4,6;4,4;Geprueft
2022-02-04;4,5;4,6;4,4;Geprueft
2022-02-05;4,7;4,8;4,5;Geprueft
2022-02-06;4,7;4,8;4,6;Geprueft
2022-02-07;4,7;4,7;4,4;Geprueft
2022-02-08;4,4;4,5;4,3;Geprueft
2022-02-09;4,6;4,8;4,5;Geprueft
2022-02-10;4,9;5,2;4,6;Geprueft
2022-02-11;5,4;5,6;5,2;Geprueft
2022-02-12;5,4;5,5;5,3;Geprueft
2022-02-13;5,3;5,5;5,2;Geprueft
2022-02-14;5,3;5,4;5,1;Geprueft
2022-02-15;5,2;5,3;5,0;Geprueft
2022-02-16;5,0;5,2;4,9;Geprueft
2022-02-17;5,8;6,2;5,2;Geprueft
2022-02-18;6,5;6,8;6,2;Geprueft
2022-02-19;6,7;6,8;6,6;Geprueft
2022-02-20;6,6;6,7;6,4;Geprueft
2022-02-21;6,5;6,6;6,3;Geprueft
2022-02-22;6,2;6,3;6,1;Geprueft
2022-02-23;6,0;6,2;5,9;Geprueft
2022-02-24;6,2;6,4;6,0;Geprueft
2022-02-25;6,5;6,6;6,4;Geprueft
2022-02-26;6,4;6,6;6,3;Geprueft
2022-02-27;6,2;6,4;5,9;Geprueft
2022-02-28;6,0;6,2;5,8;Geprueft
2022-03-01;5,8;5,9;5,6;Geprueft
2022-03-02;5,4;5,6;5,3;Geprueft
2022-03-03;5,0;5,3;4,8;Geprueft
2022-03-04;4,8;5,0;4,6;Geprueft
2022-03-05;4,7;4,8;4,5;Geprueft
2022-03-06;4,5;4,6;4,4;Geprueft
2022-03-07;4,5;4,8;4,3;Geprueft
2022-03-08;4,6;4,8;4,4;Geprueft
2022-03-09;4,8;5,0;4,5;Geprueft
2022-03-10;5,1;5,4;4,8;Geprueft
2022-03-11;5,2;5,5;4,9;Geprueft
2022-03-12;5,2;5,5;4,9;Geprueft
2022-03-13;5,2;5,6;4,9;Geprueft
2022-03-14;5,6;5,9;5,3;Geprueft
2022-03-15;5,9;6,1;5,7;Geprueft
2022-03-16;6,5;6,9;6,1;Geprueft
2022-03-17;7,2;7,4;6,8;Geprueft
2022-03-18;7,6;7,9;7,4;Geprueft
2022-03-19;7,8;8,1;7,6;Geprueft
2022-03-20;7,7;7,9;7,4;Geprueft
2022-03-21;7,7;8,1;7,4;Geprueft
2022-03-22;7,8;8,1;7,5;Geprueft
2022-03-23;8,2;8,6;7,8;Geprueft
2022-03-24;8,6;8,9;8,1;Geprueft
2022-03-25;8,9;9,2;8,5;Geprueft
2022-03-26;9,2;9,6;8,8;Geprueft
2022-03-27;9,6;10,0;9,2;Geprueft
2022-03-28;10,0;10,4;9,6;Geprueft
2022-03-29;10,2;10,6;9,9;Geprueft
2022-03-30;10,3;10,5;10,2;Geprueft
2022-03-31;10,3;10,4;10,2;Geprueft
2022-04-01;10,0;10,2;9,7;Geprueft
2022-04-02;9,1;9,7;8,6;Geprueft
2022-04-03;8,1;8,6;7,4;Geprueft
2022-04-04;7,3;7,6;7,0;Geprueft
2022-04-05;7,0;7,2;6,8;Geprueft
2022-04-06;7,3;8,0;6,7;Geprueft
2022-04-07;8,4;8,8;7,9;Geprueft
2022-04-08;9,3;9,7;8,7;Geprueft
2022-04-09;9,4;9,6;9,3;Geprueft
2022-04-10;9,2;9,3;9,1;Geprueft
2022-04-11;9,2;9,5;9,0;Geprueft
2022-04-12;9,5;9,8;9,1;Geprueft
2022-04-13;10,2;10,8;9,6;Geprueft
2022-04-14;11,2;11,8;10,7;Geprueft
2022-04-15;12,1;12,7;11,5;Geprueft
2022-04-16;12,6;12,9;12,4;Geprueft
2022-04-17;12,7;13,1;12,4;Geprueft
2022-04-18;12,5;12,7;12,2;Geprueft
2022-04-19;12,1;12,4;11,8;Geprueft
2022-04-20;11,7;12,0;11,3;Geprueft
2022-04-21;11,9;12,1;11,6;Geprueft
2022-04-22;12,2;12,4;11,8;Geprueft
2022-04-23;12,5;12,9;12,2;Geprueft
2022-04-24;12,6;13,0;12,4;Geprueft
2022-04-25;12,7;13,0;12,5;Geprueft
2022-04-26;12,4;12,7;12,2;Geprueft
2022-04-27;12,2;12,5;12,1;Geprueft
2022-04-28;12,7;13,1;12,1;Geprueft
2022-04-29;13,1;13,5;12,6;Geprueft
2022-04-30;13,5;13,8;13,2;Geprueft
2022-05-01;13,8;14,2;13,5;Geprueft
2022-05-02;14,1;14,5;13,8;Geprueft
2022-05-03;14,5;15,0;14,2;Geprueft
2022-05-04;14,8;15,3;14,5;Geprueft
2022-05-05;15,1;15,6;14,5;Geprueft
2022-05-06;15,4;15,5;15,3;Geprueft
2022-05-07;15,7;15,9;15,4;Geprueft
2022-05-08;15,6;15,8;15,5;Geprueft
2022-05-09;15,7;16,1;15,4;Geprueft
2022-05-10;16,0;16,5;15,5;Geprueft
2022-05-11;16,9;17,6;16,1;Geprueft
2022-05-12;17,6;18,2;17,0;Geprueft
2022-05-13;18,3;18,7;18,0;Geprueft
2022-05-14;18,6;19,1;18,1;Geprueft
2022-05-15;19,0;19,5;18,4;Geprueft
2022-05-16;19,2;19,5;19,0;Geprueft
2022-05-17;19,0;19,3;18,7;Geprueft
2022-05-18;19,0;19,4;18,6;Geprueft
2022-05-19;19,5;20,1;19,0;Geprueft
2022-05-20;20,4;21,0;19,8;Geprueft
2022-05-21;21,1;21,5;20,7;Geprueft
2022-05-22;21,2;21,6;20,8;Geprueft
2022-05-23;21,2;21,5;21,0;Geprueft
2022-05-24;20,5;21,0;19,9;Geprueft
2022-05-25;19,5;19,9;19,1;Geprueft
2022-05-26;18,6;19,0;18,3;Geprueft
2022-05-27;18,1;18,5;17,8;Geprueft
2022-05-28;17,7;17,9;17,4;Geprueft
2022-05-29;17,2;17,5;17,0;Geprueft
2022-05-30;17,0;17,4;16,7;Geprueft
2022-05-31;16,9;17,3;16,5;Geprueft
2022-06-01;17,5;17,8;17,2;Geprueft
2022-06-02;18,0;18,4;17,6;Geprueft
2022-06-03;18,6;19,0;18,2;Geprueft
2022-06-04;19,2;19,7;18,8;Geprueft
2022-06-05;19,6;20,1;19,2;Geprueft
2022-06-06;20,0;20,4;19,5;Geprueft
2022-06-07;19,7;20,2;19,3;Geprueft
2022-06-08;19,4;19,7;19,0;Geprueft
2022-06-09;19,3;19,6;19,1;Geprueft
2022-06-10;19,2;19,5;18,9;Geprueft
2022-06-11;19,5;20,0;19,0;Geprueft
2022-06-12;19,9;20,4;19,4;Geprueft
2022-06-13;20,1;20,3;19,6;Geprueft
2022-06-14;20,2;20,6;19,9;Geprueft
2022-06-15;20,6;20,9;20,1;Geprueft
2022-06-16;20,8;21,1;20,5;Geprueft
2022-06-17;21,1;21,5;20,7;Geprueft
2022-06-18;21,5;21,9;21,1;Geprueft
2022-06-19;22,1;22,6;21,5;Geprueft
2022-06-20;22,5;22,8;22,3;Geprueft
2022-06-21;22,5;22,9;21,9;Geprueft
2022-06-22;22,3;22,5;21,8;Geprueft
2022-06-23;22,0;22,3;21,7;Geprueft
2022-06-24;21,9;22,1;21,7;Geprueft
2022-06-25;21,6;22,0;21,3;Geprueft
2022-06-26;21,9;22,4;21,4;Geprueft
2022-06-27;22,6;23,1;22,2;Geprueft
2022-06-28;22,9;23,1;22,4;Geprueft
2022-06-29;22,7;23,0;22,4;Geprueft
2022-06-30;22,5;22,9;22,2;Geprueft
2022-07-01;22,0;22,5;21,4;Geprueft
2022-07-02;21,3;21,6;21,0;Geprueft
2022-07-03;21,2;21,6;20,8;Geprueft
2022-07-04;21,3;21,7;21,0;Geprueft
2022-07-05;21,6;22,1;21,2;Geprueft
2022-07-06;21,8;22,1;21,6;Geprueft
2022-07-07;21,5;21,9;21,0;Geprueft
2022-07-08;20,6;21,0;20,2;Geprueft
2022-07-09;20,0;20,2;19,7;Geprueft
2022-07-10;19,6;19,8;19,4;Geprueft
2022-07-11;19,4;19,7;19,2;Geprueft
2022-07-12;19,6;20,0;19,2;Geprueft
2022-07-13;19,9;20,3;19,4;Geprueft
2022-07-14;20,5;21,0;19,9;Geprueft
2022-07-15;21,3;21,8;20,7;Geprueft
2022-07-16;22,0;22,5;21,5;Geprueft
2022-07-17;22,3;22,9;21,7;Geprueft
2022-07-18;22,5;22,9;22,0;Geprueft
2022-07-19;22,6;23,1;22,2;Geprueft
2022-07-20;23,0;23,4;22,5;Geprueft
2022-07-21;23,3;23,5;23,0;Geprueft
2022-07-22;23,3;23,8;22,8;Geprueft
2022-07-23;23,6;24,0;23,4;Geprueft
2022-07-24;23,8;24,4;23,3;Geprueft
2022-07-25;24,3;24,8;23,7;Geprueft
2022-07-26;24,4;24,7;24,1;Geprueft
2022-07-27;24,1;24,4;23,8;Geprueft
2022-07-28;23,6;23,8;23,4;Geprueft
2022-07-29;23,4;23,7;23,2;Geprueft
2022-07-30;23,2;23,5;23,0;Geprueft
2022-07-31;23,0;23,4;22,7;Geprueft
2022-08-01;23,1;23,5;22,9;Geprueft
2022-08-02;23,1;23,5;22,7;Geprueft
2022-08-03;23,2;23,6;22,7;Geprueft
2022-08-04;23,5;24,1;22,8;Geprueft
2022-08-05;24,0;24,5;23,5;Geprueft
2022-08-06;23,8;24,1;23,6;Geprueft
2022-08-07;23,5;23,8;23,3;Geprueft
2022-08-08;23,2;23,5;22,9;Geprueft
2022-08-09;22,8;23,1;22,6;Geprueft
2022-08-10;22,5;22,8;22,2;Geprueft
2022-08-11;22,2;22,5;21,9;Geprueft
2022-08-12;21,8;22,1;21,6;Geprueft
2022-08-13;21,5;21,8;21,2;Geprueft
2022-08-14;21,6;22,0;21,2;Geprueft
2022-08-15;21,9;22,3;21,6;Geprueft
2022-08-16;22,0;22,6;21,6;Geprueft
2022-08-17;22,2;22,8;21,8;Geprueft
2022-08-18;22,4;22,8;22,2;Geprueft
2022-08-19;22,5;22,9;22,3;Geprueft
2022-08-20;21,9;22,4;21,4;Geprueft
2022-08-21;21,3;21,5;21,1;Geprueft
2022-08-22;20,9;21,1;20,7;Geprueft
2022-08-23;20,7;21,2;20,4;Geprueft
2022-08-24;21,0;21,3;20,6;Geprueft
2022-08-25;21,3;21,7;20,9;Geprueft
2022-08-26;21,4;21,7;21,2;Geprueft
2022-08-27;21,3;21,6;21,0;Geprueft
2022-08-28;21,4;21,7;21,2;Geprueft
2022-08-29;21,3;21,6;21,2;Geprueft
2022-08-30;21,2;21,4;20,9;Geprueft
2022-08-31;20,9;21,1;20,6;Geprueft
2022-09-01;20,5;20,7;20,2;Geprueft
2022-09-02;19,9;20,2;19,6;Geprueft
2022-09-03;19,5;19,7;19,3;Geprueft
2022-09-04;19,3;19,6;19,1;Geprueft
2022-09-05;19,5;19,9;19,1;Geprueft
2022-09-06;19,9;20,2;19,5;Geprueft
2022-09-07;20,2;20,6;19,8;Geprueft
2022-09-08;20,3;20,4;20,1;Geprueft
2022-09-09;20,0;20,2;19,8;Geprueft
2022-09-10;19,6;19,8;19,4;Geprueft
2022-09-11;19,1;19,4;18,8;Geprueft
2022-09-12;18,7;18,9;18,5;Geprueft
2022-09-13;18,5;18,8;18,2;Geprueft
2022-09-14;18,5;18,8;18,3;Geprueft
2022-09-15;18,5;18,8;18,3;Geprueft
2022-09-16;18,2;18,4;17,9;Geprueft
2022-09-17;17,4;17,9;16,9;Geprueft
2022-09-18;16,2;16,9;15,5;Geprueft
2022-09-19;14,7;15,4;14,2;Geprueft
2022-09-20;14,0;14,2;13,7;Geprueft
2022-09-21;13,7;13,9;13,5;Geprueft
2022-09-22;13,9;14,2;13,7;Geprueft
2022-09-23;14,0;14,3;13,8;Geprueft
