Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"02.08.2026 16:29"
Zeitbezug:;MEZ
Messstellen-Name:;Landau
Messstellen-Nr.:;16008007
Gewässer:;Isar
Ostwert:;771814;Nordwert:;5397941;"ETRS89 / UTM Zone 32N"

"Tageswerte Wassertemperatur [°C]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2010-01-01;7,2;7,5;6,9;Geprueft
2010-01-02;7,2;7,4;6,8;Geprueft
2010-01-03;6,6;6,7;6,2;Geprueft
2010-01-04;6,4;6,7;6,1;Geprueft
2010-01-05;5,8;6,1;5,5;Geprueft
2010-01-06;5,2;5,6;4,9;Geprueft
2010-01-07;5,1;5,4;4,6;Geprueft
2010-01-08;4,9;5,1;4,6;Geprueft
2010-01-09;5,2;5,4;4,9;Geprueft
2010-01-10;5,2;5,3;5,0;Geprueft
2010-01-11;4,9;5,0;4,6;Geprueft
2010-01-12;4,7;4,9;4,6;Geprueft
2010-01-13;4,7;4,9;4,6;Geprueft
2010-01-14;4,8;5,0;4,7;Geprueft
2010-01-15;5,0;5,2;4,8;Geprueft
2010-01-16;5,2;5,6;4,9;Geprueft
2010-01-17;5,4;5,6;5,1;Geprueft
2010-01-18;5,9;6,1;5,6;Geprueft
2010-01-19;6,0;6,1;5,9;Geprueft
2010-01-20;6,7;7,1;6,1;Geprueft
2010-01-21;7,1;7,4;6,9;Geprueft
2010-01-22;7,1;7,5;6,8;Geprueft
2010-01-23;6,9;7,1;6,8;Geprueft
2010-01-24;6,8;6,9;6,6;Geprueft
2010-01-25;6,5;6,7;6,4;Geprueft
2010-01-26;6,2;6,4;5,7;Geprueft
2010-01-27;5,3;5,6;5,0;Geprueft
2010-01-28;5,1;5,3;4,9;Geprueft
2010-01-29;4,9;5,1;4,7;Geprueft
2010-01-30;4,7;5,0;4,4;Geprueft
2010-01-31;4,9;5,3;4,6;Geprueft
2010-02-01;5,3;5,4;5,2;Geprueft
2010-02-02;5,3;5,5;5,1;Geprueft
2010-02-03;5,4;5,5;5,3;Geprueft
2010-02-04;4,9;5,6;3,7;Geprueft
2010-02-05;3,5;3,7;3,4;Geprueft
2010-02-06;3,7;3,9;3,5;Geprueft
2010-02-07;4,1;4,2;3,9;Geprueft
2010-02-08;3,9;4,1;3,7;Geprueft
2010-02-09;3,5;3,7;3,3;Geprueft
2010-02-10;3,0;3,3;2,7;Geprueft
2010-02-11;2,4;2,7;2,1;Geprueft
2010-02-12;2,0;2,2;1,9;Geprueft
2010-02-13;1,9;2,1;1,7;Geprueft
2010-02-14;2,9;3,5;2,0;Geprueft
2010-02-15;3,7;4,1;3,3;Geprueft
2010-02-16;4,4;5,0;3,9;Geprueft
2010-02-17;5,1;5,6;4,7;Geprueft
2010-02-18;5,3;5,8;4,9;Geprueft
2010-02-19;6,0;6,3;5,7;Geprueft
2010-02-20;6,1;6,4;5,8;Geprueft
2010-02-21;6,4;6,8;6,0;Geprueft
2010-02-22;6,8;7,3;6,4;Geprueft
2010-02-23;7,1;7,6;6,8;Geprueft
2010-02-24;7,5;8,1;7,1;Geprueft
2010-02-25;8,0;8,4;7,6;Geprueft
2010-02-26;8,3;8,4;8,1;Geprueft
2010-02-27;7,9;8,2;7,4;Geprueft
2010-02-28;7,0;7,3;6,9;Geprueft
2010-03-01;6,5;6,9;6,4;Geprueft
2010-03-02;6,7;7,0;6,5;Geprueft
2010-03-03;6,6;6,8;6,4;Geprueft
2010-03-04;6,9;7,1;6,6;Geprueft
2010-03-05;6,6;6,9;6,1;Geprueft
2010-03-06;6,0;6,3;5,7;Geprueft
2010-03-07;6,0;6,6;5,5;Geprueft
2010-03-08;5,7;6,0;5,3;Geprueft
2010-03-09;5,2;5,5;4,7;Geprueft
2010-03-10;4,8;5,2;4,3;Geprueft
2010-03-11;4,5;5,2;4,1;Geprueft
2010-03-12;5,2;5,5;4,8;Geprueft
2010-03-13;5,2;5,4;5,0;Geprueft
2010-03-14;5,7;6,3;5,1;Geprueft
2010-03-15;6,4;7,0;5,8;Geprueft
2010-03-16;7,1;7,5;6,8;Geprueft
2010-03-17;7,8;8,4;7,3;Geprueft
2010-03-18;8,6;9,2;8,3;Geprueft
2010-03-19;9,5;9,8;9,2;Geprueft
2010-03-20;10,2;10,6;9,8;Geprueft
2010-03-21;11,2;11,8;10,6;Geprueft
2010-03-22;11,8;12,6;11,1;Geprueft
2010-03-23;12,1;12,3;11,8;Geprueft
2010-03-24;12,4;12,6;12,2;Geprueft
2010-03-25;13,1;13,7;12,4;Geprueft
2010-03-26;13,4;13,7;13,1;Geprueft
2010-03-27;13,4;13,7;13,0;Geprueft
2010-03-28;13,0;13,4;12,8;Geprueft
2010-03-29;13,2;13,3;13,0;Geprueft
2010-03-30;13,0;13,3;12,8;Geprueft
2010-03-31;13,1;13,6;12,6;Geprueft
2010-04-01;12,6;13,1;12,1;Geprueft
2010-04-02;12,4;12,9;11,7;Geprueft
2010-04-03;11,7;12,1;11,3;Geprueft
2010-04-04;11,7;12,2;11,3;Geprueft
2010-04-05;12,0;12,5;11,5;Geprueft
2010-04-06;12,1;12,6;11,6;Geprueft
2010-04-07;12,6;12,8;12,4;Geprueft
2010-04-08;12,9;13,5;12,4;Geprueft
2010-04-09;13,4;14,2;12,6;Geprueft
2010-04-10;14,0;14,5;13,5;Geprueft
2010-04-11;14,0;14,4;13,7;Geprueft
2010-04-12;13,7;13,9;13,4;Geprueft
2010-04-13;13,4;13,6;13,1;Geprueft
2010-04-14;13,0;13,3;12,8;Geprueft
2010-04-15;12,8;13,0;12,6;Geprueft
2010-04-16;13,1;13,7;12,5;Geprueft
2010-04-17;13,3;13,7;13,0;Geprueft
2010-04-18;13,6;14,2;13,0;Geprueft
2010-04-19;13,8;14,4;13,1;Geprueft
2010-04-20;14,8;15,5;14,0;Geprueft
2010-04-21;15,2;15,6;14,8;Geprueft
2010-04-22;15,5;16,1;14,9;Geprueft
2010-04-23;16,0;16,4;15,6;Geprueft
2010-04-24;16,1;16,6;15,7;Geprueft
2010-04-25;16,5;17,0;15,9;Geprueft
2010-04-26;16,9;17,2;16,8;Geprueft
2010-04-27;17,2;17,6;16,8;Geprueft
2010-04-28;17,3;18,0;16,8;Geprueft
2010-04-29;17,7;18,4;17,0;Geprueft
2010-04-30;18,2;18,7;17,7;Geprueft
2010-05-01;18,6;18,9;18,2;Geprueft
2010-05-02;18,7;19,0;18,5;Geprueft
2010-05-03;17,9;18,4;17,6;Geprueft
2010-05-04;16,3;17,6;15,7;Geprueft
2010-05-05;15,5;15,9;15,2;Geprueft
2010-05-06;15,1;15,3;14,7;Geprueft
2010-05-07;14,6;15,0;14,2;Geprueft
2010-05-08;13,9;14,6;13,5;Geprueft
2010-05-09;14,4;15,0;14,0;Geprueft
2010-05-10;15,3;15,6;14,9;Geprueft
2010-05-11;15,6;16,1;15,3;Geprueft
2010-05-12;16,4;16,7;16,1;Geprueft
2010-05-13;16,8;17,1;16,5;Geprueft
2010-05-14;16,0;16,4;15,5;Geprueft
2010-05-15;15,1;15,6;14,7;Geprueft
2010-05-16;14,2;14,7;13,9;Geprueft
2010-05-17;13,7;14,1;13,3;Geprueft
2010-05-18;13,1;13,6;12,8;Geprueft
2010-05-19;13,2;13,6;12,9;Geprueft
2010-05-20;13,2;13,8;12,8;Geprueft
2010-05-21;13,3;13,7;12,9;Geprueft
2010-05-22;13,8;15,1;13,2;Geprueft
2010-05-23;15,4;15,7;15,0;Geprueft
2010-05-24;16,4;16,9;15,7;Geprueft
2010-05-25;17,6;18,3;16,9;Geprueft
2010-05-26;18,5;19,0;18,2;Geprueft
2010-05-27;19,2;19,7;18,9;Geprueft
2010-05-28;19,4;19,5;19,2;Geprueft
2010-05-29;19,7;20,1;19,5;Geprueft
2010-05-30;19,8;20,3;19,3;Geprueft
2010-05-31;18,9;19,6;18,1;Geprueft
2010-06-01;16,7;18,0;15,5;Geprueft
2010-06-02;14,4;15,4;13,5;Geprueft
2010-06-03;12,9;13,4;12,4;Geprueft
2010-06-04;12,3;12,9;11,8;Geprueft
2010-06-05;13,2;14,0;12,6;Geprueft
2010-06-06;14,2;15,3;13,5;Geprueft
2010-06-07;16,1;16,6;15,4;Geprueft
2010-06-08;16,6;17,0;16,3;Geprueft
2010-06-09;17,6;18,4;16,9;Geprueft
2010-06-10;18,6;19,3;18,0;Geprueft
2010-06-11;19,7;20,4;19,0;Geprueft
2010-06-12;20,4;21,0;19,9;Geprueft
2010-06-13;20,4;20,7;20,1;Geprueft
2010-06-14;19,6;20,0;18,9;Geprueft
2010-06-15;18,2;18,8;17,7;Geprueft
2010-06-16;17,2;17,6;16,8;Geprueft
2010-06-17;16,8;17,0;16,6;Geprueft
2010-06-18;16,2;16,6;15,9;Geprueft
2010-06-19;15,4;15,8;15,2;Geprueft
2010-06-20;15,1;15,2;14,9;Geprueft
2010-06-21;14,6;14,8;14,4;Geprueft
2010-06-22;14,5;14,8;14,3;Geprueft
2010-06-23;15,1;15,9;14,5;Geprueft
2010-06-24;15,9;16,5;15,5;Geprueft
2010-06-25;16,9;17,7;16,3;Geprueft
2010-06-26;18,2;19,1;17,4;Geprueft
2010-06-27;19,1;19,7;18,7;Geprueft
2010-06-28;20,0;20,7;19,5;Geprueft
2010-06-29;20,7;21,5;20,2;Geprueft
2010-06-30;21,6;22,1;21,0;Geprueft
2010-07-01;22,0;22,6;21,6;Geprueft
2010-07-02;22,5;23,2;21,9;Geprueft
2010-07-03;23,2;23,7;22,7;Geprueft
2010-07-04;24,0;24,2;23,8;Geprueft
2010-07-05;23,7;24,0;23,4;Geprueft
2010-07-06;23,5;23,6;23,2;Geprueft
2010-07-07;23,0;23,2;22,7;Geprueft
2010-07-08;23,1;23,5;22,8;Geprueft
2010-07-09;23,2;23,5;22,8;Geprueft
2010-07-10;23,5;23,9;23,2;Geprueft
2010-07-11;24,1;24,6;23,7;Geprueft
2010-07-12;24,5;24,9;24,2;Geprueft
2010-07-13;24,7;25,1;24,3;Geprueft
2010-07-14;24,6;24,9;24,3;Geprueft
2010-07-15;24,1;24,4;23,7;Geprueft
2010-07-16;24,1;24,4;23,7;Geprueft
2010-07-17;24,3;24,6;24,0;Geprueft
2010-07-18;23,6;24,1;23,2;Geprueft
2010-07-19;22,2;23,0;21,5;Geprueft
2010-07-20;21,3;22,1;20,8;Geprueft
2010-07-21;22,9;23,4;22,3;Geprueft
2010-07-22;24,0;24,4;23,5;Geprueft
2010-07-23;23,8;24,1;23,3;Geprueft
2010-07-24;21,8;23,2;20,7;Geprueft
2010-07-25;18,6;20,5;17,5;Geprueft
2010-07-26;17,4;17,7;17,0;Geprueft
2010-07-27;17,9;18,1;17,8;Geprueft
2010-07-28;18,3;18,5;18,0;Geprueft
2010-07-29;18,2;18,3;18,0;Geprueft
2010-07-30;18,2;18,5;18,0;Geprueft
2010-07-31;18,4;18,9;17,9;Geprueft
2010-08-01;19,2;19,8;18,7;Geprueft
2010-08-02;20,0;20,6;19,5;Geprueft
2010-08-03;20,3;20,6;20,1;Geprueft
2010-08-04;20,0;20,5;19,6;Geprueft
2010-08-05;19,8;20,1;19,4;Geprueft
2010-08-06;18,9;19,3;18,4;Geprueft
2010-08-07;16,8;18,3;15,6;Geprueft
2010-08-08;15,8;16,4;15,5;Geprueft
2010-08-09;16,8;17,1;16,4;Geprueft
2010-08-10;17,7;18,3;17,1;Geprueft
2010-08-11;18,6;18,8;18,4;Geprueft
2010-08-12;19,0;19,2;18,7;Geprueft
2010-08-13;18,8;19,1;18,6;Geprueft
2010-08-14;19,0;19,4;18,7;Geprueft
2010-08-15;19,0;19,3;18,8;Geprueft
2010-08-16;19,0;19,4;18,7;Geprueft
2010-08-17;18,4;19,0;17,7;Geprueft
2010-08-18;17,6;17,9;17,4;Geprueft
2010-08-19;17,7;18,2;17,2;Geprueft
2010-08-20;18,2;19,1;17,6;Geprueft
2010-08-21;19,4;20,5;18,7;Geprueft
2010-08-22;20,3;21,0;19,9;Geprueft
2010-08-23;20,9;21,3;20,5;Geprueft
2010-08-24;21,4;21,8;21,0;Geprueft
2010-08-25;21,1;21,6;20,7;Geprueft
2010-08-26;21,2;21,7;20,8;Geprueft
2010-08-27;21,1;21,6;20,8;Geprueft
2010-08-28;21,1;21,5;20,9;Geprueft
2010-08-29;20,3;21,1;19,5;Geprueft
2010-08-30;18,2;19,4;17,1;Geprueft
2010-08-31;16,6;17,0;16,3;Geprueft
2010-09-01;15,4;16,2;14,7;Geprueft
2010-09-02;15,0;15,4;14,6;Geprueft
2010-09-03;15,6;16,0;15,3;Geprueft
2010-09-04;16,1;16,3;15,9;Geprueft
2010-09-05;16,1;16,3;15,9;Geprueft
2010-09-06;15,9;16,1;15,7;Geprueft
2010-09-07;15,7;15,9;15,4;Geprueft
2010-09-08;15,9;16,3;15,5;Geprueft
2010-09-09;16,1;16,4;15,9;Geprueft
2010-09-10;15,9;16,2;15,5;Geprueft
2010-09-11;15,5;15,9;15,1;Geprueft
2010-09-12;15,7;16,0;15,4;Geprueft
2010-09-13;15,5;15,8;15,3;Geprueft
2010-09-14;15,1;15,4;15,0;Geprueft
2010-09-15;15,2;15,3;15,1;Geprueft
2010-09-16;15,2;15,4;15,0;Geprueft
2010-09-17;15,2;15,4;15,0;Geprueft
2010-09-18;15,2;15,3;15,0;Geprueft
2010-09-19;15,0;15,1;14,8;Geprueft
2010-09-20;14,7;14,9;14,5;Geprueft
2010-09-21;14,6;14,8;14,4;Geprueft
2010-09-22;14,9;15,3;14,6;Geprueft
2010-09-23;15,4;15,7;15,1;Geprueft
