Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"02.08.2026 18:37"
Zeitbezug:;MEZ
Messstellen-Name:;Landshut-Birket
Messstellen-Nr.:;16007004
Gewässer:;Isar
Ostwert:;731317;Nordwert:;5379675;"ETRS89 / UTM Zone 32N"

"Tageswerte Wassertemperatur [°C]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2022-01-01;7,8;8,2;7,5;Geprueft
2022-01-02;7,0;7,5;6,7;Geprueft
2022-01-03;6,9;7,2;6,7;Geprueft
2022-01-04;7,6;8,7;7,1;Geprueft
2022-01-05;7,6;8,7;6,4;Geprueft
2022-01-06;6,2;6,5;5,9;Geprueft
2022-01-07;5,6;6,3;5,0;Geprueft
2022-01-08;5,0;5,8;4,3;Geprueft
2022-01-09;4,5;4,8;4,2;Geprueft
2022-01-10;5,2;6,2;4,6;Geprueft
2022-01-11;5,0;5,5;4,6;Geprueft
2022-01-12;4,7;5,4;4,2;Geprueft
2022-01-13;5,3;5,5;5,1;Geprueft
2022-01-14;5,0;5,3;4,6;Geprueft
2022-01-15;5,0;5,2;4,9;Geprueft
2022-01-16;5,2;5,5;4,7;Geprueft
2022-01-17;4,8;5,0;4,7;Geprueft
2022-01-18;5,8;6,4;4,9;Geprueft
2022-01-19;5,7;6,0;5,4;Geprueft
2022-01-20;5,1;5,7;4,5;Geprueft
2022-01-21;4,5;5,0;4,2;Geprueft
2022-01-22;4,4;4,6;4,2;Geprueft
2022-01-23;5,3;5,6;4,6;Geprueft
2022-01-24;5,5;5,9;5,3;Geprueft
2022-01-25;5,4;5,5;5,1;Geprueft
2022-01-26;5,4;5,6;5,2;Geprueft
2022-01-27;5,4;5,7;4,9;Geprueft
2022-01-28;5,2;5,5;4,8;Geprueft
2022-01-29;5,3;5,7;4,9;Geprueft
2022-01-30;5,3;5,6;5,1;Geprueft
2022-01-31;5,1;5,4;4,9;Geprueft
2022-02-01;4,7;5,1;4,4;Geprueft
2022-02-02;4,7;5,1;4,4;Geprueft
2022-02-03;4,9;5,5;4,4;Geprueft
2022-02-04;5,3;5,6;4,9;Geprueft
2022-02-05;5,4;5,9;5,1;Geprueft
2022-02-06;5,0;5,3;4,7;Geprueft
2022-02-07;4,7;5,1;4,3;Geprueft
2022-02-08;5,0;5,6;4,3;Geprueft
2022-02-09;5,9;6,5;5,4;Geprueft
2022-02-10;6,1;6,7;5,5;Geprueft
2022-02-11;6,5;6,7;6,1;Geprueft
2022-02-12;6,1;6,8;5,7;Geprueft
2022-02-13;5,2;5,7;4,7;Geprueft
2022-02-14;4,7;5,4;4,0;Geprueft
2022-02-15;5,8;6,4;5,0;Geprueft
2022-02-16;6,4;6,9;6,2;Geprueft
2022-02-17;7,0;7,5;6,5;Geprueft
2022-02-18;7,2;7,9;6,7;Geprueft
2022-02-19;7,1;7,9;6,5;Geprueft
2022-02-20;6,5;6,9;6,0;Geprueft
2022-02-21;6,4;6,5;6,2;Geprueft
2022-02-22;6,2;6,7;5,7;Geprueft
2022-02-23;6,9;7,6;6,4;Geprueft
2022-02-24;7,0;7,8;6,2;Geprueft
2022-02-25;6,8;7,4;6,2;Geprueft
2022-02-26;6,5;7,1;6,0;Geprueft
2022-02-27;6,1;6,9;5,5;Geprueft
2022-02-28;5,9;7,0;4,8;Geprueft
2022-03-01;5,8;6,6;5,1;Geprueft
2022-03-02;5,6;6,1;5,0;Geprueft
2022-03-03;5,4;6,4;4,4;Geprueft
2022-03-04;5,4;6,3;4,6;Geprueft
2022-03-05;5,4;5,9;4,9;Geprueft
2022-03-06;5,4;6,2;4,5;Geprueft
2022-03-07;5,7;6,3;5,1;Geprueft
2022-03-08;5,3;6,3;4,3;Geprueft
2022-03-09;5,7;6,8;4,4;Geprueft
2022-03-10;6,1;7,3;5,0;Geprueft
2022-03-11;6,0;7,0;5,0;Geprueft
2022-03-12;5,8;6,8;4,9;Geprueft
2022-03-13;6,3;7,4;5,2;Geprueft
2022-03-14;6,9;8,0;5,9;Geprueft
2022-03-15;7,3;7,8;6,7;Geprueft
2022-03-16;8,2;9,0;7,5;Geprueft
2022-03-17;8,1;8,4;7,5;Geprueft
2022-03-18;8,3;9,0;7,6;Geprueft
2022-03-19;8,2;8,8;7,5;Geprueft
2022-03-20;8,0;8,9;6,9;Geprueft
2022-03-21;8,2;9,1;7,0;Geprueft
2022-03-22;8,4;9,4;7,3;Geprueft
2022-03-23;8,7;9,8;7,6;Geprueft
2022-03-24;9,1;10,2;8,1;Geprueft
2022-03-25;9,5;10,4;8,5;Geprueft
2022-03-26;9,8;10,8;8,8;Geprueft
2022-03-27;10,0;11,0;8,9;Geprueft
2022-03-28;10,4;11,4;9,3;Geprueft
2022-03-29;10,7;11,5;10,0;Geprueft
2022-03-30;10,9;11,1;10,6;Geprueft
2022-03-31;10,6;10,8;10,1;Geprueft
2022-04-01;9,4;10,1;8,7;Geprueft
2022-04-02;8,3;8,7;7,4;Geprueft
2022-04-03;7,2;7,5;6,7;Geprueft
2022-04-04;7,3;8,8;6,0;Geprueft
2022-04-05;7,4;8,2;6,7;Geprueft
2022-04-06;9,4;10,8;7,9;Geprueft
2022-04-07;9,7;10,2;9,2;Geprueft
2022-04-08;9,5;9,8;9,1;Geprueft
2022-04-09;9,6;10,5;8,9;Geprueft
2022-04-10;8,9;9,7;8,1;Geprueft
2022-04-11;9,7;12,1;7,8;Geprueft
2022-04-12;10,2;11,8;8,8;Geprueft
2022-04-13;10,8;12,3;9,4;Geprueft
2022-04-14;12,1;14,0;10,3;Geprueft
2022-04-15;13,0;14,3;12,1;Geprueft
2022-04-16;12,1;12,8;11,3;Geprueft
2022-04-17;11,3;12,3;10,3;Geprueft
2022-04-18;11,3;12,7;10,0;Geprueft
2022-04-19;11,4;12,4;10,3;Geprueft
2022-04-20;11,8;13,2;10,4;Geprueft
2022-04-21;12,1;13,1;11,0;Geprueft
2022-04-22;12,4;13,5;11,7;Geprueft
2022-04-23;12,0;12,4;11,6;Geprueft
2022-04-24;11,8;12,4;11,2;Geprueft
2022-04-25;12,2;13,4;11,3;Geprueft
2022-04-26;12,7;13,1;12,1;Geprueft
2022-04-27;12,0;12,8;11,4;Geprueft
2022-04-28;12,5;13,8;11,2;Geprueft
2022-04-29;13,3;14,6;12,0;Geprueft
2022-04-30;13,5;14,1;12,9;Geprueft
2022-05-01;13,1;13,4;12,7;Geprueft
2022-05-02;13,4;14,6;12,4;Geprueft
2022-05-03;14,3;15,6;13,2;Geprueft
2022-05-04;15,2;16,5;14,0;Geprueft
2022-05-05;15,9;16,8;15,1;Geprueft
2022-05-06;15,2;15,7;14,8;Geprueft
2022-05-07;14,8;15,4;14,4;Geprueft
2022-05-08;14,3;14,9;13,8;Geprueft
2022-05-09;15,2;17,1;13,5;Geprueft
2022-05-10;16,1;18,3;13,9;Geprueft
2022-05-11;17,4;19,4;15,4;Geprueft
2022-05-12;17,7;19,5;16,1;Geprueft
2022-05-13;18,4;19,6;17,4;Geprueft
2022-05-14;18,2;20,4;16,2;Geprueft
2022-05-15;18,1;20,5;16,0;Geprueft
2022-05-16;18,3;20,1;16,5;Geprueft
2022-05-17;19,2;20,9;17,4;Geprueft
2022-05-18;19,2;20,6;17,9;Geprueft
2022-05-19;19,5;21,0;17,7;Geprueft
2022-05-20;20,5;21,9;19,0;Geprueft
2022-05-21;20,9;21,8;20,1;Geprueft
2022-05-22;20,1;21,3;18,8;Geprueft
2022-05-23;19,9;20,9;18,7;Geprueft
2022-05-24;19,1;20,1;17,9;Geprueft
2022-05-25;18,2;18,9;17,6;Geprueft
2022-05-26;17,2;18,3;16,1;Geprueft
2022-05-27;17,2;18,5;16,2;Geprueft
2022-05-28;17,2;17,9;16,5;Geprueft
2022-05-29;16,0;16,7;15,2;Geprueft
2022-05-30;16,0;17,7;14,4;Geprueft
2022-05-31;16,6;17,9;15,2;Geprueft
2022-06-01;17,1;18,1;16,0;Geprueft
2022-06-02;17,5;18,9;16,1;Geprueft
2022-06-03;18,0;19,7;16,3;Geprueft
2022-06-04;19,1;20,8;17,8;Geprueft
2022-06-05;18,9;20,3;17,8;Geprueft
2022-06-06;19,0;20,5;17,7;Geprueft
2022-06-07;18,4;18,7;17,8;Geprueft
2022-06-08;19,1;20,8;17,3;Geprueft
2022-06-09;18,6;18,9;18,3;Geprueft
2022-06-10;18,6;20,0;17,5;Geprueft
2022-06-11;18,7;20,5;17,2;Geprueft
2022-06-12;19,2;21,3;17,3;Geprueft
2022-06-13;20,0;21,6;18,5;Geprueft
2022-06-14;19,9;21,5;18,2;Geprueft
2022-06-15;20,3;21,8;18,9;Geprueft
2022-06-16;20,1;20,8;19,3;Geprueft
2022-06-17;20,1;21,4;18,8;Geprueft
2022-06-18;20,6;22,0;18,9;Geprueft
2022-06-19;21,3;22,8;19,8;Geprueft
2022-06-20;21,3;22,3;20,3;Geprueft
2022-06-21;20,7;21,9;19,7;Geprueft
2022-06-22;20,3;20,6;19,9;Geprueft
2022-06-23;20,6;22,0;19,5;Geprueft
2022-06-24;20,6;21,1;19,9;Geprueft
2022-06-25;20,5;21,8;19,4;Geprueft
2022-06-26;21,0;22,3;19,7;Geprueft
2022-06-27;21,7;23,3;20,3;Geprueft
2022-06-28;21,7;22,4;21,0;Geprueft
2022-06-29;20,5;21,2;20,0;Geprueft
2022-06-30;20,8;22,2;19,4;Geprueft
2022-07-01;20,2;21,3;18,8;Geprueft
2022-07-02;19,2;20,5;17,8;Geprueft
2022-07-03;19,9;21,6;18,3;Geprueft
2022-07-04;20,6;21,8;19,5;Geprueft
2022-07-05;21,2;22,3;20,2;Geprueft
2022-07-06;21,1;22,1;20,0;Geprueft
2022-07-07;19,9;20,9;19,2;Geprueft
2022-07-08;18,9;19,3;18,4;Geprueft
2022-07-09;18,6;19,3;17,7;Geprueft
2022-07-10;18,6;19,4;17,8;Geprueft
2022-07-11;18,1;18,6;17,6;Geprueft
2022-07-12;18,6;20,0;17,3;Geprueft
2022-07-13;19,9;21,5;18,3;Geprueft
2022-07-14;21,3;22,6;20,0;Geprueft
2022-07-15;21,6;22,9;20,4;Geprueft
2022-07-16;21,4;22,8;20,1;Geprueft
2022-07-17;21,1;22,6;19,8;Geprueft
2022-07-18;21,1;22,6;19,7;Geprueft
2022-07-19;21,7;23,2;20,2;Geprueft
2022-07-20;22,4;24,3;20,7;Geprueft
2022-07-21;22,3;23,0;21,7;Geprueft
2022-07-22;22,5;24,0;21,1;Geprueft
2022-07-23;22,6;23,4;22,0;Geprueft
2022-07-24;22,6;24,2;21,3;Geprueft
2022-07-25;23,0;24,4;21,7;Geprueft
2022-07-26;22,5;23,2;21,9;Geprueft
2022-07-27;22,1;22,8;21,4;Geprueft
2022-07-28;22,0;23,2;20,8;Geprueft
2022-07-29;22,4;23,4;21,5;Geprueft
2022-07-30;22,0;22,7;21,3;Geprueft
2022-07-31;21,3;22,2;20,2;Geprueft
2022-08-01;21,5;22,5;20,4;Geprueft
2022-08-02;22,2;23,9;20,9;Geprueft
2022-08-03;22,5;23,9;21,3;Geprueft
2022-08-04;22,9;24,5;21,5;Geprueft
2022-08-05;23,3;24,5;22,0;Geprueft
2022-08-06;22,3;23,3;21,4;Geprueft
2022-08-07;21,4;22,4;20,4;Geprueft
2022-08-08;21,1;22,4;19,9;Geprueft
2022-08-09;21,1;22,3;20,0;Geprueft
2022-08-10;20,8;21,9;19,8;Geprueft
2022-08-11;20,7;21,8;19,8;Geprueft
2022-08-12;20,6;21,7;19,6;Geprueft
2022-08-13;20,5;21,6;19,4;Geprueft
2022-08-14;20,9;22,5;19,5;Geprueft
2022-08-15;21,0;22,0;20,3;Geprueft
2022-08-16;21,5;23,0;20,2;Geprueft
2022-08-17;21,6;22,8;20,4;Geprueft
2022-08-18;21,8;22,6;21,0;Geprueft
2022-08-19;21,3;21,8;20,9;Geprueft
2022-08-20;20,4;21,0;20,0;Geprueft
2022-08-21;19,9;21,0;19,0;Geprueft
2022-08-22;19,9;21,1;18,8;Geprueft
2022-08-23;20,4;22,0;19,1;Geprueft
2022-08-24;20,3;21,5;19,1;Geprueft
2022-08-25;20,6;22,2;19,3;Geprueft
2022-08-26;20,9;21,7;19,9;Geprueft
2022-08-27;20,7;21,5;19,9;Geprueft
2022-08-28;20,3;20,7;19,9;Geprueft
2022-08-29;20,1;21,2;19,4;Geprueft
2022-08-30;20,1;21,2;19,0;Geprueft
2022-08-31;19,3;20,0;18,8;Geprueft
2022-09-01;19,0;19,6;18,5;Geprueft
2022-09-02;18,8;19,9;17,8;Geprueft
2022-09-03;18,8;19,7;18,0;Geprueft
2022-09-04;18,7;20,3;17,2;Geprueft
2022-09-05;19,2;21,0;17,6;Geprueft
2022-09-06;20,0;21,3;18,7;Geprueft
2022-09-07;20,5;21,9;19,3;Geprueft
2022-09-08;20,1;20,5;19,4;Geprueft
2022-09-09;18,9;19,5;18,4;Geprueft
2022-09-10;18,2;18,7;17,7;Geprueft
2022-09-11;17,9;18,5;17,4;Geprueft
2022-09-12;18,0;19,2;16,9;Geprueft
2022-09-13;18,1;19,1;16,9;Geprueft
2022-09-14;18,7;19,7;17,9;Geprueft
2022-09-15;18,8;19,8;17,9;Geprueft
2022-09-16;17,5;17,9;16,6;Geprueft
2022-09-17;15,7;16,5;15,0;Geprueft
2022-09-18;14,4;15,0;14,0;Geprueft
2022-09-19;13,7;14,1;13,2;Geprueft
2022-09-20;13,9;14,7;13,4;Geprueft
2022-09-21;14,0;15,3;12,9;Geprueft
2022-09-22;14,1;15,1;13,3;Geprueft
2022-09-23;14,3;15,4;13,3;Geprueft
