Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"02.08.2026 16:27"
Zeitbezug:;MEZ
Messstellen-Name:;Landshut-Birket
Messstellen-Nr.:;16007004
Gewässer:;Isar
Ostwert:;731317;Nordwert:;5379675;"ETRS89 / UTM Zone 32N"

"Tageswerte Wassertemperatur [°C]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2010-01-01;5,2;5,4;4,9;Geprueft
2010-01-02;4,9;5,4;4,2;Geprueft
2010-01-03;3,7;4,2;3,5;Geprueft
2010-01-04;3,4;3,6;3,3;Geprueft
2010-01-05;3,3;3,7;2,8;Geprueft
2010-01-06;3,1;3,4;2,8;Geprueft
2010-01-07;3,4;3,6;3,2;Geprueft
2010-01-08;3,6;3,8;3,4;Geprueft
2010-01-09;3,4;3,8;2,8;Geprueft
2010-01-10;2,8;2,8;2,7;Geprueft
2010-01-11;2,9;3,2;2,6;Geprueft
2010-01-12;3,4;3,5;3,1;Geprueft
2010-01-13;2,9;3,0;2,8;Geprueft
2010-01-14;3,3;3,5;3,0;Geprueft
2010-01-15;3,6;3,7;3,3;Geprueft
2010-01-16;3,3;3,7;3,0;Geprueft
2010-01-17;3,3;3,7;2,8;Geprueft
2010-01-18;3,8;4,6;3,4;Geprueft
2010-01-19;4,9;5,3;4,4;Geprueft
2010-01-20;5,1;5,3;4,9;Geprueft
2010-01-21;4,9;5,3;4,6;Geprueft
2010-01-22;4,9;5,0;4,8;Geprueft
2010-01-23;4,5;4,9;3,9;Geprueft
2010-01-24;3,7;4,2;3,1;Geprueft
2010-01-25;3,4;3,9;2,9;Geprueft
2010-01-26;3,7;4,0;3,1;Geprueft
2010-01-27;2,5;3,1;2,1;Geprueft
2010-01-28;2,2;2,5;1,9;Geprueft
2010-01-29;2,9;3,4;2,5;Geprueft
2010-01-30;3,2;3,5;2,8;Geprueft
2010-01-31;2,8;3,2;2,5;Geprueft
2010-02-01;2,8;3,2;2,5;Geprueft
2010-02-02;3,0;3,5;2,6;Geprueft
2010-02-03;3,4;3,9;3,0;Geprueft
2010-02-04;4,5;5,0;3,8;Geprueft
2010-02-05;4,7;4,8;4,5;Geprueft
2010-02-06;4,6;4,9;4,1;Geprueft
2010-02-07;4,8;5,0;4,2;Geprueft
2010-02-08;3,9;4,1;3,7;Geprueft
2010-02-09;3,6;4,0;3,0;Geprueft
2010-02-10;3,4;3,7;3,0;Geprueft
2010-02-11;2,8;3,2;2,3;Geprueft
2010-02-12;2,7;2,9;2,6;Geprueft
2010-02-13;3,0;3,5;2,7;Geprueft
2010-02-14;3,5;4,1;3,0;Geprueft
2010-02-15;3,5;3,8;3,1;Geprueft
2010-02-16;3,6;4,4;3,2;Geprueft
2010-02-17;3,7;4,6;3,1;Geprueft
2010-02-18;4,2;4,9;3,7;Geprueft
2010-02-19;4,6;4,8;4,3;Geprueft
2010-02-20;5,0;5,6;4,3;Geprueft
2010-02-21;4,4;5,2;3,8;Geprueft
2010-02-22;4,3;5,1;3,7;Geprueft
2010-02-23;5,1;5,9;4,6;Geprueft
2010-02-24;6,3;7,2;5,4;Geprueft
2010-02-25;6,7;7,1;6,3;Geprueft
2010-02-26;6,5;7,0;5,8;Geprueft
2010-02-27;5,1;6,0;4,3;Geprueft
2010-02-28;4,9;5,3;4,5;Geprueft
2010-03-01;5,5;6,7;4,4;Geprueft
2010-03-02;6,1;6,5;5,6;Geprueft
2010-03-03;5,8;6,3;5,3;Geprueft
2010-03-04;6,1;6,8;5,5;Geprueft
2010-03-05;5,5;6,1;4,9;Geprueft
2010-03-06;4,2;4,9;3,5;Geprueft
2010-03-07;3,3;4,2;2,6;Geprueft
2010-03-08;2,9;3,8;1,9;Geprueft
2010-03-09;3,5;4,2;2,9;Geprueft
2010-03-10;3,2;3,9;2,6;Geprueft
2010-03-11;3,8;4,2;3,4;Geprueft
2010-03-12;4,4;5,3;3,6;Geprueft
2010-03-13;5,1;5,7;4,7;Geprueft
2010-03-14;4,7;5,3;4,4;Geprueft
2010-03-15;5,0;5,7;4,4;Geprueft
2010-03-16;6,0;6,4;5,6;Geprueft
2010-03-17;6,7;7,6;6,0;Geprueft
2010-03-18;7,4;8,2;6,6;Geprueft
2010-03-19;8,0;8,9;7,4;Geprueft
2010-03-20;8,5;9,3;7,9;Geprueft
2010-03-21;9,1;9,7;8,5;Geprueft
2010-03-22;9,5;10,9;8,6;Geprueft
2010-03-23;10,2;11,2;9,3;Geprueft
2010-03-24;10,3;11,4;9,5;Geprueft
2010-03-25;10,2;10,7;9,9;Geprueft
2010-03-26;10,1;11,3;9,0;Geprueft
2010-03-27;10,1;10,9;9,4;Geprueft
2010-03-28;9,5;9,9;9,1;Geprueft
2010-03-29;9,6;10,4;8,9;Geprueft
2010-03-30;10,4;11,2;9,4;Geprueft
2010-03-31;10,0;10,8;9,3;Geprueft
2010-04-01;8,5;9,2;7,9;Geprueft
2010-04-02;7,9;8,9;7,0;Geprueft
2010-04-03;8,1;9,5;7,0;Geprueft
2010-04-04;8,5;9,1;7,9;Geprueft
2010-04-05;8,5;9,3;7,9;Geprueft
2010-04-06;8,9;10,5;7,6;Geprueft
2010-04-07;10,0;11,5;8,8;Geprueft
2010-04-08;11,0;12,6;9,6;Geprueft
2010-04-09;11,2;12,2;10,2;Geprueft
2010-04-10;10,9;11,6;9,9;Geprueft
2010-04-11;9,4;10,1;8,8;Geprueft
2010-04-12;9,1;9,6;8,5;Geprueft
2010-04-13;9,8;10,6;9,0;Geprueft
2010-04-14;10,1;10,3;9,8;Geprueft
2010-04-15;10,0;10,7;9,4;Geprueft
2010-04-16;10,6;11,6;9,7;Geprueft
2010-04-17;11,3;12,8;10,1;Geprueft
2010-04-18;11,2;12,0;10,6;Geprueft
2010-04-19;11,9;13,4;10,3;Geprueft
2010-04-20;12,5;13,7;11,4;Geprueft
2010-04-21;12,7;13,9;11,8;Geprueft
2010-04-22;12,5;14,0;11,5;Geprueft
2010-04-23;12,3;13,8;11,0;Geprueft
2010-04-24;12,9;14,7;11,4;Geprueft
2010-04-25;13,4;15,2;11,9;Geprueft
2010-04-26;13,1;14,0;12,2;Geprueft
2010-04-27;13,6;14,8;12,5;Geprueft
2010-04-28;14,1;15,9;12,6;Geprueft
2010-04-29;14,8;16,6;13,2;Geprueft
2010-04-30;14,7;16,2;13,5;Geprueft
2010-05-01;14,9;15,6;14,4;Geprueft
2010-05-02;14,3;14,6;13,7;Geprueft
2010-05-03;13,8;14,4;13,1;Geprueft
2010-05-04;13,5;14,1;13,0;Geprueft
2010-05-05;12,6;12,9;12,4;Geprueft
2010-05-06;12,1;12,4;12,0;Geprueft
2010-05-07;11,5;12,0;11,1;Geprueft
2010-05-08;11,7;12,5;11,2;Geprueft
2010-05-09;12,3;13,9;11,0;Geprueft
2010-05-10;13,2;14,3;12,3;Geprueft
2010-05-11;14,5;16,1;13,4;Geprueft
2010-05-12;14,7;15,1;14,4;Geprueft
2010-05-13;13,6;14,3;12,5;Geprueft
2010-05-14;12,1;12,5;11,7;Geprueft
2010-05-15;11,7;12,4;10,7;Geprueft
2010-05-16;10,3;10,6;10,0;Geprueft
2010-05-17;11,2;12,6;10,0;Geprueft
2010-05-18;11,7;12,0;11,4;Geprueft
2010-05-19;11,1;11,5;10,8;Geprueft
2010-05-20;11,0;11,1;10,9;Geprueft
2010-05-21;11,5;12,4;11,0;Geprueft
2010-05-22;12,4;13,2;11,8;Geprueft
2010-05-23;13,1;14,5;11,8;Geprueft
2010-05-24;14,4;16,3;12,9;Geprueft
2010-05-25;16,1;17,8;14,4;Geprueft
2010-05-26;17,0;17,5;16,4;Geprueft
2010-05-27;16,9;17,3;16,6;Geprueft
2010-05-28;17,0;17,9;16,2;Geprueft
2010-05-29;16,6;17,6;15,3;Geprueft
2010-05-30;16,1;16,7;15,5;Geprueft
2010-05-31;14,8;15,6;14,2;Geprueft
2010-06-01;13,1;14,6;12,2;Geprueft
2010-06-02;11,5;12,1;11,0;Geprueft
2010-06-03;10,8;11,5;10,3;Geprueft
2010-06-04;10,8;11,5;10,0;Geprueft
2010-06-05;11,8;12,4;11,5;Geprueft
2010-06-06;13,7;15,0;12,5;Geprueft
2010-06-07;14,8;15,5;14,2;Geprueft
2010-06-08;15,6;16,8;14,3;Geprueft
2010-06-09;16,9;18,2;15,5;Geprueft
2010-06-10;18,0;19,2;17,0;Geprueft
2010-06-11;18,5;19,3;17,5;Geprueft
2010-06-12;19,2;20,5;18,2;Geprueft
2010-06-13;17,9;19,4;16,6;Geprueft
2010-06-14;16,5;17,2;16,0;Geprueft
2010-06-15;15,9;16,6;15,4;Geprueft
2010-06-16;15,4;15,8;14,8;Geprueft
2010-06-17;14,9;15,6;14,3;Geprueft
2010-06-18;14,0;15,1;13,5;Geprueft
2010-06-19;13,8;14,1;13,5;Geprueft
2010-06-20;13,5;13,7;13,0;Geprueft
2010-06-21;13,0;13,3;12,6;Geprueft
2010-06-22;13,7;14,8;12,7;Geprueft
2010-06-23;14,9;16,1;13,9;Geprueft
2010-06-24;15,8;17,3;14,4;Geprueft
2010-06-25;16,9;18,4;15,7;Geprueft
2010-06-26;17,0;18,1;15,7;Geprueft
2010-06-27;18,0;19,5;16,9;Geprueft
2010-06-28;18,8;21,0;17,1;Geprueft
2010-06-29;19,7;21,1;18,5;Geprueft
2010-06-30;20,2;21,5;19,3;Geprueft
2010-07-01;20,8;22,4;19,6;Geprueft
2010-07-02;21,8;23,4;20,6;Geprueft
2010-07-03;21,3;22,4;19,8;Geprueft
2010-07-04;21,0;22,3;20,1;Geprueft
2010-07-05;21,3;23,7;19,9;Geprueft
2010-07-06;21,9;22,6;21,1;Geprueft
2010-07-07;20,9;22,0;20,0;Geprueft
2010-07-08;20,7;22,3;19,6;Geprueft
2010-07-09;21,1;23,0;19,7;Geprueft
2010-07-10;21,7;22,8;20,7;Geprueft
2010-07-11;21,5;23,4;19,8;Geprueft
2010-07-12;22,5;24,7;20,6;Geprueft
2010-07-13;23,3;24,6;22,2;Geprueft
2010-07-14;23,2;24,8;21,7;Geprueft
2010-07-15;23,2;24,2;22,5;Geprueft
2010-07-16;23,4;25,1;21,9;Geprueft
2010-07-17;23,0;23,6;22,0;Geprueft
2010-07-18;20,7;21,8;18,7;Geprueft
2010-07-19;19,4;21,5;17,9;Geprueft
2010-07-20;21,0;22,7;19,5;Geprueft
2010-07-21;22,0;23,7;20,6;Geprueft
2010-07-22;22,9;24,4;21,7;Geprueft
2010-07-23;21,9;22,5;21,3;Geprueft
2010-07-24;18,6;21,2;16,6;Geprueft
2010-07-25;15,7;16,5;15,3;Geprueft
2010-07-26;16,3;17,2;15,7;Geprueft
2010-07-27;17,2;18,0;16,4;Geprueft
2010-07-28;17,3;17,8;16,7;Geprueft
2010-07-29;17,5;18,2;16,7;Geprueft
2010-07-30;17,4;18,2;16,3;Geprueft
2010-07-31;17,7;18,5;16,9;Geprueft
2010-08-01;18,3;19,9;16,9;Geprueft
2010-08-02;18,9;19,3;18,5;Geprueft
2010-08-03;18,9;19,4;18,4;Geprueft
2010-08-04;18,5;19,3;17,7;Geprueft
2010-08-05;18,0;18,6;17,6;Geprueft
2010-08-06;17,1;18,0;15,3;Geprueft
2010-08-07;14,3;15,2;13,6;Geprueft
2010-08-08;15,0;15,9;13,8;Geprueft
2010-08-09;16,2;17,1;15,5;Geprueft
2010-08-10;17,3;18,3;16,4;Geprueft
2010-08-11;18,0;18,7;17,2;Geprueft
2010-08-12;18,5;19,2;17,9;Geprueft
2010-08-13;18,8;19,0;18,4;Geprueft
2010-08-14;18,3;18,7;17,8;Geprueft
2010-08-15;18,3;19,2;17,7;Geprueft
2010-08-16;17,4;18,2;16,9;Geprueft
2010-08-17;16,7;17,0;16,4;Geprueft
2010-08-18;16,4;16,7;16,1;Geprueft
2010-08-19;17,1;18,5;16,1;Geprueft
2010-08-20;18,2;19,6;16,9;Geprueft
2010-08-21;18,8;19,5;17,9;Geprueft
2010-08-22;19,3;20,6;18,3;Geprueft
2010-08-23;19,9;20,6;19,4;Geprueft
2010-08-24;19,8;20,5;19,2;Geprueft
2010-08-25;19,2;19,9;18,5;Geprueft
2010-08-26;19,7;21,5;18,3;Geprueft
2010-08-27;20,3;20,7;19,5;Geprueft
2010-08-28;19,0;20,2;17,5;Geprueft
2010-08-29;16,9;17,4;16,5;Geprueft
2010-08-30;16,2;16,6;15,8;Geprueft
2010-08-31;15,1;16,1;13,9;Geprueft
2010-09-01;13,6;14,1;12,9;Geprueft
2010-09-02;14,3;15,0;13,6;Geprueft
2010-09-03;15,1;15,8;14,4;Geprueft
2010-09-04;14,9;15,4;14,5;Geprueft
2010-09-05;14,6;15,1;14,0;Geprueft
2010-09-06;14,8;15,9;13,8;Geprueft
2010-09-07;15,1;16,0;13,9;Geprueft
2010-09-08;15,0;15,8;14,5;Geprueft
2010-09-09;15,2;16,3;14,4;Geprueft
2010-09-10;15,8;16,6;15,0;Geprueft
2010-09-11;15,8;16,5;15,2;Geprueft
2010-09-12;15,6;16,7;14,7;Geprueft
2010-09-13;15,7;16,3;15,3;Geprueft
2010-09-14;15,7;16,1;15,3;Geprueft
2010-09-15;15,7;16,1;14,8;Geprueft
2010-09-16;16,0;16,7;15,4;Geprueft
2010-09-17;15,8;16,2;15,1;Geprueft
2010-09-18;15,2;15,8;14,4;Geprueft
2010-09-19;14,7;15,2;14,0;Geprueft
2010-09-20;14,4;16,2;13,1;Geprueft
2010-09-21;15,4;16,6;14,4;Geprueft
2010-09-22;15,8;17,0;15,0;Geprueft
2010-09-23;16,1;17,3;15,4;Geprueft
