Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"02.08.2026 17:51"
Zeitbezug:;MEZ
Messstellen-Name:;Neu-Ulm
Messstellen-Nr.:;10026293
Gewässer:;Donau
Ostwert:;573040;Nordwert:;5360018;"ETRS89 / UTM Zone 32N"

"Tageswerte Wassertemperatur [°C]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2016-01-01;5,4;5,6;5,2;Geprueft
2016-01-02;5,4;5,5;5,3;Geprueft
2016-01-03;5,5;5,7;5,3;Geprueft
2016-01-04;5,0;5,3;4,6;Geprueft
2016-01-05;4,8;5,0;4,5;Geprueft
2016-01-06;4,5;4,8;4,4;Geprueft
2016-01-07;4,8;5,0;4,6;Geprueft
2016-01-08;4,8;5,0;4,6;Geprueft
2016-01-09;5,0;5,2;4,9;Geprueft
2016-01-10;5,0;5,4;4,8;Geprueft
2016-01-11;5,5;5,7;5,3;Geprueft
2016-01-12;5,3;5,5;5,1;Geprueft
2016-01-13;5,0;5,1;4,8;Geprueft
2016-01-14;4,5;4,8;4,4;Geprueft
2016-01-15;4,1;4,4;3,8;Geprueft
2016-01-16;3,8;3,9;3,5;Geprueft
2016-01-17;3,3;3,5;3,0;Geprueft
2016-01-18;2,7;3,0;2,5;Geprueft
2016-01-19;2,6;2,8;2,4;Geprueft
2016-01-20;2,4;2,7;2,1;Geprueft
2016-01-21;2,4;2,8;2,1;Geprueft
2016-01-22;2,5;2,6;2,2;Geprueft
2016-01-23;2,7;3,0;2,2;Geprueft
2016-01-24;2,9;3,1;2,6;Geprueft
2016-01-25;3,3;3,6;3,0;Geprueft
2016-01-26;3,4;3,9;3,1;Geprueft
2016-01-27;3,9;4,6;3,4;Geprueft
2016-01-28;4,3;4,7;4,0;Geprueft
2016-01-29;5,1;5,5;4,7;Geprueft
2016-01-30;5,4;5,8;5,0;Geprueft
2016-01-31;5,7;5,8;5,5;Geprueft
2016-02-01;5,5;5,9;5,1;Geprueft
2016-02-02;6,1;6,5;5,8;Geprueft
2016-02-03;6,3;6,5;5,9;Geprueft
2016-02-04;5,5;5,9;5,2;Geprueft
2016-02-05;5,2;5,5;4,9;Geprueft
2016-02-06;4,8;5,1;4,6;Geprueft
2016-02-07;4,8;5,1;4,5;Geprueft
2016-02-08;5,2;5,5;4,9;Geprueft
2016-02-09;5,7;5,9;5,4;Geprueft
2016-02-10;5,7;5,9;5,5;Geprueft
2016-02-11;5,4;5,8;5,2;Geprueft
2016-02-12;5,4;5,8;5,1;Geprueft
2016-02-13;5,5;5,7;5,4;Geprueft
2016-02-14;5,3;5,4;5,2;Geprueft
2016-02-15;5,3;5,5;5,2;Geprueft
2016-02-16;5,3;5,4;5,1;Geprueft
2016-02-17;5,1;5,1;5,0;Geprueft
2016-02-18;5,3;6,0;4,9;Geprueft
2016-02-19;5,3;5,5;5,1;Geprueft
2016-02-20;4,8;5,2;4,7;Geprueft
2016-02-21;5,2;5,8;4,9;Geprueft
2016-02-22;5,9;6,5;5,3;Geprueft
2016-02-23;6,7;6,9;6,5;Geprueft
2016-02-24;6,3;6,6;6,1;Geprueft
2016-02-25;6,1;6,2;5,8;Geprueft
2016-02-26;5,5;5,9;5,1;Geprueft
2016-02-27;5,0;5,5;4,7;Geprueft
2016-02-28;4,9;5,1;4,7;Geprueft
2016-02-29;4,8;5,0;4,5;Geprueft
2016-03-01;4,7;5,1;4,5;Geprueft
2016-03-02;4,9;5,3;4,7;Geprueft
2016-03-03;5,0;5,3;4,7;Geprueft
2016-03-04;5,0;5,4;4,5;Geprueft
2016-03-05;5,3;5,5;5,2;Geprueft
2016-03-06;5,2;5,7;4,9;Geprueft
2016-03-07;5,3;6,0;4,8;Geprueft
2016-03-08;5,3;6,1;4,8;Geprueft
2016-03-09;5,2;5,7;4,9;Geprueft
2016-03-10;5,4;6,3;4,5;Geprueft
2016-03-11;5,8;6,4;5,2;Geprueft
2016-03-12;6,1;6,5;5,7;Geprueft
2016-03-13;6,2;6,6;5,9;Geprueft
2016-03-14;6,2;6,9;5,7;Geprueft
2016-03-15;5,7;5,9;5,4;Geprueft
2016-03-16;5,7;6,4;5,3;Geprueft
2016-03-17;6,0;6,9;5,2;Geprueft
2016-03-18;6,5;7,6;5,5;Geprueft
2016-03-19;6,9;8,0;6,1;Geprueft
2016-03-20;7,4;8,3;6,8;Geprueft
2016-03-21;7,5;8,3;6,9;Geprueft
2016-03-22;7,8;8,5;7,4;Geprueft
2016-03-23;7,8;8,2;7,5;Geprueft
2016-03-24;7,7;8,1;7,2;Geprueft
2016-03-25;7,6;7,9;7,3;Geprueft
2016-03-26;7,8;8,5;7,2;Geprueft
2016-03-27;7,8;8,5;7,4;Geprueft
2016-03-28;7,9;8,6;7,2;Geprueft
2016-03-29;8,5;9,4;7,8;Geprueft
2016-03-30;9,0;9,7;8,4;Geprueft
2016-03-31;9,6;10,8;8,9;Geprueft
2016-04-01;9,5;9,9;9,4;Geprueft
2016-04-02;9,6;10,1;9,3;Geprueft
2016-04-03;9,9;10,9;9,1;Geprueft
2016-04-04;10,7;11,5;9,9;Geprueft
2016-04-05;11,1;11,7;10,5;Geprueft
2016-04-06;11,2;11,8;10,7;Geprueft
2016-04-07;10,4;10,8;9,7;Geprueft
2016-04-08;9,6;10,0;9,3;Geprueft
2016-04-09;9,1;9,4;8,7;Geprueft
2016-04-10;9,1;10,0;8,5;Geprueft
2016-04-11;9,5;10,9;8,3;Geprueft
2016-04-12;10,2;11,4;9,3;Geprueft
2016-04-13;10,6;11,3;10,0;Geprueft
2016-04-14;10,8;11,7;10,2;Geprueft
2016-04-15;10,9;11,1;10,6;Geprueft
2016-04-16;10,8;11,7;10,3;Geprueft
2016-04-17;10,8;11,2;10,2;Geprueft
2016-04-18;9,7;10,1;9,2;Geprueft
2016-04-19;9,3;9,8;8,8;Geprueft
2016-04-20;9,5;10,5;8,6;Geprueft
2016-04-21;10,0;11,1;9,0;Geprueft
2016-04-22;11,0;11,9;10,3;Geprueft
2016-04-23;11,2;11,8;10,9;Geprueft
2016-04-24;10,7;11,1;10,2;Geprueft
2016-04-25;10,1;10,7;9,5;Geprueft
2016-04-26;8,7;9,5;7,9;Geprueft
2016-04-27;7,9;8,5;7,5;Geprueft
2016-04-28;7,6;8,2;7,1;Geprueft
2016-04-29;8,4;9,6;7,3;Geprueft
2016-04-30;9,5;10,6;8,6;Geprueft
2016-05-01;10,1;10,7;9,7;Geprueft
2016-05-02;10,6;11,7;9,7;Geprueft
2016-05-03;10,8;11,6;10,4;Geprueft
2016-05-04;10,1;10,7;9,6;Geprueft
2016-05-05;10,5;11,7;9,4;Geprueft
2016-05-06;11,6;12,9;10,5;Geprueft
2016-05-07;12,4;13,7;11,3;Geprueft
2016-05-08;13,3;14,6;12,2;Geprueft
2016-05-09;14,0;14,9;13,2;Geprueft
2016-05-10;14,1;14,4;13,8;Geprueft
2016-05-11;14,0;14,9;13,5;Geprueft
2016-05-12;13,3;13,9;12,5;Geprueft
2016-05-13;11,9;12,5;11,4;Geprueft
2016-05-14;10,9;11,4;9,8;Geprueft
2016-05-15;9,7;10,1;9,4;Geprueft
2016-05-16;9,5;9,8;9,1;Geprueft
2016-05-17;9,3;9,9;8,8;Geprueft
2016-05-18;10,3;11,4;9,4;Geprueft
2016-05-19;11,1;11,3;10,9;Geprueft
2016-05-20;11,7;12,7;10,8;Geprueft
2016-05-21;12,6;13,7;11,7;Geprueft
2016-05-22;13,2;14,2;12,2;Geprueft
2016-05-23;13,4;13,5;12,8;Geprueft
2016-05-24;12,5;12,8;11,9;Geprueft
2016-05-25;11,3;11,9;10,8;Geprueft
2016-05-26;11,7;12,9;10,6;Geprueft
2016-05-27;13,2;14,1;12,4;Geprueft
2016-05-28;14,9;15,8;14,0;Geprueft
2016-05-29;15,4;15,9;15,1;Geprueft
2016-05-30;14,6;15,1;13,8;Geprueft
2016-05-31;13,4;14,0;13,0;Geprueft
2016-06-01;13,0;13,3;12,7;Geprueft
2016-06-02;12,8;13,1;12,4;Geprueft
2016-06-03;13,2;13,9;12,6;Geprueft
2016-06-04;13,4;13,9;13,0;Geprueft
2016-06-05;13,4;14,0;12,8;Geprueft
2016-06-06;13,9;14,8;13,1;Geprueft
2016-06-07;14,6;15,6;13,6;Geprueft
2016-06-08;15,0;15,2;14,8;Geprueft
2016-06-09;14,2;14,8;13,2;Geprueft
2016-06-10;13,0;13,5;12,5;Geprueft
2016-06-11;12,9;13,1;12,8;Geprueft
2016-06-12;13,3;14,1;12,6;Geprueft
2016-06-13;13,6;14,0;13,3;Geprueft
2016-06-14;13,4;13,8;13,1;Geprueft
2016-06-15;13,3;13,8;12,9;Geprueft
2016-06-16;12,8;13,0;12,5;Geprueft
2016-06-17;12,4;12,7;12,1;Geprueft
2016-06-18;12,5;13,1;11,9;Geprueft
2016-06-19;12,9;13,1;12,4;Geprueft
2016-06-20;12,6;13,2;12,1;Geprueft
2016-06-21;13,6;14,3;13,0;Geprueft
2016-06-22;14,5;15,6;13,6;Geprueft
2016-06-23;15,9;17,1;14,9;Geprueft
2016-06-24;17,1;18,2;16,2;Geprueft
2016-06-25;17,9;18,9;17,3;Geprueft
2016-06-26;17,4;17,8;16,8;Geprueft
2016-06-27;16,5;16,9;16,0;Geprueft
2016-06-28;15,9;16,5;15,3;Geprueft
2016-06-29;16,1;17,0;15,6;Geprueft
2016-06-30;16,5;17,3;16,0;Geprueft
2016-07-01;17,0;17,9;16,2;Geprueft
2016-07-02;16,9;17,3;16,2;Geprueft
2016-07-03;16,4;16,9;16,0;Geprueft
2016-07-04;16,6;17,5;15,9;Geprueft
2016-07-05;17,2;18,3;16,5;Geprueft
2016-07-06;16,9;17,8;16,3;Geprueft
2016-07-07;17,2;18,7;15,8;Geprueft
2016-07-08;17,9;19,4;16,6;Geprueft
2016-07-09;18,6;19,9;17,6;Geprueft
2016-07-10;19,0;20,6;17,7;Geprueft
2016-07-11;19,6;20,7;18,6;Geprueft
2016-07-12;19,2;19,6;18,6;Geprueft
2016-07-13;18,1;18,6;17,4;Geprueft
2016-07-14;16,2;17,4;14,1;Geprueft
2016-07-15;13,0;14,1;12,3;Geprueft
2016-07-16;12,6;13,5;11,9;Geprueft
2016-07-17;13,9;14,9;13,0;Geprueft
2016-07-18;15,3;16,6;14,3;Geprueft
2016-07-19;16,4;17,9;15,3;Geprueft
2016-07-20;17,8;19,4;16,5;Geprueft
2016-07-21;18,4;19,7;17,6;Geprueft
2016-07-22;18,8;19,8;18,0;Geprueft
2016-07-23;19,0;19,9;18,3;Geprueft
2016-07-24;19,0;19,8;18,3;Geprueft
2016-07-25;19,0;19,6;18,6;Geprueft
2016-07-26;18,3;18,8;17,9;Geprueft
2016-07-27;18,4;18,9;18,0;Geprueft
2016-07-28;17,8;18,2;17,4;Geprueft
2016-07-29;17,7;18,3;17,3;Geprueft
2016-07-30;17,9;19,1;17,0;Geprueft
2016-07-31;18,0;18,4;17,6;Geprueft
2016-08-01;17,7;18,5;17,1;Geprueft
2016-08-02;17,5;17,8;17,3;Geprueft
2016-08-03;17,7;18,5;17,0;Geprueft
2016-08-04;17,8;19,0;16,9;Geprueft
2016-08-05;17,2;17,7;16,6;Geprueft
2016-08-06;15,1;16,6;14,5;Geprueft
2016-08-07;14,7;15,5;13,9;Geprueft
2016-08-08;15,5;16,4;14,6;Geprueft
2016-08-09;16,0;16,1;15,7;Geprueft
2016-08-10;15,6;16,2;15,3;Geprueft
2016-08-11;15,2;15,9;14,8;Geprueft
2016-08-12;14,4;14,9;14,1;Geprueft
2016-08-13;14,5;15,7;13,5;Geprueft
2016-08-14;15,5;16,7;14,7;Geprueft
2016-08-15;16,4;17,7;15,5;Geprueft
2016-08-16;16,8;18,0;15,8;Geprueft
2016-08-17;17,1;18,2;16,3;Geprueft
2016-08-18;17,3;18,1;16,6;Geprueft
2016-08-19;17,6;18,3;16,9;Geprueft
2016-08-20;17,5;17,9;17,1;Geprueft
2016-08-21;17,0;17,6;16,5;Geprueft
2016-08-22;16,7;17,8;15,9;Geprueft
2016-08-23;17,1;18,3;16,1;Geprueft
2016-08-24;17,6;18,9;16,5;Geprueft
2016-08-25;17,9;19,0;16,9;Geprueft
2016-08-26;18,4;19,6;17,4;Geprueft
2016-08-27;18,9;20,0;17,9;Geprueft
2016-08-28;19,3;20,3;18,4;Geprueft
2016-08-29;19,1;19,6;18,7;Geprueft
2016-08-30;19,1;20,0;18,4;Geprueft
2016-08-31;19,0;20,0;18,1;Geprueft
2016-09-01;19,0;19,7;18,5;Geprueft
2016-09-02;18,9;19,8;18,2;Geprueft
2016-09-03;18,5;19,2;17,9;Geprueft
2016-09-04;17,8;18,2;17,5;Geprueft
2016-09-05;17,3;17,6;16,9;Geprueft
2016-09-06;16,6;17,1;15,8;Geprueft
2016-09-07;15,5;16,1;15,1;Geprueft
2016-09-08;15,7;16,8;14,7;Geprueft
2016-09-09;16,4;17,4;15,5;Geprueft
2016-09-10;16,8;17,7;15,9;Geprueft
2016-09-11;17,1;18,0;16,3;Geprueft
2016-09-12;17,5;18,4;16,7;Geprueft
2016-09-13;17,7;18,6;16,9;Geprueft
2016-09-14;17,9;18,7;17,1;Geprueft
2016-09-15;17,8;18,3;17,3;Geprueft
2016-09-16;17,5;18,0;17,1;Geprueft
2016-09-17;17,1;17,5;16,6;Geprueft
2016-09-18;16,1;16,6;15,8;Geprueft
2016-09-19;15,3;15,7;14,6;Geprueft
2016-09-20;14,1;14,6;13,6;Geprueft
2016-09-21;13,6;14,2;13,2;Geprueft
2016-09-22;13,2;14,0;12,6;Geprueft
