Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"02.08.2026 16:36"
Zeitbezug:;MEZ
Messstellen-Name:;Neu-Ulm
Messstellen-Nr.:;10026293
Gewässer:;Donau
Ostwert:;573040;Nordwert:;5360018;"ETRS89 / UTM Zone 32N"

"Tageswerte Wassertemperatur [°C]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2020-01-01;4,0;4,2;3,8;Geprueft
2020-01-02;3,7;3,8;3,6;Geprueft
2020-01-03;3,6;3,8;3,5;Geprueft
2020-01-04;4,0;4,1;3,8;Geprueft
2020-01-05;4,0;4,2;3,8;Geprueft
2020-01-06;3,8;4,0;3,7;Geprueft
2020-01-07;3,9;4,3;3,5;Geprueft
2020-01-08;4,3;4,7;4,0;Geprueft
2020-01-09;4,8;5,0;4,6;Geprueft
2020-01-10;5,0;5,3;4,7;Geprueft
2020-01-11;5,1;5,2;4,7;Geprueft
2020-01-12;4,6;4,8;4,5;Geprueft
2020-01-13;4,6;5,0;4,4;Geprueft
2020-01-14;4,6;4,9;4,2;Geprueft
2020-01-15;4,7;5,0;4,5;Geprueft
2020-01-16;5,0;5,3;4,8;Geprueft
2020-01-17;5,0;5,3;4,7;Geprueft
2020-01-18;5,4;5,5;5,1;Geprueft
2020-01-19;4,8;5,1;4,6;Geprueft
2020-01-20;4,6;4,9;4,3;Geprueft
2020-01-21;4,3;4,4;4,2;Geprueft
2020-01-22;4,3;4,4;4,2;Geprueft
2020-01-23;4,1;4,2;4,0;Geprueft
2020-01-24;4,0;4,3;3,8;Geprueft
2020-01-25;4,0;4,3;3,7;Geprueft
2020-01-26;4,3;4,7;3,9;Geprueft
2020-01-27;4,8;5,2;4,5;Geprueft
2020-01-28;5,0;5,2;4,7;Geprueft
2020-01-29;4,5;4,7;4,2;Geprueft
2020-01-30;4,4;4,7;4,0;Geprueft
2020-01-31;5,2;5,7;4,6;Geprueft
2020-02-01;5,7;6,1;5,4;Geprueft
2020-02-02;6,2;6,9;5,8;Geprueft
2020-02-03;6,6;6,9;6,2;Geprueft
2020-02-04;6,1;6,3;5,9;Geprueft
2020-02-05;5,5;5,9;4,8;Geprueft
2020-02-06;4,4;4,8;4,1;Geprueft
2020-02-07;4,0;4,3;3,7;Geprueft
2020-02-08;4,0;4,3;3,6;Geprueft
2020-02-09;4,2;4,8;3,8;Geprueft
2020-02-10;5,2;5,8;4,6;Geprueft
2020-02-11;5,3;5,5;5,0;Geprueft
2020-02-12;5,0;5,3;4,7;Geprueft
2020-02-13;4,8;5,0;4,6;Geprueft
2020-02-14;4,9;5,2;4,7;Geprueft
2020-02-15;4,9;5,3;4,5;Geprueft
2020-02-16;5,2;5,5;5,0;Geprueft
2020-02-17;5,8;6,0;5,5;Geprueft
2020-02-18;6,0;6,3;5,7;Geprueft
2020-02-19;6,1;6,4;5,8;Geprueft
2020-02-20;6,1;6,5;5,9;Geprueft
2020-02-21;6,1;6,5;5,8;Geprueft
2020-02-22;6,2;6,7;5,7;Geprueft
2020-02-23;6,5;6,8;6,3;Geprueft
2020-02-24;7,0;7,4;6,8;Geprueft
2020-02-25;7,3;7,6;7,0;Geprueft
2020-02-26;7,0;7,3;6,4;Geprueft
2020-02-27;5,8;6,4;5,2;Geprueft
2020-02-28;5,3;5,9;4,9;Geprueft
2020-02-29;5,5;5,8;5,2;Geprueft
2020-03-01;6,0;6,5;5,6;Geprueft
2020-03-02;6,2;6,7;5,7;Geprueft
2020-03-03;6,4;6,7;6,2;Geprueft
2020-03-04;6,1;6,4;5,7;Geprueft
2020-03-05;6,0;6,1;5,8;Geprueft
2020-03-06;6,0;6,2;5,9;Geprueft
2020-03-07;6,0;6,3;5,8;Geprueft
2020-03-08;5,9;6,5;5,3;Geprueft
2020-03-09;6,3;6,9;5,9;Geprueft
2020-03-10;6,1;6,3;5,9;Geprueft
2020-03-11;6,7;7,3;6,2;Geprueft
2020-03-12;7,6;8,3;7,1;Geprueft
2020-03-13;8,0;8,6;7,6;Geprueft
2020-03-14;7,5;7,9;7,1;Geprueft
2020-03-15;7,3;8,0;6,7;Geprueft
2020-03-16;7,6;8,5;6,9;Geprueft
2020-03-17;8,1;8,9;7,6;Geprueft
2020-03-18;8,7;9,7;7,8;Geprueft
2020-03-19;9,1;10,0;8,3;Geprueft
2020-03-20;9,6;10,3;9,0;Geprueft
2020-03-21;9,2;9,8;8,4;Geprueft
2020-03-22;8,4;9,2;7,8;Geprueft
2020-03-23;7,5;8,4;6,9;Geprueft
2020-03-24;6,9;7,9;6,3;Geprueft
2020-03-25;6,5;7,4;5,7;Geprueft
2020-03-26;6,0;6,6;5,3;Geprueft
2020-03-27;6,3;7,4;5,3;Geprueft
2020-03-28;7,0;8,0;6,1;Geprueft
2020-03-29;7,0;7,2;6,9;Geprueft
2020-03-30;6,7;7,3;6,2;Geprueft
2020-03-31;6,4;7,2;5,7;Geprueft
2020-04-01;6,6;7,6;5,6;Geprueft
2020-04-02;7,3;8,5;6,3;Geprueft
2020-04-03;8,0;9,0;7,1;Geprueft
2020-04-04;8,7;9,8;7,8;Geprueft
2020-04-05;9,2;10,4;8,2;Geprueft
2020-04-06;9,8;11,1;8,5;Geprueft
2020-04-07;10,5;11,8;9,3;Geprueft
2020-04-08;11,2;12,5;10,0;Geprueft
2020-04-09;11,9;13,2;10,8;Geprueft
2020-04-10;12,2;13,4;11,0;Geprueft
2020-04-11;12,6;13,9;11,4;Geprueft
2020-04-12;12,7;13,8;11,7;Geprueft
2020-04-13;13,0;14,2;11,9;Geprueft
2020-04-14;12,1;13,0;11,1;Geprueft
2020-04-15;11,6;12,9;10,3;Geprueft
2020-04-16;12,1;13,4;10,8;Geprueft
2020-04-17;12,7;13,9;11,5;Geprueft
2020-04-18;13,1;14,0;12,2;Geprueft
2020-04-19;13,3;14,6;12,3;Geprueft
2020-04-20;13,1;14,0;12,2;Geprueft
2020-04-21;13,1;14,0;12,4;Geprueft
2020-04-22;13,0;14,4;11,9;Geprueft
2020-04-23;13,1;14,6;11,8;Geprueft
2020-04-24;13,1;14,4;11,9;Geprueft
2020-04-25;13,2;14,5;12,1;Geprueft
2020-04-26;13,4;14,8;12,1;Geprueft
2020-04-27;13,9;15,0;12,9;Geprueft
2020-04-28;13,8;14,6;13,1;Geprueft
2020-04-29;13,6;14,1;13,1;Geprueft
2020-04-30;12,7;13,0;12,1;Geprueft
2020-05-01;12,0;12,5;11,6;Geprueft
2020-05-02;11,2;11,7;10,5;Geprueft
2020-05-03;10,7;11,5;9,9;Geprueft
2020-05-04;11,2;12,2;10,4;Geprueft
2020-05-05;11,1;11,4;10,6;Geprueft
2020-05-06;11,0;12,4;10,0;Geprueft
2020-05-07;11,9;13,4;10,7;Geprueft
2020-05-08;13,0;14,6;11,7;Geprueft
2020-05-09;13,8;15,3;12,4;Geprueft
2020-05-10;14,4;15,7;13,5;Geprueft
2020-05-11;14,2;14,6;13,5;Geprueft
2020-05-12;13,7;15,0;12,7;Geprueft
2020-05-13;13,0;13,3;12,4;Geprueft
2020-05-14;12,2;12,6;11,5;Geprueft
2020-05-15;11,8;12,1;11,5;Geprueft
2020-05-16;11,6;12,7;10,6;Geprueft
2020-05-17;12,0;13,6;10,5;Geprueft
2020-05-18;12,9;14,3;11,5;Geprueft
2020-05-19;14,1;15,4;12,9;Geprueft
2020-05-20;14,8;15,6;14,0;Geprueft
2020-05-21;15,5;16,7;14,4;Geprueft
2020-05-22;16,0;16,7;15,1;Geprueft
2020-05-23;16,1;16,5;15,3;Geprueft
2020-05-24;15,4;16,4;14,7;Geprueft
2020-05-25;15,2;15,9;14,7;Geprueft
2020-05-26;15,0;15,9;14,1;Geprueft
2020-05-27;15,5;17,3;13,9;Geprueft
2020-05-28;15,7;17,2;14,8;Geprueft
2020-05-29;15,3;16,3;14,5;Geprueft
2020-05-30;15,1;16,0;14,4;Geprueft
2020-05-31;15,0;16,1;14,2;Geprueft
2020-06-01;15,6;17,0;14,3;Geprueft
2020-06-02;16,2;17,9;14,7;Geprueft
2020-06-03;16,3;17,2;15,4;Geprueft
2020-06-04;16,4;16,8;16,0;Geprueft
2020-06-05;16,0;16,3;15,6;Geprueft
2020-06-06;15,7;16,1;15,3;Geprueft
2020-06-07;15,4;15,7;15,2;Geprueft
2020-06-08;15,1;15,7;14,3;Geprueft
2020-06-09;13,9;14,3;13,7;Geprueft
2020-06-10;13,6;13,8;13,3;Geprueft
2020-06-11;12,8;13,2;12,4;Geprueft
2020-06-12;12,3;12,9;11,5;Geprueft
2020-06-13;13,6;15,0;12,3;Geprueft
2020-06-14;14,2;14,4;14,1;Geprueft
2020-06-15;13,7;14,2;13,1;Geprueft
2020-06-16;12,7;13,0;12,4;Geprueft
2020-06-17;12,9;13,9;12,4;Geprueft
2020-06-18;13,3;14,4;12,4;Geprueft
2020-06-19;13,6;13,9;13,3;Geprueft
2020-06-20;13,5;14,1;13,1;Geprueft
2020-06-21;13,5;14,4;12,8;Geprueft
2020-06-22;14,1;14,9;13,5;Geprueft
2020-06-23;15,1;16,4;14,0;Geprueft
2020-06-24;16,1;17,6;14,9;Geprueft
2020-06-25;16,9;18,4;15,5;Geprueft
2020-06-26;17,4;19,0;16,0;Geprueft
2020-06-27;18,3;19,3;17,3;Geprueft
2020-06-28;18,4;19,2;17,9;Geprueft
2020-06-29;17,7;18,1;16,9;Geprueft
2020-06-30;16,7;17,3;16,0;Geprueft
2020-07-01;16,6;17,8;15,6;Geprueft
2020-07-02;17,1;17,6;16,6;Geprueft
2020-07-03;17,4;18,2;16,7;Geprueft
2020-07-04;17,4;18,3;16,8;Geprueft
2020-07-05;17,8;18,7;17,0;Geprueft
2020-07-06;17,9;18,7;17,1;Geprueft
2020-07-07;17,2;18,3;16,1;Geprueft
2020-07-08;17,4;18,7;16,2;Geprueft
2020-07-09;18,0;19,1;17,0;Geprueft
2020-07-10;18,8;20,1;17,6;Geprueft
2020-07-11;18,9;19,5;18,2;Geprueft
2020-07-12;18,0;18,7;17,5;Geprueft
2020-07-13;17,8;18,9;16,9;Geprueft
2020-07-14;17,6;18,8;16,6;Geprueft
2020-07-15;17,4;17,8;17,0;Geprueft
2020-07-16;16,8;17,3;16,5;Geprueft
2020-07-17;16,7;17,3;16,3;Geprueft
2020-07-18;15,7;16,5;14,6;Geprueft
2020-07-19;15,1;16,3;14,0;Geprueft
2020-07-20;16,3;17,6;15,3;Geprueft
2020-07-21;17,1;18,4;16,0;Geprueft
2020-07-22;17,8;19,1;16,7;Geprueft
2020-07-23;18,5;19,4;17,6;Geprueft
2020-07-24;18,4;19,0;17,8;Geprueft
2020-07-25;18,8;20,0;17,9;Geprueft
2020-07-26;18,7;19,6;18,0;Geprueft
2020-07-27;19,1;20,3;18,0;Geprueft
2020-07-28;19,5;20,1;18,6;Geprueft
2020-07-29;19,8;20,9;18,8;Geprueft
2020-07-30;20,2;21,5;18,9;Geprueft
2020-07-31;20,5;21,8;19,5;Geprueft
2020-08-01;20,8;21,7;20,1;Geprueft
2020-08-02;20,6;21,2;20,2;Geprueft
2020-08-03;20,0;20,4;19,2;Geprueft
2020-08-04;18,0;19,1;15,4;Geprueft
2020-08-05;14,4;15,3;13,8;Geprueft
2020-08-06;15,1;16,2;14,2;Geprueft
2020-08-07;16,3;17,5;15,3;Geprueft
2020-08-08;17,4;18,8;16,2;Geprueft
2020-08-09;18,3;19,8;17,1;Geprueft
2020-08-10;18,9;20,3;17,6;Geprueft
2020-08-11;19,6;20,6;18,6;Geprueft
2020-08-12;20,1;21,1;19,2;Geprueft
2020-08-13;19,9;20,1;19,6;Geprueft
2020-08-14;19,8;20,3;19,4;Geprueft
2020-08-15;19,8;20,7;19,0;Geprueft
2020-08-16;20,0;21,0;19,1;Geprueft
2020-08-17;19,8;20,3;19,3;Geprueft
2020-08-18;19,7;20,4;19,2;Geprueft
2020-08-19;19,5;20,4;18,6;Geprueft
2020-08-20;19,7;20,7;18,9;Geprueft
2020-08-21;20,1;21,1;19,2;Geprueft
2020-08-22;19,6;20,0;19,3;Geprueft
2020-08-23;19,1;19,7;18,7;Geprueft
2020-08-24;18,6;19,3;18,1;Geprueft
2020-08-25;18,0;18,7;17,4;Geprueft
2020-08-26;18,1;19,2;17,3;Geprueft
2020-08-27;17,9;18,9;17,0;Geprueft
2020-08-28;17,7;18,2;17,1;Geprueft
2020-08-29;17,5;17,9;17,3;Geprueft
2020-08-30;16,6;17,4;15,8;Geprueft
2020-08-31;14,8;15,8;13,6;Geprueft
2020-09-01;13,6;13,9;13,5;Geprueft
2020-09-02;13,7;14,4;13,3;Geprueft
2020-09-03;14,4;15,5;13,7;Geprueft
2020-09-04;15,0;16,2;14,2;Geprueft
2020-09-05;15,7;16,6;14,8;Geprueft
2020-09-06;15,8;16,2;15,4;Geprueft
2020-09-07;15,8;16,5;15,3;Geprueft
2020-09-08;15,7;16,7;14,8;Geprueft
2020-09-09;15,9;17,0;14,9;Geprueft
2020-09-10;16,4;17,2;15,5;Geprueft
2020-09-11;16,7;17,5;15,9;Geprueft
2020-09-12;16,8;17,6;16,0;Geprueft
2020-09-13;17,0;17,8;16,3;Geprueft
2020-09-14;17,1;18,0;16,4;Geprueft
2020-09-15;17,3;18,3;16,6;Geprueft
2020-09-16;17,7;18,6;17,0;Geprueft
2020-09-17;17,8;18,7;17,3;Geprueft
2020-09-18;17,6;18,4;17,0;Geprueft
2020-09-19;17,0;17,7;16,2;Geprueft
2020-09-20;16,9;17,7;16,3;Geprueft
2020-09-21;16,8;17,7;16,1;Geprueft
2020-09-22;17,2;18,0;16,6;Geprueft
