station,outcome,original,total_removed,final,retention_rate,removals
Landshut-Birket,temperature,16497,0,16497,100.0,[]
Landau,temperature,6764,0,6764,100.0,[]
Besigheim,temperature,359,0,359,100.0,[]
Lauffen,temperature,235,0,235,100.0,[]
Besigheim,oxygen,417,0,417,100.0,[]
Lauffen,oxygen,234,0,234,100.0,[]
Karlsruhe,temperature,354,0,354,100.0,[]
Mannheim,temperature,282,0,282,100.0,[]
Karlsruhe,oxygen,381,0,381,100.0,[]
Mannheim,oxygen,279,0,279,100.0,[]
Neu-Ulm,temperature,11733,0,11733,100.0,[]
Donauwörth,temperature,11380,0,11380,100.0,[]
Karlsruhe,temperature,456,0,456,100.0,[]
Mannheim,temperature,307,0,307,100.0,[]
Karlsruhe,oxygen,398,0,398,100.0,[]
Mannheim,oxygen,307,0,307,100.0,[]
Neu-Ulm,temperature,11733,0,11733,100.0,[]
Donauwörth,temperature,11380,0,11380,100.0,[]
Landshut-Birket,temperature,16497,0,16497,100.0,[]
Landau,temperature,6764,0,6764,100.0,[]
Besigheim,temperature,395,0,395,100.0,[]
Lauffen,temperature,303,0,303,100.0,[]
Besigheim,oxygen,470,0,470,100.0,[]
Lauffen,oxygen,265,0,265,100.0,[]
