observation_id,plant,outcome,window_years,did_coefficient,std_error,p_value,ci_lower,ci_upper,t_stat,n_observations,r_squared
1,Isar 1,temperature,5,-1.8317092031410953,0.2926091488585842,2.032679174664599e-09,-2.4084290486754307,-1.2549893576067597,-6.259917744493856,232.0,0.962084795367654
2,Neckarwestheim 1,temperature,5,0.5934421182265756,0.6613602020954976,0.37117734640756417,-0.7147027431687353,1.9015869796218863,0.8973054567636125,148.0,0.9355890310357599
2,Neckarwestheim 1,oxygen,5,-0.4259081620069526,0.6519178808189027,0.5147527099826845,-1.7161345572843492,0.8643182332704439,-0.6533156621995866,140.0,0.5275554440824715
3,Philippsburg 1,temperature,5,-0.16969926075268826,0.38665291013452796,0.6611389090600402,-0.9314147774097344,0.5920162559043579,-0.43889301309964246,252.0,0.9388632095305568
3,Philippsburg 1,oxygen,5,-0.01904822029820985,0.13951339188490475,0.891527481586674,-0.29403736403253405,0.25594092343611435,-0.13653327498426948,230.0,0.8735894053455168
4,Gundremmingen B,temperature,5,0.1017474602842891,0.29012758472246875,0.7261106714684838,-0.4696695141458395,0.6731644347144177,0.35069902223057847,264.0,0.9572582565096491
5,Philippsburg 2,temperature,5,-0.34565343378732283,0.3527232531178866,0.32810687520409676,-1.0405267114568617,0.34921984388221594,-0.9799564693621123,252.0,0.9509658755610991
5,Philippsburg 2,oxygen,5,0.026107024695742165,0.1430603372766094,0.8553720789435276,-0.2558883455861489,0.30810239497763325,0.18248960678223358,228.0,0.8841442504887002
6,Gundremmingen C,temperature,5,0.22388118642208715,0.29133709317650175,0.4430191823891456,-0.3502170236254481,0.7979793964696225,0.7684609741281809,240.0,0.9626239409043938
7,Isar 2,temperature,5,0.14765683974961719,0.3099525919175799,0.6343874862611593,-0.46402133492148223,0.7593350144207166,0.4763852395494112,192.0,0.970776233855665
8,Neckarwestheim 2,temperature,5,-0.010910894660899895,0.46916722505761616,0.9814739325374013,-0.9371741210789362,0.9153523317571364,-0.023255875683899235,182.0,0.944104984923067
8,Neckarwestheim 2,oxygen,5,0.02010836385834841,0.5123688148303516,0.9687455199375405,-0.9921225044267079,1.0323392321434046,0.039245877727758297,168.0,0.5511006200505156
